Q.No,Question,Option A,Option B,Option C,Option D,Correct Answer
1,Which branch of biology deals with the study of plants?,Zoology,Botany,Microbiology,Anatomy,b
2,Who is considered the Father of Zoology?,Theophrastus,Antonie van Leeuwenhoek,Aristotle,Gregor Mendel,c
3,The study of microorganisms falls under which branch of biology?,Botany,Zoology,Microbiology,Anatomy,c
4,Which branch of biology studies the structure of organisms and their parts?,Physiology,Genetics,Anatomy,Ecology,c
5,The study of the functions and processes of living organisms is known as:,Anatomy,Physiology,Genetics,Ecology,b
6,Which branch of biology focuses on heredity and variation?,Ecology,Evolution,Genetics,Biochemistry,c
7,The interactions between organisms and their environment are studied in:,Genetics,Ecology,Evolution,Biochemistry,b
8,Which branch of biology deals with the changes in species over generations?,Ecology,Genetics,Evolution,Biochemistry,c
9,The chemical processes within living organisms are studied in:,Biotechnology,Bioinformatics,Biochemistry,Immunology,c
10,Using living systems to develop products falls under:,Biochemistry,Bioinformatics,Biotechnology,Immunology,c
11,Which branch applies computer science to biology?,Biochemistry,Bioinformatics,Biotechnology,Immunology,b
12,The immune system is studied in:,Pathology,Pharmacology,Immunology,Taxonomy,c
13,Which branch studies the causes and effects of diseases?,Pathology,Pharmacology,Immunology,Taxonomy,a
14,The effects of drugs on living organisms are studied in:,Pathology,Pharmacology,Immunology,Taxonomy,b
15,Classifying and naming organisms is the focus of:,Pathology,Pharmacology,Immunology,Taxonomy,d
16,Which branch studies cells?,Histology,Cytology,Embryology,Paleontology,b
17,The study of tissues is known as:,Cytology,Histology,Embryology,Paleontology,b
18,Which branch studies the development of an embryo?,Cytology,Histology,Embryology,Paleontology,c
19,Prehistoric life is studied in:,Cytology,Histology,Embryology,Paleontology,d
20,Marine organisms and ecosystems are studied in:,Marine Biology,Limnology,Mycology,Phycology,a
21,Which branch studies inland aquatic ecosystems?,Marine Biology,Limnology,Mycology,Phycology,b
22,The study of fungi is known as:,Marine Biology,Limnology,Mycology,Phycology,c
23,Which branch studies algae?,Marine Biology,Limnology,Mycology,Phycology,d
24,Insects are studied in:,Entomology,Herpetology,Ornithology,Ichthyology,a
25,Which branch studies reptiles and amphibians?,Entomology,Herpetology,Ornithology,Ichthyology,b
26,The study of birds is known as:,Entomology,Herpetology,Ornithology,Ichthyology,c
27,Which branch studies fish?,Entomology,Herpetology,Ornithology,Ichthyology,d
28,Mammals are studied in:,Mammalogy,Virology,Parasitology,Nematology,a
29,Which branch studies viruses?,Mammalogy,Virology,Parasitology,Nematology,b
30,The study of parasites is known as:,Mammalogy,Virology,Parasitology,Nematology,c
31,Which branch studies nematodes?,Mammalogy,Virology,Parasitology,Nematology,d
32,Endocrine glands and hormones are studied in:,Endocrinology,Exobiology,Toxicology,Cryobiology,a
33,Which branch studies the possibility of life beyond Earth?,Endocrinology,Exobiology,Toxicology,Cryobiology,b
34,The effects of poisons and toxins are studied in:,Endocrinology,Exobiology,Toxicology,Cryobiology,c
35,Which branch studies the effects of low temperatures on living organisms?,Endocrinology,Exobiology,Toxicology,Cryobiology,d
36,The study of aging is known as:,Gerontology,Ethology,Agronomy,Forestry,a
37,Which branch studies animal behavior?,Gerontology,Ethology,Agronomy,Forestry,b
38,Crop production and soil management are studied in:,Gerontology,Ethology,Agronomy,Forestry,c
39,Which branch studies forests and forest management?,Gerontology,Ethology,Agronomy,Forestry,d
40,Garden management is the focus of:,Horticulture,Pomology,Olericulture,Floriculture,a
41,Which branch studies fruits and nuts?,Horticulture,Pomology,Olericulture,Floriculture,b
42,The study of vegetables is known as:,Horticulture,Pomology,Olericulture,Floriculture,c
43,Which branch studies flowers?,Horticulture,Pomology,Olericulture,Floriculture,d
44,The study of bees is known as:,Apiculture,Sericulture,Pisciculture,Lac Culture,a
45,Which branch studies silkworms?,Apiculture,Sericulture,Pisciculture,Lac Culture,b
46,The study of fish farming is known as:,Apiculture,Sericulture,Pisciculture,Lac Culture,c
47,Which branch studies lac insects?,Apiculture,Sericulture,Pisciculture,Lac Culture,d
48,The growth of tissues or cells in an artificial medium is known as:,Tissue Culture,Cloning,Eugenics,Euthenics,a
49,Which process produces genetically identical copies of organisms?,Tissue Culture,Cloning,Eugenics,Euthenics,b
50,The study of improving the genetic quality of a human population is:,Tissue Culture,Cloning,Eugenics,Euthenics,c
51,Which branch focuses on improving human well-being by improving living conditions?,Tissue Culture,Cloning,Eugenics,Euthenics,d
