Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Points
Who was the founder of the Pala Dynasty?,Dharmapala,Devapala,Gopala,Mahipala,c,History of India,1
Which of the following is considered the main language of early Jain texts?,Pali,Sanskrit,Prakrit,Ardhamagadhi,d,History of India,1
Who among the following Mughal emperors was also known as 'Shah-i-Bekhabar'?,Bahadur Shah I,Farrukhsiyar,Muhammad Shah,Ahmad Shah Bahadur,a,History of India,1
What was the capital of the Magadha Mahajanapada?,Mathura,Rajagriha,Kaushambi,Indraprastha,b,History of India,1
In which year was the Battle of Buxar fought?,1764,1757,1761,1707,a,History of India,1
The Indus Valley Civilization site of Lothal is located in which present-day state?,Punjab,Rajasthan,Gujarat,Haryana,c,History of India,1
Who was the last ruler of the Nanda dynasty?,Mahapadma Nanda,Dhruvananda,Kalananda,Dhana Nanda,d,History of India,1
The Ajanta caves primarily depict stories related to which religion?,Jainism,Shaivism,Buddhism,Vaishnavism,c,History of India,1
Which Mughal emperor built the Moti Masjid in Agra Fort?,Shah Jahan,Aurangzeb,Akbar,Jahangir,a,History of India,1
The term 'Sangha' is most closely associated with which religion?,Jainism,Shaivism,Buddhism,Ajivika,c,History of India,1
What is the SI unit of electrical resistance?,Ampere,Volt,Ohm,Watt,c,General Science,1
Which of the following elements has isotopes used in carbon dating?,Carbon-12,Carbon-14,Carbon-13,Carbon-11,b,General Science,1
The process of water movement through a plant and its evaporation from aerial parts is known as:,Photosynthesis,Transpiration,Respiration,Digestion,b,General Science,1
Sound waves are what type of waves?,Electromagnetic,Transverse,Longitudinal,Light,c,General Science,1
What is the approximate escape velocity of a satellite from Earth?,7.2 km/s,11.2 km/s,15.2 km/s,9.8 km/s,b,General Science,1
What law states that the current through a conductor between two points is directly proportional to the voltage across the two points?,Newton's Law,Ohm's Law,Faraday's Law,Kirchhoff's Law,b,General Science,1
Isotopes of an element have the same number of:,Neutrons,Mass number,Atomic mass,Protons,d,General Science,1
The process by which plants synthesize their own food is called:,Transpiration,Photosynthesis,Respiration,Digestion,b,General Science,1
In which medium does sound travel the fastest?,Vacuum,Air,Water,Steel,d,General Science,1
Which of the following affects the escape velocity of a satellite?,Its mass,Its shape,Its color,The planet's mass and radius,d,General Science,1
