Question,Option A,Option B,Option C,Option D,Correct Answer
"In which age was copper first used, according to the provided text?",Neolithic Age,Mesolithic Age,Palaeolithic Age,Chalcolithic Age,d
In what period were the caves of Bhimbetka discovered?,1967-68,1947-48,1977-78,1957-58,d
The rock shelters of Bhimbetka are primarily known for what?,Neolithic tools,Mesolithic sculptures,Palaeolithic rock paintings in India,Chalcolithic pottery,c
Which of the following represents the correct chronological order of prehistoric periods?,"Neolithic Age, Mesolithic Age, Palaeolithic Age","Mesolithic Age, Palaeolithic Age, Neolithic Age","Palaeolithic Age, Neolithic Age, Mesolithic Age","Palaeolithic Age, Mesolithic Age, Neolithic Age",d
Which sequence correctly represents the west-to-east order of Mesolithic sites?,"Paisra, Birbhanpur, Mahadaha, Lekhahia","Mahadaha, Lekhahia, Birbhanpur, Paisra","Mahadaha, Lekhahia, Paisra, Birbhanpur","Birbhanpur, Paisra, Lekhahia, Mahadaha",c
From which site has the earliest evidence of permanent life been discovered?,Lahuradeva,Adamgarh,Bagor,Mehrgarh,d
Evidence of early rice cultivation in the Ganga Valley has been found at which location?,Bagor,Adamgarh,Mehrgarh,Lahuradeva,d
From which Mesolithic site has evidence of animal husbandry been found?,Lahuradeva,Mehrgarh,Bagor,Paisra,c
"According to the excavated evidence mentioned, when did animal husbandry begin?",The Neolithic Age,The Chalcolithic Age,The Palaeolithic Age,The Mesolithic Age,d
"In which age was copper first utilized, according to the provided information?",Neolithic Age,Mesolithic Age,Palaeolithic Age,Chalcolithic Age,d
During which period were the caves of Bhimbetka discovered?,1967-68,1947-48,1957-58,1977-78,c
"What is the correct chronological order of the prehistoric periods of human activity and civilization, as per the provided information?","Neolithic Age, Mesolithic Age, Palaeolithic Age","Mesolithic Age, Palaeolithic Age, Neolithic Age","Palaeolithic Age, Neolithic Age, Mesolithic Age","Palaeolithic Age, Mesolithic Age, Neolithic Age",d
Which of the following represents the correct west-to-east sequence of Mesolithic sites geographically?,"Paisra, Birbhanpur, Mahadaha, Lekhahia","Lekhahia, Mahadaha, Paisra, Birbhanpur","Mahadaha, Lekhahia, Paisra, Birbhanpur","Birbhanpur, Paisra, Lekhahia, Mahadaha",c
"According to the text, which site has yielded the earliest evidence of permanent human life?",Lahuradeva,Adamgarh,Bagor,Mehrgarh,d
Where has the earliest evidence of rice cultivation in the Ganga Valley been discovered?,Adamgarh,Bagor,Mehrgarh,Lahuradeva,d
"Besides Bagor, which other site yielded evidence of animal husbandry during the Mesolithic period, according to the text?",Lahuradeva,Mehrgarh,Adamgarh,Bhimbetka,c
"According to excavated evidence, during which period did animal husbandry begin?",The Neolithic Age,The Chalcolithic Age,The Palaeolithic Age,The Mesolithic Age,d
"In which age was copper first used, according to the text?",In the Neolithic Age.,In the Mesolithic Age.,In the Chalcolithic Age.,In the Palaeolithic Age.,c
In which year range were the caves of Bhimbetka discovered?,1967-68,1947-48,1957-58,1977-78,c
For what specific feature are the rock shelters of Bhimbetka primarily known?,For Mesolithic tools.,For Neolithic settlements.,For Palaeolithic rock paintings in India.,For Chalcolithic pottery.,c
"What is the correct chronological order of prehistoric periods, according to the text?","Neolithic Age, Mesolithic Age, Palaeolithic Age","Mesolithic Age, Palaeolithic Age, Neolithic Age","Palaeolithic Age, Neolithic Age, Mesolithic Age","Palaeolithic Age, Mesolithic Age, Neolithic Age",d
Which of the following represents the correct west-to-east sequence of Mesolithic sites?,"Paisra, Birbhanpur, Mahadaha, Lekhahia","Mahadaha, Lekhahia, Birbhanpur, Paisra","Mahadaha, Lekhahia, Paisra, Birbhanpur","Lekhahia, Mahadaha, Paisra, Birbhanpur",c
"Which site provides the earliest evidence of permanent life, as per the text?",Lahuradeva,Adamgarh,Bagor,Mehrgarh,d
The earliest evidence of rice cultivation in the Ganga Valley has been found at which site?,Mehrgarh,Adamgarh,Lahuradeva,Bagor,c
"From which Mesolithic site was evidence of animal husbandry discovered, according to the text?",Lahuradeva,From Adamgarh,From Bagor,Mehrgarh,c
"According to excavated evidence mentioned in the text, during which period did animal husbandry begin?",The Neolithic Age,The Chalcolithic Age,The Mesolithic Age,The Palaeolithic Age,c
The cultivation of grains first began in which period?,The Paleolithic Age,The Neolithic Age,The Mesolithic Age,The Chalcolithic Age,b
Remains of Neolithic pit-dwellings have been found at which of the following sites?,Sanganakallu and Lekhahia,Burzahom and Damdama,Burzahom and Gufkral,Bhimbetka and Navdatoli,c
The Ash Mound Neolithic site is related to which location?,Damdama,Burzahom,Sanganakallu,Lekhahia,c
"In the Indian subcontinent, the earliest evidence of rice cultivation has been found in which region?",The Deccan Plateau,The Vindhya region,The Gangetic Plain,The Brahmaputra Valley,b
Which of the following was the first grain used by humans?,Rice,Wheat,Barley,Millet,c
The cultivation of cotton for clothes first began in which country?,Egypt,Mesopotamia,India,China,c
Megalithic monuments have been identified as what type of site?,Religious sites,Burial sites for the dead,Residential sites,Agricultural sites,b
From which location have three human skeletons been discovered in a single grave?,Lekhahia,Bhimbetka,Damdama,Navdatoli,c
Which rock shelter in the Vindhya region has yielded the maximum number of human skeletons?,Bhimbetka,Sanganakallu,Navdatoli,Lekhahia,d
Which rock shelter in India is known for having the maximum number of paintings?,Lekhahia,Bhimbetka,Damdama,Sanganakallu,b
Remains of Neolithic pit-dwellings have been found at which of the following locations?,Sanganakallu and Damdama,Lekhahia and Bhimbetka,Burzahom and Gufkral,Navdatoli and Vindhya region,c
The Ash Mound Neolithic site is related to which of the following places?,Burzahom,Gufkral,Damdama,Sanganakallu,d
Megalithic monuments have been identified as:,Residential complexes,Places of worship,Burial sites for the dead,Agricultural storage units,c
At which site have three human skeletons been found in a single grave?,Burzahom,Gufkral,Damdama,Sanganakallu,c
The rock shelter from which the maximum number of paintings have been found is located in which part of India?,Lekhahia,Burzahom,Bhimbetka,Navdatoli,c
The earliest evidence of rice cultivation in the Indian subcontinent has been found in which region?,The Deccan Plateau,The Vindhya region,The Gangetic Plains,The Thar Desert,b
What was the first grain used by humans?,Rice,Wheat,Barley,Millet,c
Where did the cultivation of cotton for clothes first begin?,Egypt,Mesopotamia,India,China,c
Megalithic monuments have been identified as what?,Residential complexes,Burial sites for the dead,Religious structures,Agricultural storage facilities,b
From where have three human skeletons been found in a single grave?,Lekhahia,Bhimbetka,Damdama,Sanganakallu,c
In which of the following locations in India is the rock shelter from which the maximum number of paintings have been found situated?,Ajanta,Ellora,Bhimbetka,Karla,c
"The Ash Mound, a Neolithic site, is related to which place?",Burzahom,Gufkral,Sanganakallu,Navdatoli,c
The rock shelter from which the maximum number of paintings have been found is located in:,Damdama,Bhimbetka,Lekhahia,Sanganakallu,b
The name 'Ochre-Coloured Pottery' originated from which location?,Atranjikhera,Madhya Pradesh,Hastinapur,Navdatoli,c
