Question,Option A,Option B,Option C,Option D,Correct Answer
Lakshmi Shankar was a Hindustani classical vocalist belonging to which Gharana?,Gwalior,Kirana,Rameeli,Patiala,d
"Mallikarjun Mansur, a Khayal vocalist from Karnataka, belonged to which of the following Gharanas?",Patiala Gharana,Darbhanga Gharana,Gwalior Gharana,Jaipur-Atrauli Gharana,d
Who is credited as the founder of the Benaras Gharana of Khayal singing?,Ustad Mammankhan,Ustad Inayat Khan,Pandit Gopal Mishra,Ustad Chhajju Khan,c
Which of the following musicians is NOT associated with the Rampur Sahaswan Gharana?,Ustad Rashid Khan,Ustad Niyaz Khan,Ustad Fateh Ali Khan,Ghulam Mustafa Khan,c
"Ustad Hussu Khan, Ustad Haddu Khan, and Ustad Nathu Khan were prominent exponents of which Gharana?",Delhi,Benaras,Gwalior,Patiala,c
Pandit Ananda Gopal Bandopadhyay was a renowned ______ player of the Benaras gharana.,Sitar,Sarod,Sarangi,Tabla,d
Which gharana is particularly known for its distinct 'Dhrupad style'?,Bishnupur,Ajrada,Hafferkhani,Nathdwara,a
Bade Ghulam Ali Khan was a prominent singer representing which Gharana?,Rampur Sahaswan,Bhendi Bazaar,Patiala,Benaras,c
Papanasam Ramayya Sivan was a composer primarily known for which music style?,Bhajan,Qawwali,Carnatic music,Folk music,c
'Raga Mala' is the autobiography of which of the following musicians?,Lata Mangeshkar,Amjad Ali Khan,Ravi Shankar,A. R. Rahman,c
Who among the following is recognized as a Carnatic music vocalist?,Ravi Shankar,L. Subramaniam,Alla Rakha,Balamuralikrishna,d
"In the Hindustani music system, what are allotted to different hours of the day and different seasons?",Sruti,Varnas,Ragas,Gitas,c
Which of the following is NOT an element of classical Carnatic music?,Sthayi,Kriti,Padam,Thumri,d
Which Indian musician is known for classifying Ragas into Ten Thaats in Hindustani music?,Abdul Karim Khan,Allauddin Khan,Pandit Vishnu Narayan Bhatkhande,Pandit Vishnu Digambar Paluskar,c
"According to Vishnu Narayan Bhatkhande, how many thaats are there in Hindustani classical music?",52,72,20,10,d
"In classical Carnatic music, what is the term used for tempo?",Padam,Laya,Achala,Gita,b
Which of the following musicians did NOT belong to the Rampur Sahaswan Gharana?,Ghulam Mustafa Khan,Ustad Rashid Khan,Ustad Niyaz Khan,Ustad Fateh Ali Khan,d
Which Gharana is associated with a distinct ‘Dhrupad style’?,Hafferkhani,Nathdwara,Ajrada,Bishnupur,d
Papanasam Ramayya Sivan was an Indian composer of which music style?,Bhajan,Qawwali,Carnatic music,Folk music,c
Who is known for his contributions to Hindustani music by classifying Ragas into Ten Thaats?,Pandit Vishnu Digambar Paluskar,Allauddin Khan,Pandit Vishnu Narayan Bhatkhande,Abdul Karim Khan,c
"Mallikarjun Mansur, a vocalist in Khayal style, belonged to which Gharana of music?",Darbhanga Gharana,Gwalior Gharana,Patiala Gharana,Jaipur-Atrauli Gharana,d
During which occasion is Wanawun traditionally sung?,Festivals,Kashmiri wedding ceremonies,Funerals,Harvest season,b
Which of the following is considered the simplest composition of raga in Carnatic Classical music?,Varnam,Kirtanam,Gita,Pada,c
"Which folk music form is based on the Mahabharata, portraying Bhima as the hero?",Mando,Alha,Dandiya,Pandavani,d
Who is widely regarded as the 'Father of Carnatic Music'?,Thyagaraja,Vidyaranya,Purandara Dasa,Vishwanath Iyer,c
Ustad Alla Rakha is a well-known tabla maestro associated with which Gharana?,Delhi Gharana,Lucknow Gharana,Punjab Gharana,Ajrara Gharana,c
Chajju Khan is recognized as one of the founders of which Gharana?,Mewati Gharana,Agra Gharana,Bhendi Bazaar Gharana,Lucknow Gharana,c
Ustad Alla Rakha was a well-known tabla maestro belonging to which Gharana?,Mewati Gharana,Agra Gharana,Punjab Gharana,Lucknow Gharana,c
Which of the following is traditionally sung during Kashmiri wedding ceremonies?,Alha,Wanawun,Pahari,Baul,b
Who is a well-known tabla maestro of the Punjab Gharana?,Pt. Ravi Shankar,Bismillah Khan,Moti Lal Khemu,Alla Rakha,d
"Which folk music is centered around the Mahabharata, with Bhima as the central heroic figure?",Alha,Dandiya,Pandavani,Mando,c
Which of the following musicians is renowned as a tabla maestro of the Punjab Gharana?,Pt. Ravi Shankar,Bismillah Khan,Moti Lal Khemu,Alla Rakha,d
