Question,Option A,Option B,Option C,Option D,Correct Answer,Points
What does a Light Year measure?,Time,Intensity of light,Astronomical distance,Density,c,1
Which unit is the largest for measuring astronomical distances?,Light Year,Kilometer,Meter,Parsec,d,1
What is measured in Cusec?,Air pressure,Flow of water,Sound intensity,Earthquake intensity,b,1
The thickness of the ozone layer is measured in which unit?,Watt,Pascal,Dobson,Cusec,c,1
Who primarily uses SONAR?,Geologists,Meteorologists,Navigators,Astronomers,c,1
Which instrument measures the intensity of sound?,Hygrometer,Barometer,Audiometer,Lactometer,c,1
Which instrument is used to measure high temperatures?,Barometer,Pyrometer,Lactometer,Audiometer,b,1
Atmospheric pressure is measured by which instrument?,Hygrometer,Pyrometer,Lactometer,Barometer,d,1
A sudden fall in the barometer reading indicates:,Clear weather,Stormy weather,High humidity,Low temperature,b,1
The purity of milk is measured using which instrument?,Hygrometer,Barometer,Audiometer,Lactometer,d,1
Which instrument measures the humidity of the air?,Lactometer,Pyrometer,Hygrometer,Barometer,c,1
What does the Richter Scale measure?,Air pressure,Sound intensity,Intensity of an earthquake,Purity of milk,c,1
What is the unit of Power?,Cusec,Dobson,Watt,Parsec,c,1
Electric Current is measured with which instrument?,Pyrometer,Ammeter,Barometer,Lactometer,b,1
What is the name of the lie-detecting instrument?,Hygrometer,Audiometer,There is no lie detecting instrument mentioned,Lactometer,c,1
What is a Light Year a unit of?,Time,Luminous Intensity,Distance,Velocity,c,1
The thickness of the ozone layer in the atmosphere is measured in?,Pascal,Watt,Dobson,Cusec,c,1
SONAR is primarily used by whom?,Meteorologists,Geologists,Navigators,Astronomers,c,1
"High temperatures, such as the Sun's heat, are measured using which instrument?",Barometer,Hygrometer,Pyrometer,Ammeter,c,1
What does a Barometer measure?,Humidity,Atmospheric Pressure,Sound Intensity,Wind Speed,b,1
Which instrument is used to determine the relative density or purity of milk?,Hygrometer,Pyrometer,Lactometer,Audiometer,c,1
The Richter Scale is used to measure the:,Depth of the Sea,Intensity of an Earthquake,Purity of Milk,Atmospheric Pressure,b,1
What unit measures the thickness of the ozone layer?,Pascal,Decibel,Dobson,Cusec,c,1
What instrument measures atmospheric pressure?,Lactometer,Pyrometer,Barometer,Audiometer,c,1
Which instrument measures Electric Current?,Voltmeter,Ammeter,Ohmmeter,Barometer,b,1
What is the name of the instrument used for lie detection?,Hygrometer,Lactometer,Lie Detector,The text does not provide the instrument's name,d,1
By whom is SONAR typically used?,Meteorologists,Navigators,Doctors,Geologists,b,1
Which instrument is used to measure blood pressure?,Polygraph,Sphygmomanometer,Thermometer,Barometer,b,1
Newton's First Law is also known as which of the following?,Law of Gravitation,Law of Thermodynamics,Law of Inertia,Law of Conservation,c,1
Washing machines and cream separators operate based on which principle?,Centripetal Force,Gravitational Force,Centrifugal Force,Surface Tension,c,1
Why is it more difficult to walk on ice compared to a road?,Ice has more friction,Ice has less friction,Road has more inertia,Road has less inertia,b,1
Passengers lean backwards when a train starts moving due to which phenomenon?,Kinetic Energy,Potential Energy,Inertia of Motion,Inertia of Rest,d,1
Which type of energy is primarily present in winds?,Potential Energy,Kinetic Energy,Thermal Energy,Electrical Energy,b,1
Who is credited with propounding the Universal Law of Gravitation?,Archimedes,Einstein,Newton,Galileo,c,1
What is the approximate value of Escape Velocity from Earth's surface?,1.12 km/second,112 km/second,11.2 km/second,1.2 km/second,c,1
"If Earth's gravitational force disappears suddenly, what will happen to an object's weight?",The weight will increase,The weight will become zero,The weight will remain the same,The weight will decrease slightly,b,1
Why do pendulum clocks typically run slower in summer?,Due to decrease in temperature,Due to increase in humidity,Due to the decrease in the length of the pendulum,Due to the increase in the length of the pendulum,d,1
What is the approximate height of a Geo-stationary Satellite above Earth?,"3,600 km","360,000 km","36,000 km","3,600,000 km",c,1
Where on Earth is the weight of an object typically at its maximum?,At the Equator,At the Tropics,At the Poles,At Sea Level,c,1
Which of the following is the primary reason for the spherical shape of a raindrop?,Gravity,Viscosity,Surface Tension,Air Pressure,c,1
Who formulated the Universal Law of Gravitation?,Einstein,Archimedes,Newton,Galileo,c,1
Why do pendulum clocks slow down during summer?,Due to the decrease in the length of the pendulum.,Due to the decrease in temperature.,Due to the increase in the length of the pendulum.,Due to the increase in atmospheric pressure.,c,1
What causes the spherical shape of a raindrop?,Viscosity,Gravitational Force,Surface Tension,Atmospheric Pressure,c,1
Which of Newton's laws is also known as the 'Law of Inertia'?,Second Law,Third Law,First Law,Law of Gravitation,c,1
What is the primary reason for the spherical shape of raindrops?,Viscosity,Archimedes Principle,Gravity,Surface Tension,d,1
Why does oil spread on the surface of water?,Because the density of oil is higher than that of water.,Because the surface tension of oil is greater than that of water.,Because the surface tension of oil is less than that of water.,Because the viscosity of oil is higher than that of water.,c,1
Kerosene rises up in the wick due to which phenomenon?,Osmosis,Diffusion,Capillarity,Viscosity,c,1
How does the pressure inside a soap bubble compare to atmospheric pressure?,It is equal.,It is lower.,It is higher.,It fluctuates.,c,1
At what temperature is the density of water maximum?,0Â°C,100Â°C,4Â°C,25Â°C,c,1
