Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topics,Points
The Goods and Services Tax (GST) in India is a:,Direct Tax,Destination-based consumption tax,Progressive Tax,Tax on Income,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which of the following is NOT a tool of monetary policy used by the RBI?,Cash Reserve Ratio (CRR),Open Market Operations (OMO),Bank Rate,Tax Rate,d,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Repo rate is the rate at which:,RBI lends money to commercial banks,Commercial banks lend money to RBI,RBI borrows money from commercial banks,Commercial banks borrow money from customers,a,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
SLR stands for:,Statutory Liquidity Ratio,Savings and Loan Rate,State Level Revenue,Standard Lending Rate,a,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which of the following is a money market instrument?,Equity Shares,Treasury Bills,Debentures,Bonds,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
NITI Aayog was established in which year?,2014,2015,2016,2017,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Who is the ex-officio chairman of NITI Aayog?,The President of India,The Vice President of India,The Prime Minister of India,The Finance Minister of India,c,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
The concept of 'Five-Year Plans' in India was borrowed from:,United States,Soviet Union (USSR),United Kingdom,Germany,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
The first Five Year Plan in India was launched in:,1947,1950,1951,1952,c,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which tax is levied on the sale of goods and services?,Income Tax,Corporate Tax,Goods and Services Tax (GST),Wealth Tax,c,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
The apex bank of India is:,State Bank of India,Reserve Bank of India,Punjab National Bank,ICICI Bank,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which of the following is a direct tax?,Excise Duty,Sales Tax,Income Tax,Customs Duty,c,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
