Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Points
"Consider the following statements regarding the Indus Valley Civilization:
1.  The Great Bath was primarily used for religious purposes and public gatherings.
2.  The script of the Indus Valley Civilization has been definitively deciphered, revealing complex administrative systems.
3.  Trade relations extended as far as Mesopotamia, with evidence of Indus seals found in Mesopotamian cities.

Which of the statements given above is/are correct?",1 and 3 only,2 only,"1, 2, and 3",3 only,a,History of India,1
"Arrange the following events in chronological order:
1.  Arrival of Fa-Hien in India
2.  Reign of Kanishka
3.  Accession of Chandragupta Maurya
4.  Start of the Gupta Era

Select the correct answer using the codes given below:","3, 2, 1, 4","2, 3, 4, 1","4, 1, 2, 3","1, 4, 3, 2",a,History of India,1
"Assertion (A): Muhammad bin Tughlaq's transfer of the capital from Delhi to Daulatabad was a well-planned strategic move to consolidate his empire.
Reason (R): Daulatabad was centrally located, easily accessible, and immune to Mongol invasions.

In the context of the above two statements, which one of the following is correct?","Both (A) and (R) are true, and (R) is the correct explanation of (A)","Both (A) and (R) are true, but (R) is not the correct explanation of (A)","(A) is true, but (R) is false","(A) is false, but (R) is true",d,History of India,1
Which of the following Sufi orders was primarily associated with the Chishti tradition in India?,Naqshbandi,Suhrawardi,Qalandariyya,Rifa'i,a,History of India,1
"Match List I (Treaty) with List II (Year) and select the correct answer using the codes given below:

List I
(Treaty)
A. Treaty of Salbai
B. Treaty of Mangalore
C. Treaty of Madras
D. Treaty of Amritsar

List II
(Year)
1. 1769
2. 1782
3. 1784
4. 1809","A-2, B-3, C-1, D-4","A-3, B-2, C-4, D-1","A-1, B-4, C-2, D-3","A-4, B-1, C-3, D-2",a,History of India,1
The 'Subsidiary Alliance' system was primarily designed to achieve which of the following objectives by the British?,Establish free trade with Indian states,Disband Indian armies and establish British supremacy,Promote cultural exchange between Britain and India,Introduce modern education in Indian states,b,History of India,1
Who among the following was NOT a member of the 'Triumvirate' within the Swaraj Party?,Motilal Nehru,C.R. Das,Vithalbhai Patel,Hakim Ajmal Khan,d,History of India,1
The 'Wood's Dispatch' of 1854 primarily focused on reforms in which sector?,Land Revenue System,Education System,Judicial System,Military Administration,b,History of India,1
Which of the following best describes the 'Ryotwari System' introduced by the British in India?,Land revenue settlement directly with the village community,Land revenue settlement with individual cultivators,Land revenue settlement through intermediaries like Zamindars,Land revenue collected in the form of grain,b,History of India,1
The 'August Offer' of 1940 proposed which of the following?,Immediate independence for India,Dominion status for India after the war,Partition of India into separate states,Complete control of the government to Indian representatives,b,History of India,1
"Consider the following statements regarding the Human Genome Project (HGP): 
1. HGP aimed to identify all the approximately 20,000-25,000 genes in human DNA.
2. The project was launched in 1990 and completed in 2003.
3. HGP has not yet identified all the functional elements in the human genome.
Which of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",d,General Science,1
"Which of the following are examples of 'non-point source' pollution? 
1. Agricultural Runoff
2. Industrial Effluent discharged through a specific pipe
3. Acid mine drainage
4. Urban Runoff
Select the correct answer using the code given below:",1 and 4 only,2 and 3 only,"1, 3 and 4 only","1, 2, 3 and 4",c,General Science,1
"Arrange the following electromagnetic radiations in increasing order of their frequency:
1. Microwaves
2. Infrared
3. Ultraviolet
4. Radio waves
Select the correct answer using the code given below:",4-1-2-3,1-4-2-3,4-1-3-2,1-4-3-2,a,General Science,1
"Assertion (A): Superconductors exhibit zero electrical resistance below a critical temperature.
Reason (R): In superconductors, electrons form Cooper pairs which move through the lattice without scattering.
In the context of the above, which one of the following is correct?",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is NOT the correct explanation of A,A is true but R is false,A is false but R is true,a,General Science,1
"Match List I (Disease) with List II (Causative Agent) and select the correct answer using the code given below the lists:

List I
(Disease)

A. Cholera
B. Tuberculosis
C. Malaria
D. Ringworm

List II
(Causative Agent)

1. Fungus
2. Bacteria
3. Protozoa

Code:
","A-2, B-2, C-3, D-1","A-2, B-3, C-2, D-1","A-3, B-2, C-2, D-1","A-3, B-3, C-2, D-1",a,General Science,1
"Which of the following statements regarding 'CRISPR-Cas9' technology is/are correct?
1. It is a gene-editing technology.
2. Cas9 is an enzyme that acts like molecular scissors.
3. It can only be used in prokaryotic organisms.
Select the correct answer using the code given below:",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",a,General Science,1
Which of the following statements best describes the 'Tyndall Effect'?,The splitting of white light into its constituent colors by a prism.,The scattering of light by particles in a colloid or suspension.,The emission of electrons when light shines on a material.,The bending of light as it passes from one medium to another.,b,General Science,1
What is the primary function of 'Telomeres' in eukaryotic cells?,To initiate DNA replication,To protect chromosomes from degradation and fusion,To regulate gene expression,To synthesize proteins,b,General Science,1
Which of the following is NOT a greenhouse gas as defined by the Kyoto Protocol?,Carbon Dioxide (CO2),Methane (CH4),Nitrous Oxide (N2O),Argon (Ar),d,General Science,1
Which of the following principles explains the functioning of an optical fiber?,Refraction,Total Internal Reflection,Diffraction,Interference,b,General Science,1
"Consider the following statements regarding the Swadeshi Movement:
1. It originated as a protest against the partition of Bengal.
2. It advocated for the boycott of foreign goods and promotion of indigenous industries.
3. It led to the establishment of the National Council of Education in 1906.
Which of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",d,Indian National Movement,1
"Match List I (Newspapers/Journals) with List II (Editor/Founder) and select the correct answer using the code given below:
List I
(A) Bande Mataram
(B) Amrita Bazar Patrika
(C) The Indian Sociologist
(D) Talwar

List II
(1) Shyamji Krishna Varma
(2) Bhupendranath Datta
(3) Sisir Kumar Ghosh
(4) Virendranath Chattopadhyay

Code:
","A-2, B-3, C-1, D-4","A-3, B-2, C-4, D-1","A-2, B-3, C-4, D-1","A-3, B-2, C-1, D-4",a,Indian National Movement,1
"Arrange the following events in chronological order:
1. Gandhi-Irwin Pact
2. Launch of Quit India Movement
3. Second Round Table Conference
4. Lahore Session of Indian National Congress
Select the correct answer using the code given below:",4-1-3-2,1-3-4-2,4-3-1-2,1-4-3-2,a,Indian National Movement,1
"Assertion (A): The Cripps Mission failed to secure Indian support during World War II.
Reason (R): It offered Dominion Status, not complete independence, after the war, which was unacceptable to the Indian National Congress.
In the context of the above, which one of the following is correct?",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is NOT the correct explanation of A,A is true but R is false,A is false but R is true,a,Indian National Movement,1
Which of the following revolutionaries was NOT associated with the Kakori Train Robbery?,Ram Prasad Bismil,Ashfaqullah Khan,Bhagat Singh,Rajendra Lahiri,c,Indian National Movement,1
