Question,Option A,Option B,Option C,Option D,Correct Answer
In which year was the first census conducted in India?,1881,1872,1861,1891,b
Where was the first post office in India established by the British East India Company?,Madras,Calcutta,Delhi,Bombay (now Mumbai),d
The historic 'Victoria Park' is now renamed as what?,Gandhi Park,Nehru Park,Jung-e-Azadi Park,Azad Hind Park,c
Who was the chief architect and designer of New Delhi?,Herbert Baker,Edwin Lutyens,Robert Clive,Warren Hastings,b
Who built the Bara Imambara in Lucknow?,Saadat Ali Khan,Shuja-ud-Daula,Asaf-ud-Daula,Wajid Ali Shah,c
The first clear expression of nationalism came with which event?,Indian Mutiny of 1857,American Revolution,French Revolution,Russian Revolution,c
K.M. Munshi founded which organization?,Hindu Mahasabha,Rashtriya Swayamsevak Sangh,Bharatiya Vidya Bhavan,Arya Samaj,c
In which state was the Mahad Satyagraha started by Dr. B. R. Ambedkar?,Gujarat,Maharashtra,Madhya Pradesh,Karnataka,b
The Palli movement is related to which state?,Kerala,Andhra Pradesh,Tamil Nadu,Karnataka,c
"Who attempted to assassinate Charles Tegart, the Police Commissioner of Calcutta?",Bhagat Singh,Gopinath Saha,Khudiram Bose,Suryasen,b
"Match the following proposals with their respective years:

   I. August Proposal          A. 1945
   II. Cripps Proposal         B. 1940
   III. CR Formula            C. 1942
   IV. Wavell Plan             D. 1944","I-B, II-C, III-D, IV-A","I-C, II-B, III-A, IV-D","I-A, II-D, III-C, IV-B","I-D, II-A, III-B, IV-C",a
Since which year has the Amar Jawan Jyoti been burning continuously at India Gate?,1965,1962,1971,1947,c
Which country has the longest written constitution in the world?,United States of America,United Kingdom,India,Australia,c
Who was known as the 'extremist leader' during India's freedom movement?,Mahatma Gandhi,Jawaharlal Nehru,Bal Gangadhar Tilak,Sardar Vallabhbhai Patel,c
The Gateway of India was built to commemorate the arrival of which British monarchs?,Queen Victoria and Prince Albert,King Edward VII and Queen Alexandra,King George V and Queen Mary,King George VI and Queen Elizabeth,c
In which architectural style was the Gateway of India built?,Gothic,Indo-Saracenic,Roman,Greek,b
Who designed the India Gate in Delhi?,Herbert Baker,Edwin Lutyens,Robert Chisholm,William Emerson,b
In which city was British India primarily located between 1773-1911?,Delhi,Bombay,Madras,Calcutta,d
Which of the following statements is INCORRECT regarding the Amar Jawan Jyoti?,It burns near India Gate.,It commemorates soldiers martyred during the war.,It was established in 1971.,It commemorates soldiers martyred during the First World War.,d
"In which city is the 'Jung-e-Azadi Park', formerly known as 'Victoria Park', located?",Lucknow,Meerut,Agra,Kanpur,b
Which event marked the first clear expression of nationalism?,American Revolution,Russian Revolution,French Revolution,Industrial Revolution,c
"Who attempted to assassinate the Police Commissioner of Calcutta, Charles Tegart?",Bhagat Singh,Gopinath Saha,Subhas Chandra Bose,Khudiram Bose,b
In which year has the Amar Jawan Jyoti been continuously burning at India Gate since?,1965,1971,1962,1947,b
Which country's constitution is the longest written constitution in the world?,United States,China,India,Australia,c
"Match the following proposals with their respective years:

Column I
(A) August Proposal
(B) Cripps Proposal
(C) CR Formula
(D) Wavell Plan

Column II
(1) 1942
(2) 1940
(3) 1945
(4) 1944

","A-2, B-1, C-4, D-3","A-1, B-2, C-3, D-4","A-4, B-3, C-2, D-1","A-3, B-4, C-1, D-2",a
In which city was the British India capital located between 1773 and 1911?,Delhi,Bombay,Calcutta,Madras,c
The Amar Jawan Jyoti burns near India Gate in memory of soldiers martyred during the war in 1971 with which country?,Pakistan,China,Bangladesh,Pak-China,a
The Gateway of India was built in what architectural style?,Gothic,Indo-Saracenic,Roman,Mughal,b
The Gateway of India was built to commemorate the arrival of whom?,Queen Elizabeth I,Queen Victoria,King George V and Queen Mary,Lord Curzon,c
Which of the following statements is INCORRECT regarding Nathuram Godse's brothers?,Dattatreya was a brother of Nathuram Godse.,Govind was a brother of Nathuram Godse.,Gopal was a brother of Nathuram Godse.,None of the brothers were members of the RSS.,d
With which event did the first clear expression of nationalism come?,Russian Revolution,American Revolution,French Revolution,Industrial Revolution,c
Which organization was founded by K.M. Munshi?,Brahmo Samaj,Arya Samaj,Bharatiya Vidya Bhavan,Ramakrishna Mission,c
