Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following lakes is the largest man-made lake in India?,Chilka Lake,Vembanad Lake,Baikal Lake,Gobind Vallabh Pant Sagar,d
In which district of Uttar Pradesh is Badataal (Gokhur) located?,Shahjahanpur,Bahraich,Gonda,Mirzapur,a
Which lake is known as the site of foreign birds arrival in Uttar Pradesh?,Kimath Taal,Alwara Jheel,Aundhi Taal,Darwan Jheel,b
"Arrange the following lakes in Uttar Pradesh based on the districts they are located in (from north to south): 1. Pilibhit, 2. Lucknow, 3. Rampur, 4. Sitapur","1, 3, 4, 2","1, 4, 3, 2","3, 1, 2, 4","4, 2, 1, 3",b
Which of the following lakes is INCORRECTLY matched with its district?,Payag Jheel - Bahraich,Parvati or Arga Taal - Gonda,Bakhira Jheel - Sant Kabir Nagar,Ramgarhtaal - Unnao,d
Where is the Wular Lake located?,Odisha,Kerala,Jammu and Kashmir,Uttar Pradesh,c
Which district is associated with the lakes Karela and Etauja Jheel?,Unnao,Lucknow,Raibareli,Bareli,b
Which of the following Taal is located in Balia?,Surha Taal,Moti Taal,Gaur Jheel,Raamtaal,a
"Match the following lakes with their respective districts:
I. Madan Sagar  II. Devaria Taal III. Bhakha Jheel  IV. Sagar Taal
A. Kannauj  B. Badaun  C. Mahoba D. Etawah","I-A, II-B, III-C, IV-D","I-C, II-A, III-D, IV-B","I-D, II-C, III-B, IV-A","I-B, II-D, III-A, IV-C",b
Which is the deepest lake in the world?,Chilka Lake,Baikal Lake,Vembanad Lake,Wular Lake,b
Govind Vallabh Pant Sagar is located in which district?,Mirzapur,Sonbhadra,Varanasi,Sultanpur,b
"Which of the following Kunds is NOT located in Govardhan, Mathura?",Radhakund,Shyamkund,Govindkund,Krishnakund,d
Pangaili Fulhar is also known as which Taal?,Gomti Taal,Darwan Jheel,Dahar Jheel,Bhijwaan Jheel,a
"Which district is associated with Raja ka Bandh, Laundhi and Bhojpur Taal?",Faizabad,Sultanpur,Kanpur,Jhansi,b
In which of the following districts is Liloor Jheel situated?,Raibareli,Bareli,Fatehpur,Pratapgarh,b
Which Taal is situated in Meerut?,Raamtaal,Kimath Taal,Shukrataal,Moti Taal,a
Which district is associated with Aundhi Taal?,Koshambi,Varanasi,Sultanpur,Faizabad,b
Which of the following statements is INCORRECT regarding Indian lakes?,Vembanad Lake is the longest lake in India.,Chilka Lake is India’s largest saltwater lake.,Baikal Lake is the largest freshwater lake in Asia.,Gobind Vallabh Pant Sagar is India’s largest man-made lake.,c
Bal Hapara lake is located in which of the following districts?,Kanpur,Jhansi,Badaun,Mahoba,a
Which of the following lakes is located in Pratapgarh?,Beti Jheel,Thithoora Jheel,Bhugetaal,Kundra Samundra,a
Where is Chakra Kund (Naumish) located?,Ayodhya,Sitapur,Mathura,Hardoi,b
Kimath Taal is located in which district of Uttar Pradesh?,Meerut,Agra,Muzzafanagar,Rampur,b
"The highest lake in India, Gurudongmar Lake, is located in which state?",Uttar Pradesh,Kerala,Sikkim,Odisha,c
Where is Bharatkund located?,Ayodhya,Sitapur,Mathura,Hardoi,a
In which district of Uttar Pradesh is Bhasneh Lake located?,Kanpur,Jhansi,Badaun,Mahoba,b
Which lake is associated with Pilibhit?,Gomti Taal,Dahar Jheel,Devaria Taal,Bhakha Jheel,a
Where is Nauh Jheel located?,"Govardhan, Mathura","Kokila Forest, Mathura",Mathura,Sitapur,c
Dahar Jheel is located in which district?,Pilibhit,Hardoi,Kannauj,Etawah,b
Which district is associated with Kundra Samundra?,Unnao,Lucknow,Raibareli,Gorakhpur,a
Where is Kokilakund located?,"Govardhan, Mathura","Kokila Forest, Mathura",Mathura,Sitapur,b
Which of the following is NOT a Taal (lake) located in Mathura district?,Radhakund,Govindkund,Shyamkund,Devaria Taal,d
Where is Darwan Jheel located?,Sultanpur,Faizabad,Kanpur,Jhansi,b
Bhakha Jheel is situated in which district?,Hardoi,Kannauj,Etawah,Sitapur,c
Lakshmi Taal is located in which district of Uttar Pradesh?,Kanpur,Jhansi,Badaun,Mahoba,b
Sita Kund (Misrikh) is located in which district?,Ayodhya,Sitapur,Mathura,Hardoi,b
Which of the following Taal is located in Hardoi district?,Gomti Taal,Dahar Jheel,Devaria Taal,Bhakha Jheel,b
Devaria Taal is associated with which of the following districts in Uttar Pradesh?,Pilibhit,Hardoi,Kannauj,Etawah,c
Which Taal is found in Mahoba?,Madan Sagar,Lakshmi Taal,Sagar Taal,Darwan Jheel,a
Identify the district where Payag Jheel is situated.,Shahjahanpur,Bahraich,Gonda,Mirzapur,b
In which district is Sagar Taal located?,Jhansi,Badaun,Mahoba,Pilibhit,b
