Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topics,Points
Which state is the largest producer of iron ore in India?,Chhattisgarh,Odisha,Karnataka,Jharkhand,b,Minerals of India,"minerals of india questions latest data based 2025-2026, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
What type of iron ore is primarily found in the Bailadila mines?,Limonite,Magnetite,Hematite,Siderite,c,Minerals of India,"minerals of india questions latest data based 2025-2026, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which state is the largest producer of coal in India as of 2025-2026?,Odisha,Chhattisgarh,Jharkhand,Madhya Pradesh,b,Minerals of India,"minerals of india questions latest data based 2025-2026, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
The Jharia coalfield is located in which state?,West Bengal,Bihar,Jharkhand,Odisha,c,Minerals of India,"minerals of india questions latest data based 2025-2026, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which of the following is a uranium-producing state in India?,Rajasthan,Kerala,Gujarat,Tamil Nadu,a,Minerals of India,"minerals of india questions latest data based 2025-2026, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
The Kudankulam Nuclear Power Plant is located in which state?,Karnataka,Andhra Pradesh,Tamil Nadu,Kerala,c,Minerals of India,"minerals of india questions latest data based 2025-2026, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which mineral is chiefly associated with the Chota Nagpur Plateau region?,Petroleum,Gold,Iron Ore,Natural Gas,c,Minerals of India,"minerals of india questions latest data based 2025-2026, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which state is the leading producer of manganese in India?,Odisha,Karnataka,Maharashtra,Madhya Pradesh,d,Minerals of India,"minerals of india questions latest data based 2025-2026, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Where is the Jaduguda uranium mine located?,Karnataka,Jharkhand,Andhra Pradesh,Chhattisgarh,b,Minerals of India,"minerals of india questions latest data based 2025-2026, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which of these is a major coalfield in West Bengal?,Talcher,Singareni,Raniganj,Korba,c,Minerals of India,"minerals of india questions latest data based 2025-2026, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which state has the largest reserves of Thorium?,Kerala,Jharkhand,Rajasthan,Andhra Pradesh,a,Minerals of India,"minerals of india questions latest data based 2025-2026, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
In which state is the Kalpakkam Nuclear Power Plant located?,Andhra Pradesh,Tamil Nadu,Karnataka,Kerala,b,Minerals of India,"minerals of india questions latest data based 2025-2026, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
"Which plateau region is known for its rich deposits of minerals like iron ore, coal, and manganese?",Deccan Plateau,Malwa Plateau,Chota Nagpur Plateau,Marwar Plateau,c,Minerals of India,"minerals of india questions latest data based 2025-2026, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
"What is the name of the iron ore mine located in Chhattisgarh, known for its high-quality ore?",Noamundi,Bailadila,Donimalai,Kudremukh,b,Minerals of India,"minerals of india questions latest data based 2025-2026, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which state is the largest producer of Bauxite in India as of 2025-2026?,Gujarat,Odisha,Jharkhand,Maharashtra,b,Minerals of India,"minerals of india questions latest data based 2025-2026, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
The Singareni coalfields are located in which state?,Andhra Pradesh,Tamil Nadu,Telangana,Karnataka,c,Minerals of India,"minerals of india questions latest data based 2025-2026, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which mineral is Monazite sand a rich source of?,Gold,Uranium,Thorium,Silver,c,Minerals of India,"minerals of india questions latest data based 2025-2026, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
The Tarapur Atomic Power Station is located in which state?,Gujarat,Maharashtra,Karnataka,Rajasthan,b,Minerals of India,"minerals of india questions latest data based 2025-2026, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which of the following minerals is abundantly found in the Deccan Plateau region?,Petroleum,Gold,Bauxite,Diamond,c,Minerals of India,"minerals of india questions latest data based 2025-2026, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which of the following is a major coal mining company in India?,Oil India Limited,Coal India Limited,ONGC,GAIL,b,Minerals of India,"minerals of india questions latest data based 2025-2026, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
