Question,Option A,Option B,Option C,Option D,Correct Answer
"The Indian National Movement, according to the text, primarily spans which period?",1857-1947,1905-1947,1885-1947,1915-1947,c
Which of the following periods is highlighted as the 'Gandhi Era' in the context of the Indian National Movement?,1885-1915,1905-1947,1915-1947,1857-1905,c
Which event is associated with the year 1942 in the context of the Indian National Movement?,Civil Disobedience Movement,Quit India Movement,Non-cooperation movement,Khilafat movement,b
In which year was the Indian National Congress established?,1906,1907,1916,1885,d
The Partition of Bengal took place in which year?,1916,1907,1905,1885,c
In which year was the Muslim League formed?,1907,1916,1906,1905,c
Which of the following is associated with Dayanand Saraswati?,Brahmo Samaj,Ramakrishna Mission,Arya Samaj,Satyashodhak Samaj,c
Who founded the Satyashodhak Samaj?,Swami Vivekananda,Raja Rammohan Roy,Dayanand Saraswati,Jyotiba Phule,d
Which reform is associated with Ishwar Chandra Vidyasagar?,Abolition of Sati,Return to the Vedas,Widow Remarriage,Subsidiary Alliance,c
Match the following:,Lord Curzon - Partition and independence of India,"Lord Mountbatten - Railways , Telegraph",Lord Dalhousie - Partition of Bengal,Lord Wellesley - Abolition of Sati practice,c
Which of the following events is associated with Lord William Bentinck?,Doctrine of Lapse,Partition of Bengal,Subsidiary Alliance,Abolition of Sati practice,d
Who was the first Viceroy of India?,Lord Dalhousie,Lord William Bentinck,Lord Curzon,Lord Canning,d
Which of the following is NOT associated with the Moderate and Extremist phase?,Establishment of Congress,Lucknow Pact,Kakori Incident,Surat Split,c
Which of the following movements is NOT listed under the Gandhi Era (1915-1947)?,Khilafat Movement,Quit India Movement,Home Rule League Movement,Civil Disobedience Movement,c
The establishment of the Indian National Congress took place in which year?,1906,1907,1885,1916,c
The Surat Split is associated with which year?,1905,1906,1907,1916,c
Which of the following figures is associated with the HSRA?,Subhash Chandra Bose,Annie Besant,Jyotiba Phule,Bhagat Singh,d
Who founded the Arya Samaj?,Swami Vivekananda,Dayanand Saraswati,Raja Rammohan Roy,Jyotiba Phule,b
Which of the following is INCORRECTLY matched?,Lord Dalhousie - Doctrine of Lapse,Lord Curzon - Partition of Bengal,Lord Wellesley - Subsidiary Alliance,Lord Canning - Abolition of Sati practice,d
During whose tenure as Viceroy did the Partition of India and Independence occur?,Lord Curzon,Lord Canning,Lord Mountbatten,Lord Dalhousie,c
Abolition of Sati practice is associated with which Governor-General?,Lord Curzon,Lord William Bentinck,Lord Canning,Lord Wellesley,b
"The Indian National Movement, a significant period in modern Indian history, spanned from which years, according to the text?",1857-1947,1885-1950,1885-1947,1905-1947,c
Which of the following movements is associated with the Gandhi Era (1915-1947)?,Swadeshi Movement,Home Rule League Movement,Civil Disobedience Movement,Partition of Bengal,c
Which of the following events occurred in 1942?,Non-cooperation movement,Quit India Movement,Civil Disobedience Movement,Khilafat movement,b
Who among the following founded the Ramakrishna Mission?,Dayanand Saraswati,Swami Vivekananda,Jyotiba Phule,Raja Rammohan Roy,b
The Doctrine of Lapse was implemented by which of the following Governor Generals?,Lord Curzon,Lord Wellesley,Lord Dalhousie,Lord William Bentinck,c
Which of the following is NOT associated with Lord Curzon?,Railways,Partition of Bengal,Both Railways and Partition of Bengal,None of these,a
During whose tenure as Viceroy did the Revolution of 1857 take place?,Lord Dalhousie,Lord Canning,Lord William Bentinck,Lord Mountbatten,b
"Arrange the following events in chronological order:
(1) Partition of Bengal
(2) Establishment of Congress
(3) Formation of Muslim League
(4) Surat Split","2, 1, 3, 4","1, 2, 3, 4","4, 3, 2, 1","3, 4, 1, 2",a
Which of the following statements is INCORRECT regarding socio-religious reform movements?,Raja Rammohan Roy founded the Brahmo Samaj.,Dayanand Saraswati advocated 'Return to the Vedas'.,Jyotiba Phule is associated with widow remarriage.,Swami Vivekananda established the Ramakrishna Mission.,c
Which Viceroy is associated with the abolition of Sati practice?,Lord Canning,Lord Dalhousie,Lord William Bentinck,Lord Curzon,c
Which of the following movements is NOT mentioned as part of the Gandhi Era?,Khilafat Movement,Civil Disobedience Movement,Home Rule League Movement,Non-cooperation Movement,c
In which year did the Quit India Movement take place?,1930,1940,1942,1945,c
The Kakori incident is associated with which type of activity?,Moderate political gatherings,Socio-religious reforms,Revolutionary activities,Gandhi's campaigns,c
Which reformer is associated with the 'Return to the Vedas' slogan?,Raja Rammohan Roy,Swami Vivekananda,Dayanand Saraswati,Jyotiba Phule,c
Who was a leader of the Revolt of 1857 in Bihar?,Begum Hazrat Mahal,Rani Lakshmibai,Kunwar Singh,Mangal Pandey,c
The Government of India Act of which year is considered the basis of the Constitution?,1909,1919,1935,1946,c
Which of the following reforms introduced the Communal Electorate?,Regulating Act of 1773,Morley-Minto Reforms of 1909,Montagu-Chelmsford Reforms of 1919,Government of India Act of 1935,b
In which year did the Cabinet Mission Plan take place?,1909,1919,1935,1946,d
"Arrange the following events in chronological order:
(1) Chauri-Chaura incident
(2) Dandi March
(3) Jallianwala Bagh massacre",3-2-1,1-2-3,2-3-1,3-1-2,d
Who among the following founded the Swaraj Party in 1923?,Jawaharlal Nehru and Subhas Chandra Bose,Chittaranjan Das and Motilal Nehru,Mahatma Gandhi and Sardar Patel,Rajendra Prasad and C. Rajagopalachari,b
Gandhiji's first Satyagraha in India was the?,Non-Cooperation Movement,Dandi March,Champaran Satyagraha,Quit India Movement,c
Against which incident did Gandhiji renounce the title of 'Kesar-e-Hind'?,Chauri-Chaura Incident,Dandi March,Jallianwala Bagh massacre,Simon Commission,c
