Question,Option A,Option B,Option C,Option D,Correct Answer
What is Uttar Pradesh's position in India with respect to population?,Second,Third,Fourth,First,d
"According to the 2011 census, what was the approximate population of Uttar Pradesh?","20,98,12,341","18,98,12,341","19,98,12,341","21,98,12,341",c
What is Uttar Pradesh's rank in India concerning its area?,Third,Second,First,Fourth,d
Which of the following states is NOT among the top five largest states in India by area?,Rajasthan,Madhya Pradesh,Maharashtra,Bihar,d
Approximately what percentage of India's total area is covered by Uttar Pradesh?,8.33%,6.33%,9.33%,7.33%,d
Which city serves as the administrative and legislative capital of Uttar Pradesh?,Prayagraj,Kanpur,Lucknow,Varanasi,c
What is the judicial capital of Uttar Pradesh?,Lucknow,Kanpur,Prayagraj,Varanasi,c
What is the latitudinal extent of Uttar Pradesh?,22°52' to 32°28' North Latitude,23°52' to 31°28' North Latitude,24°52' to 30°28' North Latitude,25°52' to 29°28' North Latitude,b
What is the longitudinal extent of Uttar Pradesh?,76°31' to 85°39' East Longitude,78°31' to 83°39' East Longitude,77°31' to 84°39' East Longitude,75°31' to 86°39' East Longitude,c
What is the approximate east-west length of Uttar Pradesh?,550 kilometers,750 kilometers,650 kilometers,850 kilometers,c
What is the approximate north-south length of Uttar Pradesh?,240 kilometers,340 kilometers,140 kilometers,440 kilometers,a
What is the difference between the east-west and north-south lengths of Uttar Pradesh?,310 kilometers,510 kilometers,410 kilometers,610 kilometers,c
Which district is located at the easternmost point of Uttar Pradesh?,Saharanpur,Sonbhadra,Shamli,Ballia,d
Which district is situated at the westernmost boundary of Uttar Pradesh?,Saharanpur,Sonbhadra,Shamli,Ballia,c
Identify the northernmost district of Uttar Pradesh.,Saharanpur,Sonbhadra,Shamli,Ballia,a
Which district marks the southernmost point of Uttar Pradesh?,Saharanpur,Sonbhadra,Shamli,Ballia,b
Which district in Uttar Pradesh has the largest area?,Hapur,Lakhimpur Kheri,Sonbhadra,Saharanpur,b
What is the smallest district in Uttar Pradesh by area?,Lakhimpur Kheri,Sonbhadra,Hapur,Saharanpur,c
"From 1902, what was the name of Uttar Pradesh?",United Province,Uttar Pradesh,United Provinces of Agra and Awadh,Aryavart,c
What was Uttar Pradesh called from 1937?,Uttar Pradesh,United Provinces,Aryavart,Northern Province,b
On what date did Uttar Pradesh officially receive the name 'Uttar Pradesh'?,"January 25, 1950","January 23, 1950","January 24, 1950","January 26, 1950",c
Which of the following statements is INCORRECT regarding the area of Uttar Pradesh districts?,Lakhimpur Kheri is the largest district.,Hapur is the smallest district.,Lakhimpur Kheri has an area of 7680 km².,Hapur has an area of 7680 km².,d
"Arrange the following names of Uttar Pradesh in chronological order:
1. United Provinces
2. Uttar Pradesh
3. United Provinces of Agra and Oudh",3-1-2,2-1-3,1-2-3,3-2-1,a
Which of the following is the correct descending order of the top five states of India in terms of area?,"Rajasthan, Maharashtra, Madhya Pradesh, Uttar Pradesh, Gujarat","Madhya Pradesh, Rajasthan, Maharashtra, Uttar Pradesh, Gujarat","Rajasthan, Madhya Pradesh, Maharashtra, Gujarat, Uttar Pradesh","Rajasthan, Madhya Pradesh, Maharashtra, Uttar Pradesh, Gujarat",d
Which of the following statements is INCORRECT?,The judicial capital of Uttar Pradesh is Prayagraj.,The easternmost district of Uttar Pradesh is Ballia.,The smallest district of Uttar Pradesh by area is Hapur.,The administrative capital of Uttar Pradesh is Varanasi.,d
"Arrange the following states in descending order of area: (1) Uttar Pradesh, (2) Maharashtra, (3) Rajasthan, (4) Madhya Pradesh.","3, 4, 2, 1","4, 3, 1, 2","2, 1, 4, 3","1, 2, 3, 4",a
Match the following: (A) 1902 (B) 1937 with (1) United Provinces (2) United Provinces of Agra and Oudh.,"A-1, B-2","A-2, B-1","A-1, B-1","A-2, B-2",b
