Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topics,Points
"Which Gupta ruler is credited with establishing the Gupta era, initiating a period of significant cultural and scientific advancement in India?",Chandragupta II,Samudragupta,Chandragupta I,Skandagupta,c,Ancient History,Gupta Empire,1
"The Allahabad Pillar inscription, a key source of information about the Gupta Empire, primarily describes the military conquests and achievements of which ruler?",Kumaragupta I,Samudragupta,Vishnu Gupta,Skandagupta,b,Ancient History,Gupta Empire,1
"Consider the following statements regarding the Gupta administration:
1. The Gupta kings adopted titles such as 'Maharajadhiraja' suggesting a centralized administrative system.
2. Land grants to Brahmanas became more prevalent during the Gupta period, which decentralized power.
3. The Gupta empire maintained a strong navy that controlled trade routes in the Indian Ocean.
Which of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",a,Ancient History,Gupta Empire,1
"Which of the following literary works is attributed to Kalidasa, a prominent figure during the Gupta period?",Arthashastra,Mudrarakshasa,Raghuvamsha,Brihat-Samhita,c,Ancient History,Gupta Empire,1
The decline of the Gupta Empire is often attributed to invasions by which group from Central Asia?,The Kushans,The Hunas,The Sakas,The Parthians,b,Ancient History,Gupta Empire,1
"During the Gupta period, which of the following universities was a prominent center of learning and attracted students from across Asia?",Taxila,Nalanda,Vikramashila,Vallabhi,b,Ancient History,Gupta Empire,1
"Arrange the following Gupta rulers in chronological order:
1. Skandagupta
2. Kumaragupta I
3. Chandragupta II
4. Samudragupta
Select the correct sequence:","4, 3, 2, 1","3, 4, 1, 2","2, 1, 4, 3","1, 2, 3, 4",a,Ancient History,Gupta Empire,1
Which of the following best describes the 'Bhagavata' sect that gained prominence during the Gupta period?,A form of Buddhism,A sect dedicated to the worship of Shiva,A devotional tradition centered around Vishnu,A Jain monastic order,c,Ancient History,Gupta Empire,1
"Assertion (A): The Gupta period is often referred to as the 'Golden Age' of India.
Reason (R): There was significant progress in science, technology, art, literature and philosophy during this era.
In the context of the above statements, which of the following is correct?","Both A and R are true, and R is the correct explanation of A.","Both A and R are true, but R is not the correct explanation of A.","A is true, but R is false.","A is false, but R is true.",a,Ancient History,Gupta Empire,1
Which of the following terms was used to denote administrative divisions during the Gupta period?,Nadu,Bhukti,Ur,Kottams,b,Ancient History,Gupta Empire,1
"Match List I (Gupta Officials) with List II (Responsibilities) and select the correct answer using the code given below:
List I
(A) Agraharika
(B) Dandapasika
(C) Mahadandanayaka
(D) Vinayasthitisthapaka
List II
1. Chief Justice
2. Officer in charge of land grants
3. Police Officer
4. Officer in charge of maintaining Dharma
Code:
","A-2, B-3, C-1, D-4","A-3, B-2, C-4, D-1","A-1, B-4, C-2, D-3","A-4, B-1, C-3, D-2",a,Ancient History,Gupta Empire,1
Who among the following Gupta rulers is known for his patronage of the Chinese Buddhist monk Fa-Hien?,Samudragupta,Chandragupta I,Kumaragupta I,Chandragupta II,d,Ancient History,Gupta Empire,1
"Which of the following best describes the 'Vishnu Dharmottara Purana', composed during the Gupta period?",A treatise on political science,A work on medicine,An encyclopedic work dealing with various art forms,A collection of Buddhist teachings,c,Ancient History,Gupta Empire,1
"The Gupta rulers issued a significant number of gold coins, known as:",Rupya,Dinaras,Karshapanas,Nishkas,b,Ancient History,Gupta Empire,1
Which of the following is NOT a characteristic feature of Gupta art?,Emphasis on spiritual expression,Elegance and grace in figures,Use of abundant ornamentation,Emphasis on realism and anatomical detail,d,Ancient History,Gupta Empire,1
"The 'Ajanta Caves', known for their mural paintings depicting the life of Buddha, received significant patronage during which period?",Mauryan Period,Gupta Period,Kushan Period,Sunga Period,b,Ancient History,Gupta Empire,1
Which of the following plays/works is NOT attributed to Shudraka?,Mrichchhakatika,Charudattam,Swapnavasavadattam,Padmaprabhritaka,c,Ancient History,Gupta Empire,1
Which Gupta emperor performed the Ashvamedha Yagya to assert his imperial sovereignty?,Chandragupta I,Samudragupta,Kumaragupta I,Skandagupta,b,Ancient History,Gupta Empire,1
"The term 'Vishti', commonly used during the Gupta period, referred to:",Forced labour,Religious tax,Land revenue,Irrigation tax,a,Ancient History,Gupta Empire,1
Which of the following astronomical treatises was authored by Aryabhata during the Gupta period?,Surya Siddhanta,Romaka Siddhanta,Aryabhatiya,Pancha Siddhantika,c,Ancient History,Gupta Empire,1
"Consider the following statements related to Gupta society:
1. The position of women improved significantly compared to earlier periods.
2. The practice of Sati was prevalent, indicating a decline in the status of women.
3. The caste system became more rigid during the Gupta period.
Which of the statements given above is/are correct?",1 only,2 and 3 only,3 only,1 and 2 only,c,Ancient History,Gupta Empire,1
The silver coins issued by the Gupta rulers were generally known as:,Dinaras,Rupyaka,Suvarna,Nishka,b,Ancient History,Gupta Empire,1
"Which of the following Gupta rulers faced incursions from the Huna tribe, leading to significant strain on the empire's resources?",Chandragupta II,Kumaragupta I,Skandagupta,Vishnu Gupta,c,Ancient History,Gupta Empire,1
"Who was the author of the medical text, 'Ashtanga Sangraha', during the Gupta period?",Charaka,Sushruta,Vagbhata,Dhanvantari,c,Ancient History,Gupta Empire,1
"Which term describes the land that was granted to religious institutions and Brahmins during the Gupta Period, exempting them from paying taxes?",Devadana,Brahmadeya,Agrarian,Jagir,b,Ancient History,Gupta Empire,1
