Question,Option A,Option B,Option C,Option D,Correct Answer
Who is the author of the autobiography 'A Life Apart'?,Vinita Agarwal,Manju Bhandari,Prabha Khaitan,Bindu Bhatt,c
The novel 'The Guide' was authored by which of the following writers?,Rohinton Mistry,Shashi Tharoor,RK Narayan,Vikram Chandra,c
Which musician is credited with writing the book 'Anup Rag Vilas'?,Pandit Kumar Gandharva,Pandit Jasraj,Pandit Dinakar Kaikini,Pandit Birju Maharaj,c
Vikram Seth is the author of which globally acclaimed novel?,Arundhati Roy,Kiran Desai,A Suitable Boy,David Davidar,c
Chitra Banerjee Divakaruni is the author of which of the following books?,A Fine Balance,The Palace of Illusions,Malgudi Days,The Feast of Roses,b
Who is the author of 'The Oath of the Vayuputras'?,Vikram Chandra,Indrapramit Das,Amish Tripathi,Ravi Subramanian,c
Ruskin Bond is the author of the historical novel:,Salman Rushdie,A Flight of Pigeons,Vikram Seth,Khushwant Singh,b
Which book is a well-known work by Rabindranath Tagore?,The Way to God,Nationalism,The Essential Writings,Non-Violent Resistance,b
Anuja Chauhan is the author of which novel?,Anita Nair,Those Pricey Thakur Girls,Preeti Shenoy,Pratibha Ray,b
Who authored the classic Hindi novel 'Godaan' in 1936?,Mulkaraj Anand,Munshi Premchand,Jawaharlal Nehru,Mahatma Gandhi,b
'Along the Red River: A Memoir' is a book about the life of:,Sabita Goswami,Nirupama Borgohain,Pushpalata Das,Mitra Phukan,c
Who is the author of the non-fiction book 'Making India Awesome'?,Aravind Adiga,Chetan Bhagat,Siddhartha Mukherjee,Vikram Seth,b
Ashwin Sanghi wrote which political thriller?,Novoneel Chakraborty,Amish Tripathi,Chanakya’s Chant,Samit Basu,c
Haripala is attributed to writing which famous book?,Sangeet Darpan,Sangeet Ratnakara,Sangeeta Sudhakara,Gita Govinda,c
"Who authored the authoritative text on Carnatic music, 'Sangraha Choodamani'?",Matanga,Govindacharya,Haripala,Damodara Misra,b
Jyotiba Phule is the author of:,Swami Shraddhanand,Dwarkanath Tagore,Gulamgiri,BR Ambedkar,c
Which of the following is the autobiography of Prabha Khaitan?,A Suitable Boy,Nationalism,A Life Apart,Godaan,c
Who is the author of the novel 'The Guide'?,Vikram Chandra,Rohinton Mistry,RK Narayan,Shashi Tharoor,c
Which musician authored the book 'Anup Rag Vilas'?,Pandit Birju Maharaj,Pandit Jasraj,Pandit Kumar Gandharva,Pandit Dinakar Kaikini,d
Which book is a retelling of the Mahabharata by Chitra Banerjee Divakaruni?,The Feast of Roses,Malgudi Days,The Palace of Illusions,A Fine Balance,c
Who wrote 'The Oath of the Vayuputras'?,Ravi Subramanian,Amish Tripathi,Vikram Chandra,Indrapramit Das,b
Which of the following books is written by Ruskin Bond?,Vikram Seth,A Flight of Pigeons,Khushwant Singh,Salman Rushdie,b
In what year was Munshi Premchand's 'Godaan' authored?,1936,1940,1947,1950,a
Which of the following statements is INCORRECT?,'A Life Apart' is the autobiography of Prabha Khaitan.,R.K. Narayan wrote 'The Guide'.,Vikram Seth authored 'Making India Awesome'.,Munshi Premchand wrote 'Godaan'.,c
Who wrote the political thriller 'Chanakya’s Chant'?,Novoneel Chakraborty,Amish Tripathi,Ashwin Sanghi,Samit Basu,c
Which of the following books was written by Haripala?,Gita Govinda,Sangeet Ratnakara,Sangeeta Sudhakara,Sangeet Darpan,c
"The 'Sangraha Choodamani', which deals with Carnatic music, was written by:",Haripala,Matanga,Damodara Misra,Govindacharya,d
Jyotiba Phule wrote which of the following books?,Swami Shraddhanand,Dwarkanath Tagore,Gulamgiri,BR Ambedkar,c
Who is the author of 'A Suitable Boy'?,Kiran Desai,Arundhati Roy,David Davidar,Vikram Seth,d
'A Flight of Pigeons' is written by which author?,Vikram Seth,Salman Rushdie,Khushwant Singh,Ruskin Bond,d
Who among the following wrote the book 'Nationalism'?,The Essential Writings,Rabindranath Tagore,The Way to God,Non-Violent Resistance,b
The book 'Those Pricey Thakur Girls' is written by:,Anita Nair,Preeti Shenoy,Anuja Chauhan,Pratibha Ray,c
Which famous book was written by Haripala?,Gita Govinda,Sangeet Ratnakara,Sangeeta Sudhakara,Sangeet Darpan,c
Who wrote the book 'Gulamgiri'?,Swami Shraddhanand,Dwarkanath Tagore,Jyotiba Phule,BR Ambedkar,c
"Match the following books with their respective authors:

Column I
(A) The Guide
(B) A Suitable Boy
(C) Making India Awesome
(D) Chanakya's Chant

Column II
(1) Chetan Bhagat
(2) Ashwin Sanghi
(3) R.K. Narayan
(4) Vikram Seth","A-3, B-4, C-1, D-2","A-3, B-1, C-4, D-2","A-1, B-4, C-3, D-2","A-2, B-4, C-1, D-3",a
Anup Rag Vilas is a book written by which of the following musicians?,Pandit Birju Maharaj,Pandit Jasraj,Pandit Kumar Gandharva,Pandit Dinakar Kaikini,d
The autobiography 'A Life Apart' is written by whom?,Vinita Agarwal,Manju Bhandari,Bindu Bhatt,Prabha Khaitan,d
'A Suitable Boy' was authored by whom?,Arundhati Roy,Kiran Desai,Vikram Seth,David Davidar,c
Which of the following books is NOT written by Rabindranath Tagore?,Nationalism,The Way to God,The Essential Writings,Nationalism,b
Which of the following books focuses on strengthening Panchayati Raj institutions?,Modi@20: Dreams Meet Delivery,Heartfelt: The Legacy of Faith,Agenda for Members of Panchayati Raj Institutions for Rural Development,Dreams of a Billion: India and the Olympic Games,c
Who is the author of the book 'The Painted World of the Warlis'?,Indian Art,Yashodhara Dalmiya,Paintings in the Kangra Valley,Ajanta,b
Who is the author of the pioneering feminist work 'Stree Purush Tulana'?,Rashsundari Devi,Tarabai Shinde,Sarojini Naidu,Pandit Ramabai,b
Who wrote 'The Argumentative Indian'?,Romila Thapar,IK Gujral,Nandita Das,Amartya Sen,d
Which author is known for the novel 'The Hungry Tide'?,Amitav Ghosh,Ruskin Bond,Mul Raj Anand,RK Narayan,a
Arundhati Roy is the author of which of the following books?,The Guide,Midnight's Children,The Algebra of Infinite Justice,A Suitable Boy,c
Which book vividly describes experiences during the Holocaust in World War II?,Long Walk to Freedom,Dreams from My Father,I Know Why the Caged Bird Sings,The Diary of a Young Girl,d
Identify the book authored by Rabindra Bharati.,Music to My Ears,The Music Room,Indie 101,The Forgotten Forms of Hindustani Music,d
Shovana Narayan and Geetika Kalha co-authored which book?,Dance Gestures: Mirror of Expressions,Dancing in the Family,Indian Mythology through Classical Dance,Cultural Rhythms in Emotions,a
Who is the author of the book 'Beneath the Surface: My Story'?,Milkha Singh,Michael Phelps,Kobe Bryant,Tiger Woods,b
Who among the following is the author of 'A History of British India'?,Renley,Bentham,Grenville Austin,James Mill,d
