Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topics,Points
"Consider the following statements regarding the Revolt of 1857:
1. The revolt was triggered by the introduction of the Enfield rifle with greased cartridges.
2. Nana Sahib led the revolt in Kanpur.
3. The annexation of Awadh on grounds of maladministration was a major cause of the revolt.
Which of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",d,Indian National Movement,"Arrival of Europeans in India Portuguese Dutch French British settlements and expansion latest exam questions 2025-2026, Anglo Mysore Wars Haider Ali Tipu Sultan important facts and treaty based questions, Anglo Maratha Wars Maratha Confederacy decline and administrative system questions, British Expansion Policies Subsidiary Alliance Doctrine of Lapse important governor general policies, Regulating Act Pitts India Act Charter Acts constitutional development questions, Governor General and Viceroy reforms and administrative contributions factual questions, Economic Impact of British Rule Drain Theory land revenue systems deindustrialization questions, Permanent Settlement Ryotwari Mahalwari system comparison based questions, Development of Railways Post Telegraph modern infrastructure under British rule questions, Growth of Modern Education Woods Despatch Hunter Commission Sadler Commission questions, Rise of Press Important Newspapers founders and years one liner questions, Social and Religious Reform Movements 19th century important founders and objectives, Brahmo Samaj Arya Samaj Ramakrishna Mission Theosophical Society factual questions, Aligarh Movement and Muslim Reform Movement important personalities and institutions, Revolt of 1857 causes centers leaders consequences latest pattern questions, Peasant Tribal and Labour Movements important revolts and leaders exam focused questions, Formation of Indian National Congress moderate extremist phase Surat split questions, Swadeshi Movement Partition of Bengal impact and leaders important facts, Muslim League formation Lucknow Pact Home Rule Movement factual questions, Rowlatt Act Jallianwala Bagh Massacre important commission and report questions, Non Cooperation Movement Civil Disobedience Movement Salt Satyagraha questions, Round Table Conferences Gandhi Irwin Pact Poona Pact related questions, Government of India Act 1919 and 1935 important provisions comparison questions, Quit India Movement Azad Hind Fauj INA Trials Subhash Chandra Bose questions, Transfer of Power Cabinet Mission Mountbatten Plan Indian Independence Act questions",1
Which of the following social reformers is associated with the 'Tattvabodhini Sabha'?,Debendranath Tagore,Keshab Chandra Sen,Atmaram Pandurang,Dayananda Saraswati,a,Indian National Movement,"Arrival of Europeans in India Portuguese Dutch French British settlements and expansion latest exam questions 2025-2026, Anglo Mysore Wars Haider Ali Tipu Sultan important facts and treaty based questions, Anglo Maratha Wars Maratha Confederacy decline and administrative system questions, British Expansion Policies Subsidiary Alliance Doctrine of Lapse important governor general policies, Regulating Act Pitts India Act Charter Acts constitutional development questions, Governor General and Viceroy reforms and administrative contributions factual questions, Economic Impact of British Rule Drain Theory land revenue systems deindustrialization questions, Permanent Settlement Ryotwari Mahalwari system comparison based questions, Development of Railways Post Telegraph modern infrastructure under British rule questions, Growth of Modern Education Woods Despatch Hunter Commission Sadler Commission questions, Rise of Press Important Newspapers founders and years one liner questions, Social and Religious Reform Movements 19th century important founders and objectives, Brahmo Samaj Arya Samaj Ramakrishna Mission Theosophical Society factual questions, Aligarh Movement and Muslim Reform Movement important personalities and institutions, Revolt of 1857 causes centers leaders consequences latest pattern questions, Peasant Tribal and Labour Movements important revolts and leaders exam focused questions, Formation of Indian National Congress moderate extremist phase Surat split questions, Swadeshi Movement Partition of Bengal impact and leaders important facts, Muslim League formation Lucknow Pact Home Rule Movement factual questions, Rowlatt Act Jallianwala Bagh Massacre important commission and report questions, Non Cooperation Movement Civil Disobedience Movement Salt Satyagraha questions, Round Table Conferences Gandhi Irwin Pact Poona Pact related questions, Government of India Act 1919 and 1935 important provisions comparison questions, Quit India Movement Azad Hind Fauj INA Trials Subhash Chandra Bose questions, Transfer of Power Cabinet Mission Mountbatten Plan Indian Independence Act questions",1
"Arrange the following events in chronological order:
1. Surat Split
2. Partition of Bengal
3. Formation of the Indian National Congress
4. Government of India Act, 1919","3, 2, 1, 4","2, 3, 1, 4","4, 1, 2, 3","1, 2, 4, 3",a,Indian National Movement,"Arrival of Europeans in India Portuguese Dutch French British settlements and expansion latest exam questions 2025-2026, Anglo Mysore Wars Haider Ali Tipu Sultan important facts and treaty based questions, Anglo Maratha Wars Maratha Confederacy decline and administrative system questions, British Expansion Policies Subsidiary Alliance Doctrine of Lapse important governor general policies, Regulating Act Pitts India Act Charter Acts constitutional development questions, Governor General and Viceroy reforms and administrative contributions factual questions, Economic Impact of British Rule Drain Theory land revenue systems deindustrialization questions, Permanent Settlement Ryotwari Mahalwari system comparison based questions, Development of Railways Post Telegraph modern infrastructure under British rule questions, Growth of Modern Education Woods Despatch Hunter Commission Sadler Commission questions, Rise of Press Important Newspapers founders and years one liner questions, Social and Religious Reform Movements 19th century important founders and objectives, Brahmo Samaj Arya Samaj Ramakrishna Mission Theosophical Society factual questions, Aligarh Movement and Muslim Reform Movement important personalities and institutions, Revolt of 1857 causes centers leaders consequences latest pattern questions, Peasant Tribal and Labour Movements important revolts and leaders exam focused questions, Formation of Indian National Congress moderate extremist phase Surat split questions, Swadeshi Movement Partition of Bengal impact and leaders important facts, Muslim League formation Lucknow Pact Home Rule Movement factual questions, Rowlatt Act Jallianwala Bagh Massacre important commission and report questions, Non Cooperation Movement Civil Disobedience Movement Salt Satyagraha questions, Round Table Conferences Gandhi Irwin Pact Poona Pact related questions, Government of India Act 1919 and 1935 important provisions comparison questions, Quit India Movement Azad Hind Fauj INA Trials Subhash Chandra Bose questions, Transfer of Power Cabinet Mission Mountbatten Plan Indian Independence Act questions",1
Who among the following was NOT a prominent leader of the Swadeshi Movement?,Aurobindo Ghosh,Bal Gangadhar Tilak,Bipin Chandra Pal,Syed Ahmed Khan,d,Indian National Movement,"Arrival of Europeans in India Portuguese Dutch French British settlements and expansion latest exam questions 2025-2026, Anglo Mysore Wars Haider Ali Tipu Sultan important facts and treaty based questions, Anglo Maratha Wars Maratha Confederacy decline and administrative system questions, British Expansion Policies Subsidiary Alliance Doctrine of Lapse important governor general policies, Regulating Act Pitts India Act Charter Acts constitutional development questions, Governor General and Viceroy reforms and administrative contributions factual questions, Economic Impact of British Rule Drain Theory land revenue systems deindustrialization questions, Permanent Settlement Ryotwari Mahalwari system comparison based questions, Development of Railways Post Telegraph modern infrastructure under British rule questions, Growth of Modern Education Woods Despatch Hunter Commission Sadler Commission questions, Rise of Press Important Newspapers founders and years one liner questions, Social and Religious Reform Movements 19th century important founders and objectives, Brahmo Samaj Arya Samaj Ramakrishna Mission Theosophical Society factual questions, Aligarh Movement and Muslim Reform Movement important personalities and institutions, Revolt of 1857 causes centers leaders consequences latest pattern questions, Peasant Tribal and Labour Movements important revolts and leaders exam focused questions, Formation of Indian National Congress moderate extremist phase Surat split questions, Swadeshi Movement Partition of Bengal impact and leaders important facts, Muslim League formation Lucknow Pact Home Rule Movement factual questions, Rowlatt Act Jallianwala Bagh Massacre important commission and report questions, Non Cooperation Movement Civil Disobedience Movement Salt Satyagraha questions, Round Table Conferences Gandhi Irwin Pact Poona Pact related questions, Government of India Act 1919 and 1935 important provisions comparison questions, Quit India Movement Azad Hind Fauj INA Trials Subhash Chandra Bose questions, Transfer of Power Cabinet Mission Mountbatten Plan Indian Independence Act questions",1
"Which provision of the Government of India Act, 1935, was considered a 'Charter of Slavery' by Jawaharlal Nehru?",Provincial Autonomy,Diarchy at the Centre,Establishment of a Federal Court,Separate Electorates,b,Indian National Movement,"Arrival of Europeans in India Portuguese Dutch French British settlements and expansion latest exam questions 2025-2026, Anglo Mysore Wars Haider Ali Tipu Sultan important facts and treaty based questions, Anglo Maratha Wars Maratha Confederacy decline and administrative system questions, British Expansion Policies Subsidiary Alliance Doctrine of Lapse important governor general policies, Regulating Act Pitts India Act Charter Acts constitutional development questions, Governor General and Viceroy reforms and administrative contributions factual questions, Economic Impact of British Rule Drain Theory land revenue systems deindustrialization questions, Permanent Settlement Ryotwari Mahalwari system comparison based questions, Development of Railways Post Telegraph modern infrastructure under British rule questions, Growth of Modern Education Woods Despatch Hunter Commission Sadler Commission questions, Rise of Press Important Newspapers founders and years one liner questions, Social and Religious Reform Movements 19th century important founders and objectives, Brahmo Samaj Arya Samaj Ramakrishna Mission Theosophical Society factual questions, Aligarh Movement and Muslim Reform Movement important personalities and institutions, Revolt of 1857 causes centers leaders consequences latest pattern questions, Peasant Tribal and Labour Movements important revolts and leaders exam focused questions, Formation of Indian National Congress moderate extremist phase Surat split questions, Swadeshi Movement Partition of Bengal impact and leaders important facts, Muslim League formation Lucknow Pact Home Rule Movement factual questions, Rowlatt Act Jallianwala Bagh Massacre important commission and report questions, Non Cooperation Movement Civil Disobedience Movement Salt Satyagraha questions, Round Table Conferences Gandhi Irwin Pact Poona Pact related questions, Government of India Act 1919 and 1935 important provisions comparison questions, Quit India Movement Azad Hind Fauj INA Trials Subhash Chandra Bose questions, Transfer of Power Cabinet Mission Mountbatten Plan Indian Independence Act questions",1
"Assertion (A): The Partition of Bengal in 1905 was primarily aimed at weakening the growing Indian nationalist movement.
Reason (R): The partition created separate provinces with Hindu and Muslim majorities, fostering communal divisions.","Both A and R are true, and R is the correct explanation of A","Both A and R are true, but R is NOT the correct explanation of A","A is true, but R is false","A is false, but R is true",a,Indian National Movement,"Arrival of Europeans in India Portuguese Dutch French British settlements and expansion latest exam questions 2025-2026, Anglo Mysore Wars Haider Ali Tipu Sultan important facts and treaty based questions, Anglo Maratha Wars Maratha Confederacy decline and administrative system questions, British Expansion Policies Subsidiary Alliance Doctrine of Lapse important governor general policies, Regulating Act Pitts India Act Charter Acts constitutional development questions, Governor General and Viceroy reforms and administrative contributions factual questions, Economic Impact of British Rule Drain Theory land revenue systems deindustrialization questions, Permanent Settlement Ryotwari Mahalwari system comparison based questions, Development of Railways Post Telegraph modern infrastructure under British rule questions, Growth of Modern Education Woods Despatch Hunter Commission Sadler Commission questions, Rise of Press Important Newspapers founders and years one liner questions, Social and Religious Reform Movements 19th century important founders and objectives, Brahmo Samaj Arya Samaj Ramakrishna Mission Theosophical Society factual questions, Aligarh Movement and Muslim Reform Movement important personalities and institutions, Revolt of 1857 causes centers leaders consequences latest pattern questions, Peasant Tribal and Labour Movements important revolts and leaders exam focused questions, Formation of Indian National Congress moderate extremist phase Surat split questions, Swadeshi Movement Partition of Bengal impact and leaders important facts, Muslim League formation Lucknow Pact Home Rule Movement factual questions, Rowlatt Act Jallianwala Bagh Massacre important commission and report questions, Non Cooperation Movement Civil Disobedience Movement Salt Satyagraha questions, Round Table Conferences Gandhi Irwin Pact Poona Pact related questions, Government of India Act 1919 and 1935 important provisions comparison questions, Quit India Movement Azad Hind Fauj INA Trials Subhash Chandra Bose questions, Transfer of Power Cabinet Mission Mountbatten Plan Indian Independence Act questions",1
Who founded the 'Arya Samaj'?,Swami Vivekananda,Dayananda Saraswati,Raja Ram Mohan Roy,Ramakrishna Paramahamsa,b,Indian National Movement,"Arrival of Europeans in India Portuguese Dutch French British settlements and expansion latest exam questions 2025-2026, Anglo Mysore Wars Haider Ali Tipu Sultan important facts and treaty based questions, Anglo Maratha Wars Maratha Confederacy decline and administrative system questions, British Expansion Policies Subsidiary Alliance Doctrine of Lapse important governor general policies, Regulating Act Pitts India Act Charter Acts constitutional development questions, Governor General and Viceroy reforms and administrative contributions factual questions, Economic Impact of British Rule Drain Theory land revenue systems deindustrialization questions, Permanent Settlement Ryotwari Mahalwari system comparison based questions, Development of Railways Post Telegraph modern infrastructure under British rule questions, Growth of Modern Education Woods Despatch Hunter Commission Sadler Commission questions, Rise of Press Important Newspapers founders and years one liner questions, Social and Religious Reform Movements 19th century important founders and objectives, Brahmo Samaj Arya Samaj Ramakrishna Mission Theosophical Society factual questions, Aligarh Movement and Muslim Reform Movement important personalities and institutions, Revolt of 1857 causes centers leaders consequences latest pattern questions, Peasant Tribal and Labour Movements important revolts and leaders exam focused questions, Formation of Indian National Congress moderate extremist phase Surat split questions, Swadeshi Movement Partition of Bengal impact and leaders important facts, Muslim League formation Lucknow Pact Home Rule Movement factual questions, Rowlatt Act Jallianwala Bagh Massacre important commission and report questions, Non Cooperation Movement Civil Disobedience Movement Salt Satyagraha questions, Round Table Conferences Gandhi Irwin Pact Poona Pact related questions, Government of India Act 1919 and 1935 important provisions comparison questions, Quit India Movement Azad Hind Fauj INA Trials Subhash Chandra Bose questions, Transfer of Power Cabinet Mission Mountbatten Plan Indian Independence Act questions",1
Which of the following leaders was NOT associated with the extremist faction of the Indian National Congress?,Bal Gangadhar Tilak,Bipin Chandra Pal,Lala Lajpat Rai,Gopal Krishna Gokhale,d,Indian National Movement,"Arrival of Europeans in India Portuguese Dutch French British settlements and expansion latest exam questions 2025-2026, Anglo Mysore Wars Haider Ali Tipu Sultan important facts and treaty based questions, Anglo Maratha Wars Maratha Confederacy decline and administrative system questions, British Expansion Policies Subsidiary Alliance Doctrine of Lapse important governor general policies, Regulating Act Pitts India Act Charter Acts constitutional development questions, Governor General and Viceroy reforms and administrative contributions factual questions, Economic Impact of British Rule Drain Theory land revenue systems deindustrialization questions, Permanent Settlement Ryotwari Mahalwari system comparison based questions, Development of Railways Post Telegraph modern infrastructure under British rule questions, Growth of Modern Education Woods Despatch Hunter Commission Sadler Commission questions, Rise of Press Important Newspapers founders and years one liner questions, Social and Religious Reform Movements 19th century important founders and objectives, Brahmo Samaj Arya Samaj Ramakrishna Mission Theosophical Society factual questions, Aligarh Movement and Muslim Reform Movement important personalities and institutions, Revolt of 1857 causes centers leaders consequences latest pattern questions, Peasant Tribal and Labour Movements important revolts and leaders exam focused questions, Formation of Indian National Congress moderate extremist phase Surat split questions, Swadeshi Movement Partition of Bengal impact and leaders important facts, Muslim League formation Lucknow Pact Home Rule Movement factual questions, Rowlatt Act Jallianwala Bagh Massacre important commission and report questions, Non Cooperation Movement Civil Disobedience Movement Salt Satyagraha questions, Round Table Conferences Gandhi Irwin Pact Poona Pact related questions, Government of India Act 1919 and 1935 important provisions comparison questions, Quit India Movement Azad Hind Fauj INA Trials Subhash Chandra Bose questions, Transfer of Power Cabinet Mission Mountbatten Plan Indian Independence Act questions",1
The 'Surat Split' of the Indian National Congress occurred in which year?,1905,1906,1907,1908,c,Indian National Movement,"Arrival of Europeans in India Portuguese Dutch French British settlements and expansion latest exam questions 2025-2026, Anglo Mysore Wars Haider Ali Tipu Sultan important facts and treaty based questions, Anglo Maratha Wars Maratha Confederacy decline and administrative system questions, British Expansion Policies Subsidiary Alliance Doctrine of Lapse important governor general policies, Regulating Act Pitts India Act Charter Acts constitutional development questions, Governor General and Viceroy reforms and administrative contributions factual questions, Economic Impact of British Rule Drain Theory land revenue systems deindustrialization questions, Permanent Settlement Ryotwari Mahalwari system comparison based questions, Development of Railways Post Telegraph modern infrastructure under British rule questions, Growth of Modern Education Woods Despatch Hunter Commission Sadler Commission questions, Rise of Press Important Newspapers founders and years one liner questions, Social and Religious Reform Movements 19th century important founders and objectives, Brahmo Samaj Arya Samaj Ramakrishna Mission Theosophical Society factual questions, Aligarh Movement and Muslim Reform Movement important personalities and institutions, Revolt of 1857 causes centers leaders consequences latest pattern questions, Peasant Tribal and Labour Movements important revolts and leaders exam focused questions, Formation of Indian National Congress moderate extremist phase Surat split questions, Swadeshi Movement Partition of Bengal impact and leaders important facts, Muslim League formation Lucknow Pact Home Rule Movement factual questions, Rowlatt Act Jallianwala Bagh Massacre important commission and report questions, Non Cooperation Movement Civil Disobedience Movement Salt Satyagraha questions, Round Table Conferences Gandhi Irwin Pact Poona Pact related questions, Government of India Act 1919 and 1935 important provisions comparison questions, Quit India Movement Azad Hind Fauj INA Trials Subhash Chandra Bose questions, Transfer of Power Cabinet Mission Mountbatten Plan Indian Independence Act questions",1
Who was the Viceroy of India during the Partition of Bengal?,Lord Curzon,Lord Ripon,Lord Dalhousie,Lord Lytton,a,Indian National Movement,"Arrival of Europeans in India Portuguese Dutch French British settlements and expansion latest exam questions 2025-2026, Anglo Mysore Wars Haider Ali Tipu Sultan important facts and treaty based questions, Anglo Maratha Wars Maratha Confederacy decline and administrative system questions, British Expansion Policies Subsidiary Alliance Doctrine of Lapse important governor general policies, Regulating Act Pitts India Act Charter Acts constitutional development questions, Governor General and Viceroy reforms and administrative contributions factual questions, Economic Impact of British Rule Drain Theory land revenue systems deindustrialization questions, Permanent Settlement Ryotwari Mahalwari system comparison based questions, Development of Railways Post Telegraph modern infrastructure under British rule questions, Growth of Modern Education Woods Despatch Hunter Commission Sadler Commission questions, Rise of Press Important Newspapers founders and years one liner questions, Social and Religious Reform Movements 19th century important founders and objectives, Brahmo Samaj Arya Samaj Ramakrishna Mission Theosophical Society factual questions, Aligarh Movement and Muslim Reform Movement important personalities and institutions, Revolt of 1857 causes centers leaders consequences latest pattern questions, Peasant Tribal and Labour Movements important revolts and leaders exam focused questions, Formation of Indian National Congress moderate extremist phase Surat split questions, Swadeshi Movement Partition of Bengal impact and leaders important facts, Muslim League formation Lucknow Pact Home Rule Movement factual questions, Rowlatt Act Jallianwala Bagh Massacre important commission and report questions, Non Cooperation Movement Civil Disobedience Movement Salt Satyagraha questions, Round Table Conferences Gandhi Irwin Pact Poona Pact related questions, Government of India Act 1919 and 1935 important provisions comparison questions, Quit India Movement Azad Hind Fauj INA Trials Subhash Chandra Bose questions, Transfer of Power Cabinet Mission Mountbatten Plan Indian Independence Act questions",1
