Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following books was authored by Mahatma Gandhi?,India Wins Freedom,The Discovery of India,My Experiments with Truth,From Plassey to Partition and After,c
Who is the author of 'From Plassey to Partition and After: A History of Modern India'?,Romila Thapar,Sekhar Bandyopadhyay,Sumit Sarkar,David Hardiman,b
Which of the following books is incorrectly matched with its author?,Gitanjali – Rabindranath Tagore,Hind Swaraj – Mahatma Gandhi,The Discovery of India – Subhas Chandra Bose,Why I am an Atheist – Bhagat Singh,c
"Match the following books with their respective authors:
a. Tazul Ma’asir
b. Khazain-ul Futuh
c. Tarikh-i-Firuzshahi
d. Tarikh-i-Mubarakshahi
i. Yahya bin Ahmad Sirhindi
ii. Hasan Nizami
iii. Ziauddin Barani
iv. Amir Khusrau","a-iv, b-ii, c-iii, d-i","a-ii, b-iv, c-iii, d-i","a-ii, b-iv, c-i, d-iii","a-iii, b-i, c-ii, d-iv",c
The book 'Poverty and Un-British Rule in India' was written by:,Bipin Chandra Pal,Dadabhai Naoroji,MN Roy,Lala Lajpat Rai,b
"'Fearless Governance', describing her stint as Governor, was published in January 2021. Who is the author?",Draupadi Murmu,Baby Rani Maurya,Nandini Patel,Kiran Bedi,d
Who wrote the book 'Sangeet Bal Prakash'?,Bhimsen Joshi,Vishnu Digambar Paluskar,Pandit Narayan Rao,Pandit Narayan Bhatkhande,d
Who is the author of the book 'The Indian Struggle'?,Mahatma Gandhi,Vallabhbhai Patel,Subhas Chandra Bose,Motilal Nehru,c
'Ungali Oliruvan (One Among You)' is the autobiography of which of the following Chief Ministers of Tamil Nadu?,MK Stalin,K Chandrashekhar Rao,Pinarayi Vijayan,Basavaraj Bommai,a
Who is the author of the book 'Not Only the Things That Have Happened'?,Rashmi Bansal,Sushmita Banerjee,Arshia Sattar,Mridula Koshy,c
Who is credited with writing 'Gitanjali'?,R.K. Narayan,Arundhati Roy,William Shakespeare,Rabindranath Tagore,d
"The book 'Fearless Governance' published in January 2021, is authored by whom?",Draupadi Murmu,Nandini Patel,Baby Rani Maurya,Kiran Bedi,d
"Arrange the following books in chronological order based on the author's period of activity:
1. Gitanjali
2. The God of Small Things
3. Malgudi Days","3, 2, 1","1, 3, 2","2, 3, 1","3, 1, 2",b
The book 'Sangeet Bal Prakash' was authored by whom?,Pandit Narayan Rao,Bhimsen Joshi,Vishnu Digambar Paluskar,Pandit Narayan Bhatkhande,d
Which of these autobiographies is titled 'Ungali Oliruvan (One Among You)'?,Basavaraj Bommai,Pinarayi Vijayan,K Chandrashekhar Rao,MK Stalin,d
Which of the following books was authored by Maulana Abul Kalam Azad?,My Experiments with Truth,India Wins Freedom,Discovery of India,Gitanjali,b
Arrange the following authors in chronological order based on their winning of a major literary prize (Nobel or Booker): 1. Arundhati Roy 2. Rabindranath Tagore,"1, 2","2, 1",Both won simultaneously,Order cannot be determined,b
Who authored the book 'Poverty and Un-British Rule in India'?,Bipin Chandra Pal,Dadabhai Naoroji,MN Roy,Lala Lajpat Rai,b
Which of the following books was written by Subhas Chandra Bose?,Discovery of India,The Indian Struggle,India Wins Freedom,My Experiments with Truth,b
"Match the following books with their respective authors:
   a. Discovery of India
   b. My Experiments with Truth
   c. Gitanjali
   d. Malgudi Days
   i. Mahatma Gandhi
   ii. Rabindranath Tagore
   iii. R.K. Narayan
   iv. Jawaharlal Nehru","a-iv, b-i, c-ii, d-iii","a-i, b-ii, c-iii, d-iv","a-ii, b-iv, c-i, d-iii","a-iii, b-i, c-ii, d-iv",a
Which of the following statements is INCORRECT regarding the book 'Fearless Governance'?,It was published in January 2021.,It describes the author's stint as Governor.,It was written by Draupadi Murmu.,It was written by Kiran Bedi.,c
Who is the author of the book 'The Thousand Faces of Night'?,Meena Alexander,Namita Gokhale,Githa Hariharan,Urvashi Butalia,c
'The Glassblower’s Breath' is authored by whom?,Bharati Mukherjee,Sunetra Gupta,Chitra Banerjee Divakaruni,Shobha De,b
Which author penned the book 'All Roads Lead to Ganga'?,Sudha Murty,Devdutt Pattanaik,Amish Tripathi,Ruskin Bond,d
The book 'The Last Burden' is written by which of the following authors?,Jugal Hansraj,Upamanyu Chatterjee,Ravinder Singh,Devdutt Pattanaik,b
Who is the author of 'The House of Blue Mangoes'?,Arvind Adiga,Sekhar Bandyopadhyay,David Davidar,Durjoy Datta,c
'Nectar in a Sieve' is a novel by which author?,Rajkumari Kaur,Kamala Markandaya,Sarojini Naidu,Aruna Asaf Ali,b
Which of the following books is a humorous work by Twinkle Khanna?,Soha Ali Khan,Twinkle Khanna,Tisca Chopra,Divya Dutta,b
'The Great Indian Novel' is a satirical work authored by whom?,Amitav Ghosh,Shashi Tharoor,Amish Tripathi,Vikram Seth,b
"Which book is attributed to Sunjeev Sahota, the winner of the European Union Prize for Literature?",The Year of the Runaways,The God of Small Things,Midnight’s Children,The White Tiger,a
Which of the following books was NOT authored by Jyotiba Phule?,Gulamgiri,Shetkaryacha Asud,Brahmananche Kasab,The Untouchables,d
Who authored the Booker Prize-winning novel 'The Inheritance of Loss'?,Meena Kandasamy,Manju Kapur,Kamala Das,Kiran Desai,d
Identify the INCORRECT pair of autobiography and author.,Dreams from My Father – Barack Obama,Playing It My Way – MS Dhoni,Wings of Fire – Dr APJ Abdul Kalam,Moonwalk – Michael Jackson,b
'Justice for the Judge' is the autobiographical work of which former Chief Justice of India?,Ranjan Gogoi,Deepak Misra,Nuthalapati Venkata Ramana,Madan Mohan Punchhi,a
Which politician is the author of the autobiography 'My Country My Life'?,Kapil Sibal,LK Advani,Natwar Singh,IK Gujral,b
'Straight From My Heart: An Autobiography' is written by which sports personality?,Kapil Dev,Mary Kom,Yuvraj Singh,Sania Mirza,a
'Playing It My Way' is the autobiography of which cricketer?,Brian Lara,Sachin Tendulkar,Ricky Ponting,Sunil Gavaskar,b
Which of the following books is authored by Sunetra Gupta?,The Glassblower’s Breath,The Year of the Runaways,The Great Indian Novel,The House of Blue Mangoes,a
Who is the author of 'All Roads Lead to Ganga'?,Sudha Murty,Devdutt Pattanaik,Amish Tripathi,Ruskin Bond,d
David Davidar is the author of which book?,The Inheritance of Loss,The House of Blue Mangoes,Nectar in a Sieve,Mrs Funny Bones,b
Kamala Markandaya is best known as the author of which novel?,The Great Indian Novel,Nectar in a Sieve,The Year of the Runaways,The God of Small Things,b
The book 'Mrs Funny Bones' is authored by whom?,Soha Ali Khan,Twinkle Khanna,Tisca Chopra,Divya Dutta,b
Who among the following is the author of 'The Great Indian Novel'?,Amitav Ghosh,Shashi Tharoor,Amish Tripathi,Vikram Seth,b
"Sunjeev Sahota, the winner of the European Union Prize for Literature, authored which of the following?",The Year of the Runaways,The God of Small Things,Midnight’s Children,The White Tiger,a
Which book was NOT written by Jyotiba Phule?,Gulamgiri,Shetkaryacha Asud,Brahmananche Kasab,The Untouchables,d
The autobiography 'Justice for the Judge' is written by which retired Chief Justice of India?,Ranjan Gogoi,Deepak Misra,Nuthalapati Venkata Ramana,Madan Mohan Punchhi,a
'The Glassblower's Breath' is a novel written by which of the following authors?,Bharati Mukherjee,Sunetra Gupta,Chitra Banerjee Divakaruni,Shobha De,b
Who is the author of the novel 'The Last Burden'?,Jugal Hansraj,Upamanyu Chatterjee,Ravinder Singh,Devdutt Pattanaik,b
