Question,Option A,Option B,Option C,Option D,Correct Answer
The McMahon Line primarily serves as the border between which of the following?,Nepal and Tibet Autonomous Region,Arunachal Pradesh (India) and Nepal,Arunachal Pradesh (India) and the Tibet Autonomous Region (China),Bhutan and China,c
What is the approximate length of the McMahon Line?,1000 km (620 miles),700 km (435 miles),890 km (550 miles),1200 km (745 miles),c
During which convention was the McMahon Line drawn?,Geneva Convention,Simla Convention,Kyoto Protocol,Paris Agreement,b
"In what year was the Simla Convention, which established the McMahon Line, held?",1904,1924,1934,1914,d
Which of the following characteristics BEST describes the path of the McMahon Line?,A straight line on flat land,A geometrical line defined by coordinates,Following the Himalayan watershed (mountain ridge line),A line determined by river courses,c
Which of the following statements concerning the McMahon Line is INCORRECT?,It is approximately 890 km long.,It was drawn during the Simla Convention.,It forms the border between Nepal and China,It follows the Himalayan watershed.,c
"According to the text, which geographical feature does the McMahon Line primarily follow?",A straight line on flat land,The course of the Brahmaputra River,The Himalayan watershed (mountain ridge line),The edge of the Tibetan Plateau,c
In which year was the Doctrine of Lapse introduced?,1849,1850,1848,1852,c
Which of the following states was annexed in 1853 under the Doctrine of Lapse?,Udaipur (Central India),Baghat,Jhansi,Nagpur,d
Arrange the following annexations under the Doctrine of Lapse in chronological order:,"Satara, Jaitpur, Sambalpur, Baghat","Baghat, Sambalpur, Jaitpur, Satara","Jaitpur, Satara, Baghat, Sambalpur","Sambalpur, Jaitpur, Satara, Baghat",a
Which state was annexed in 1852 according to the provided list?,Nagpur,Udaipur (Central India),Jhansi,Baghat,b
Which of the following pairs of annexation year and state is NOT correct?,Satara - 1848,Jaitpur - 1849,Jhansi - 1854,Nagpur - 1854,d
Which of the following states was the last to be annexed under the given list?,Nagpur,Jhansi,Udaipur (Central India),Sambalpur,b
Which two states were annexed in the same year?,Satara and Jaitpur,Nagpur and Jhansi,Jaitpur and Sambalpur,Baghat and Udaipur (Central India),c
What is the primary instruction for generating MCQs based on the provided text?,Use external knowledge to supplement the text.,Invent facts to create challenging questions.,Derive all answers directly from the text.,Include personal opinions and interpretations.,c
"Which type of question is characterized by asking for the right order of events, enactments, or judgments?",One-line fact-based questions,Match the following questions,Chronology-based questions,Incorrect/Not correct type questions,c
"In 'Match the Following' MCQs, what kind of pairings are suggested?",Synonyms and antonyms,"Acts ↔ Years, Persons ↔ Roles, Events ↔ Outcomes",Countries and their capitals,Authors and book titles (fictional),b
What is the suggested wording for questions that ask to identify a false statement?,Which of the following statements is accurate?,Identify the CORRECT statement.,Which statement is NOT correct?,Explain the true statement.,c
How many options should each MCQ have?,Three,Five,Four,Two,c
What characteristic should distractors in MCQs possess?,Obvious incorrectness,Close plausibility,Humorous irrelevance,Extreme complexity,b
Which element should NOT be included in the output JSON?,Question text,Options,Explanations,Correct answer,c
The longitudinal valley situated between which two Himalayan ranges is known as 'Dun'?,Greater Himalaya and Lesser Himalaya,Shiwaliks and Greater Himalaya,Lesser Himalaya and Shiwaliks,Karakoram and Zanskar,c
Which of the following is an example of a 'Dun' as mentioned in the text?,Kashmir Valley,Dehradun Valley,Kangra Valley,Spiti Valley,b
"According to the text, 'Dun' valleys are primarily formed due to what kind of activity?",Glacial erosion,River deposition,Tectonic movements,Wind action,c
What geographical feature is located between the Lesser Himalaya and Shiwaliks?,A plateau,A longitudinal valley called Dun,A mountain peak,A gorge,b
