Q.No,Question,Option A,Option B,Option C,Option D,Correct Answer
1,Which of the following systems of classification is based on evolutionary relationships?,Artificial system,Natural system,Phylogenetic system,Numerical taxonomy,c
2,Which of the following is NOT a characteristic feature of algae?,Chlorophyll-bearing,"Simple, thalloid body",Autotrophic nutrition,Exclusively terrestrial habitat,d
3,In which class of algae is food stored as laminarin or mannitol?,Chlorophyceae,Phaeophyceae,Rhodophyceae,Cyanophyceae,b
4,Which algae is known for its gelatinous coating of algin on the cell wall?,Spirogyra,Polysiphonia,Laminaria,Chlamydomonas,c
5,Which of the following is NOT a type of sexual reproduction in algae?,Isogamous,Anisogamous,Oogamous,Conjugation,d
6,Why are bryophytes called 'amphibians of the plant kingdom'?,They can survive in both aquatic and terrestrial environments.,They require water for nutrient absorption.,They need water for sexual reproduction.,They lack vascular tissues.,c
7,What is the main plant body of a bryophyte?,Diploid,Haploid,Triploid,Polyploid,b
8,Gemmae are structures involved in asexual reproduction in:,Mosses,Liverworts,Pteridophytes,Gymnosperms,b
9,Which of the following is NOT a characteristic of moss rhizoids?,Multicellular,Branched,Unicellular,Help in anchorage,c
10,Which stage is predominant in the life cycle of mosses?,Sporophyte,Gametophyte,Protonema,Seta,b
11,What is the significance of pteridophytes in plant evolution?,They are the first plants with seeds.,They are the first terrestrial plants with vascular tissues.,They are the first plants with flowers.,They are the first plants with fruits.,b
12,What is a prothallus in pteridophytes?,A sporophyte,A gametophyte,A root-like structure,A cone-like structure,b
13,Which of the following pteridophytes exhibits heterospory?,Pteris,Equisetum,Selaginella,Adiantum,c
14,What is the evolutionary significance of heterospory?,It leads to the development of vascular tissues.,It is a precursor to the seed habit.,It enhances water absorption.,It promotes asexual reproduction.,b
15,"In pteridophytes, sporangia are borne on:",Rhizoids,Sporophylls,Prothallus,Roots,b
16,What is a key characteristic of gymnosperms?,Enclosed seeds,Naked seeds,Fruits,Flowers,b
17,What is mycorrhiza?,Association of roots with cyanobacteria,Association of roots with fungi,Modified stem for water storage,Modified leaf for photosynthesis,b
18,Which of the following gymnosperms has unbranched stems?,Pinus,Cedrus,Cycas,Sequoia,c
19,What is the function of sunken stomata in gymnosperm leaves?,To increase water absorption,To reduce water loss,To enhance photosynthesis,To promote gas exchange,b
20,What is the male gametophyte in gymnosperms called?,Prothallus,Pollen grain,Megaspore,Microspore,b
21,What is a defining characteristic of angiosperms?,Naked seeds,Vascular tissues,Flowers,Cones,c
22,What is the function of the endosperm in angiosperms?,Protection of the seed,Nourishment of the developing embryo,Attraction of pollinators,Dispersal of seeds,b
23,Which of the following is a monocotyledon?,Sunflower,Wheat,Orchid,Rose,b
24,What is double fertilization unique to?,Gymnosperms,Angiosperms,Pteridophytes,Bryophytes,b
25,"In angiosperms, the male sex organ is the:",Pistil,Carpel,Stamen,Ovule,c
26,What is a haplontic life cycle?,Dominant sporophyte with gametic meiosis,Dominant gametophyte with zygotic meiosis,Both gametophyte and sporophyte are multicellular,Only sporophyte is present,b
27,Which of the following exhibits a diplontic life cycle?,Volvox,Spirogyra,Fucus,Bryophytes,c
28,In a haplo-diplontic life cycle:,Only the gametophyte is multicellular,Only the sporophyte is multicellular,Both gametophyte and sporophyte are multicellular,Neither gametophyte nor sporophyte is multicellular,c
29,Which plant group exhibits a haplo-diplontic life cycle?,Gymnosperms,Angiosperms,Bryophytes,Algae,c
30,Which of the following algae exhibits a haplontic life cycle?,Fucus,Ectocarpus,Polysiphonia,Volvox,d
31,Which system of classification uses chemical constituents of plants?,Numerical Taxonomy,Cytotaxonomy,Chemotaxonomy,Phylogenetic System,c
32,Which of the following is an example of red algae?,Ulothrix,Laminaria,Porphyra,Fucus,c
33,What is the function of coralloid roots in Cycas?,Water absorption,Nitrogen fixation,Anchorage,Photosynthesis,b
34,Which of the following is a characteristic of dicotyledons?,One cotyledon,Two cotyledons,Parallel venation,Fibrous root system,b
35,What is the role of zoospores in algae?,Sexual reproduction,Asexual reproduction,Vegetative propagation,Nutrient absorption,b
36,Which of the following is a liverwort?,Funaria,Polytrichum,Sphagnum,Marchantia,d
37,What is the first stage in the gametophyte of mosses?,Leafy stage,Protonema,Rhizoid,Seta,b
38,Which of the following is a homosporous pteridophyte?,Selaginella,Salvinia,Equisetum,All of the above,c
39,What is the significance of the megaspore in seed plants?,It develops into the male gametophyte,It develops into the female gametophyte,It forms the seed coat,It aids in pollination,b
40,Which of the following gymnosperms is known for its needle-like leaves?,Cycas,Pinus,Ginkgo,Sequoia,b
41,What is the process of pollination in gymnosperms?,Transfer of pollen grains by insects,Transfer of pollen grains by water,Transfer of pollen grains by wind,Self-pollination,c
42,Which of the following is the smallest angiosperm?,Eucalyptus,Wolffia,Sunflower,Orchid,b
43,What is the product of the fusion of a sperm cell with the polar nuclei in angiosperms?,Zygote,Embryo,Endosperm,Seed coat,c
44,Which of the following plants has a dominant sporophyte stage in its life cycle?,Volvox,Marchantia,Funaria,Pinus,d
45,What is the role of phycoerythrin in red algae?,Photosynthesis,Nitrogen fixation,Water absorption,Protection against UV radiation,a
46,Which of the following is a characteristic of brown algae?,Presence of chlorophyll a and b,Food stored as floridean starch,Presence of chlorophyll a and c,Cell wall made of cellulose,c
47,Which of the following plants is used for peat formation?,Funaria,Polytrichum,Sphagnum,Marchantia,c
48,Which of the following is a seedless vascular plant?,Cycas,Pinus,Selaginella,Sunflower,c
49,Which of the following plants has the most reduced gametophyte?,Funaria,Selaginella,Pinus,Marchantia,c
