Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topics,Points
Who was the founder of the Mauryan Empire?,Bindusara,Ashoka,Chandragupta Maurya,Brihadratha,c,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
In which script were Ashoka's inscriptions primarily written?,Sanskrit,Brahmi,Pali,Devanagari,b,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
What was the name of the council held during the reign of Kanishka?,First Buddhist Council,Second Buddhist Council,Third Buddhist Council,Fourth Buddhist Council,d,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
The Gandhara School of Art was influenced by which culture?,Roman,Greek,Persian,Egyptian,b,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
Which Veda is considered the oldest?,Atharvaveda,Samaveda,Rigveda,Yajurveda,c,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
What was the staple crop of the Vedic people?,Barley,Rice,Wheat,Maize,a,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
The term 'Kamboja' generally refers to what in ancient Indian history?,A type of coin,A tribe or kingdom,A school of philosophy,A river,b,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
Which period is associated with the use of microliths?,Paleolithic Age,Neolithic Age,Mesolithic Age,Chalcolithic Age,c,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
Who is considered the founder of Jainism?,Parshvanatha,Mahavira,Rishabhanatha,Gautama Buddha,c,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
What is the sacred book of the Buddhists called?,Tripitaka,Angas,Purvas,Upanishads,a,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
