Question,Option A,Option B,Option C,Option D,Correct Answer
"Lord Lytton Arms Act and the Vernacular Press Act were passed in- The Vernacular Press Act was enacted during the reign of the Viceroy of India— Lord Lytton The words ""contradictory and inconsistent"" were used for the Vernacular Press Act , ________ by- Erskine Perry Universal censorship was imposed by Wellesley The founder of the newspaper ' The Hindu ' , which was established in ________, is– Yes.",1873,1757,1781,1878,d
Bengal: Battle of Plassey and Buxar Description/Questions Answer / Year The independent state of Bengal was established by— Murshid Quli Khan The English army in the Battle of Buxar was led by— Hector Munro The name of Mir Qasim is associated with— from the Battle of Buxar was established as a French colony in ________ after obtaining permission from the then Nawab of Bengal ______ to establish a trading post on the right bank of the Hooghly River.,1761,1673,1675,1612,b
"August 8, ________ Who gave the slogan "" Do or Die"" ?",1813,1849,1938,1942,d
"In the year ________ The East India Company established the Supreme Court in Calcutta in— In the year 1773 1834 was headed by— Lord Macaulay In the British revenue records of the Indian territory, a 'mahal' is a revenue estate which could be— a village or group of villages Land revenue collected from the cultivator is known as- as a Ryotwari system The land revenue system in which the village is considered as the basic unit Mahalwari system Mahalwari system was implemented in- In Uttar Pradesh The Bengal State Prisoners Regulation (Bengal Regulation III) was passed In the year 1818 The Inland Emigration Act was implemented by the British in In the year 1859 The Act under which the plantation workers were not allowed to leave the tea gardens without permission was- Inland Immigration Act , 1859 The Charitable Endowments Act was passed in— the year 1890 AD A separate examination was provided for the Indian Civil Service , which was to be held in India.",1817,1861,1801,1797,c
"The Act of the Government of India which approved separate voting system for Muslims was- ________ ( Morley-Minto Reforms) - (Correct answer should be 1909 , but check the context of the question in the book , it was extended in ________ ) 4.",1780,1919,1917,1918,b
"This conference was held in— in Allahabad The summer capital of British India was… Shimla When India got independence , the ruler of Jammu and Kashmir was… Hari Singh Madras State was renamed Tamil Nadu in The Famine Commission was set up under the chairmanship of Richard Strachey The Indian Independence Bill was first introduced in the House of Commons in London in— July 4, ________ “ peaceful resistance” (Satyagraha) was propounded by- by Aurobindo Ghosh Sri Aurobindo was born in the year— Maulvi Ahmadullah Shah defeated the army led by Henry Lawrence in– Battle of Chinhat The famous freedom fighter martyr Laxman Nayak belonged to the state of ______.",1948,1947,1765,1824,b
"Shri ________ founded the 'Khalsa Panth' (year) The military sect of Sikhs, ' Khalsa ', was introduced.",In Bombay Tattvabodhini Sabha,Guru Gobind Singh Shri Guru Gobind Singh Ji,Gandhi Gandhiji,The Indian League,b
Champaran is currently located in the Indian state of… ________'s first successful Satyagraha in India was- Champaran Champaran in Bihar was witness to the Satyagraha launched by Mahatma Gandhi in the year… .........,Quit The,Bihar Mahatma Gandhi,Asiatic Society,San Francisco Sohan Singh Bhakna,b
"As a result of the Anglo-Maratha War, the provinces of the Peshwas were merged into the ________.",Ranjit Singh,Babu Shiv Prasad Gupta,Jawaharlal Nehru The English,Bombay Presidency,d
Delhi The then ________ V officially declared Delhi as the capital of British India.,The Opium Wars,Factory Act,Emperor George,Chaudhary Rahmat Ali,c
"Tilak Fergusson College was related to- Bal Gangadhar Tilak The adult education organization , Gyan Prasarak Mandali was started by— Dadabhai Naoroji The main objective of establishing Fort William College, Calcutta Teaching Indian languages to British officials The proponent of the filtration theory in India's educational policy Macaulay A great supporter of education by the British in India was- T.B. Macaulay The first Madrasa was established by the British in India at- Calcutta ________ , the universities of England were taken as the model for- London The first women's university in India was established by— Dhondo Keshav Karve the year 1896 , he established an educational institution , Hindu Widows Home, in Poona.",1853,1904,1857,1858,c
"The American president who delivered this important speech was: Abraham Lincoln The American War of Independence was associated with— George Washington The United States of America adopted a democratic constitution on ______ The Treaty of Versailles was signed in the year… In the Second World War, the Allied Powers were part of the alliance called— Soviet Union JOB MANTRA…By RD Sir (ARO ________,LOWER PCS 2019) In the First World War, a part of the alliance called 'Central Powers ' was- Austria-Hungary During the First World War ( 1914-1918) Prices had nearly doubled The Second World War began in the year… During the Second World War , the battles of Kohima and Imphal were fought in the year… The names of the atomic bombs dropped on Japan were… Little Boy and Fat Man The US dropped an atomic bomb on the Japanese city of Hiroshima.",1828,1940,2021,2020,c
To Jaiprakash Narayan Gave the slogan ' Inquilab Zindabad' Bhagat Singh The freedom fighter who was given the honorary title of 'Lokmanya'- ________ lovingly called Rabindranath Tagore as… Gurudev He was also known as ' Punjab Kesari ' .,The East India Company,Old Letters,Bal Gangadhar Tilak Gandhiji,Sidhu Murmu The Khasi,c
