Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Points
Who was the first woman president of the Indian National Congress?,Sarojini Naidu,Annie Besant,Indira Gandhi,Rajkumari Amrit Kaur,b,History of India,1
In which year did the Jallianwala Bagh massacre take place?,1919,1920,1918,1921,a,History of India,1
Who was the founder of the Maurya Dynasty?,Ashoka,Chandragupta Maurya,Bindusara,Brihadratha,b,History of India,1
The Battle of Plassey was fought in which year?,1757,1764,1761,1857,a,History of India,1
Who wrote the book 'Indica'?,Kautilya,Megasthenes,Pliny,Strabo,b,History of India,1
Which Mughal emperor built the Taj Mahal?,Akbar,Shah Jahan,Jahangir,Aurangzeb,b,History of India,1
The Quit India Movement started in which year?,1940,1942,1945,1946,b,History of India,1
Who was the first Indian to win the Nobel Prize in Literature?,C.V. Raman,Rabindranath Tagore,Amartya Sen,Hargobind Khorana,b,History of India,1
The Harappan civilization was discovered in which year?,1921,1922,1923,1924,a,History of India,1
Who was the Viceroy of India during the Partition of India?,Lord Curzon,Lord Mountbatten,Lord Irwin,Lord Dalhousie,b,History of India,1
What is the chemical symbol for gold?,Ag,Au,Fe,Cu,b,General Science,1
Which gas is known as 'laughing gas'?,Nitrous oxide,Carbon dioxide,Methane,Oxygen,a,General Science,1
What is the SI unit of electric current?,Volt,Ohm,Ampere,Watt,c,General Science,1
Which vitamin is also known as ascorbic acid?,Vitamin D,Vitamin A,Vitamin C,Vitamin B12,c,General Science,1
What is the hardest natural substance on Earth?,Quartz,Diamond,Steel,Granite,b,General Science,1
Which planet is known as the 'Red Planet'?,Jupiter,Venus,Mars,Saturn,c,General Science,1
What is the chemical formula for water?,CO2,NaCl,H2O,O2,c,General Science,1
The study of fossils is called?,Ecology,Paleontology,Geology,Botany,b,General Science,1
What is the primary function of red blood cells?,Fight infection,Carry oxygen,Clot blood,Digest food,b,General Science,1
Which part of the human body produces insulin?,Liver,Pancreas,Kidney,Gallbladder,b,General Science,1
Who was the founder of the 'Gadar Party'?,Bhagat Singh,Lala Hardayal,Subhas Chandra Bose,Vinayak Damodar Savarkar,b,Indian National Movement,1
Who among the following was known as 'Frontier Gandhi'?,Abul Kalam Azad,Khan Abdul Ghaffar Khan,Sheikh Abdullah,Mahatma Gandhi,b,Indian National Movement,1
The slogan 'Inquilab Zindabad' was popularized by?,Subhas Chandra Bose,Bhagat Singh,Jawaharlal Nehru,Mahatma Gandhi,b,Indian National Movement,1
The 'Quit India Movement' started in the year?,1920,1930,1942,1947,c,Indian National Movement,1
Who was the Viceroy of India during the 'Quit India Movement'?,Lord Mountbatten,Lord Curzon,Lord Linlithgow,Lord Irwin,c,Indian National Movement,1
The historic Dandi March is associated with?,Non-Cooperation Movement,Civil Disobedience Movement,Khilafat Movement,Home Rule Movement,b,Indian National Movement,1
Who presided over the Karachi session of Indian National Congress in 1931?,Jawaharlal Nehru,Sardar Vallabhbhai Patel,Mahatma Gandhi,Subhas Chandra Bose,b,Indian National Movement,1
The 'Poona Pact' was signed between Mahatma Gandhi and?,Lord Irwin,Muhammad Ali Jinnah,B. R. Ambedkar,Tej Bahadur Sapru,c,Indian National Movement,1
Who founded the 'Forward Bloc'?,Subhas Chandra Bose,Jawaharlal Nehru,Rajendra Prasad,Sardar Patel,a,Indian National Movement,1
What is the primary objective of the 'Pradhan Mantri Kisan Samman Nidhi' (PM-KISAN) scheme?,To provide pension to small and marginal farmers,To provide a minimum income support to small and marginal farmers,To provide crop insurance to all farmers,To provide subsidized seeds and fertilizers to large farmers,b,"Indian Agriculture, Commerce & Trade",1
The 'APEDA' is related to the promotion of which among the following?,Agricultural and Processed Food Products,Petroleum and Natural Gas,Electronic Goods,Textile Products,a,"Indian Agriculture, Commerce & Trade",1
Which state is the largest producer of sugarcane in India?,Maharashtra,Uttar Pradesh,Karnataka,Tamil Nadu,b,"Indian Agriculture, Commerce & Trade",1
What does 'e-NAM' initiative primarily relate to?,National Agriculture Market,Education in Agriculture Management,Export of Agricultural Machinery,Environmental Norms for Agriculture,a,"Indian Agriculture, Commerce & Trade",1
Which of the following is a Kharif crop?,Wheat,Barley,Mustard,Rice,d,"Indian Agriculture, Commerce & Trade",1
What is the term for selling goods to a foreign country?,Import,Export,Trade,Barter,b,"Indian Agriculture, Commerce & Trade",1
The headquarters of the World Trade Organization (WTO) is located in which city?,New York,Geneva,Paris,London,b,"Indian Agriculture, Commerce & Trade",1
What does the term 'FDI' stand for?,Foreign Direct Investment,Federal Deposit Insurance,Financial Data Interchange,Fiscal Development Index,a,"Indian Agriculture, Commerce & Trade",1
Which of the following is the regulatory body for commodity derivatives market in India?,RBI,SEBI,NABARD,IRDAI,b,"Indian Agriculture, Commerce & Trade",1
What is the 'Green Revolution' primarily associated with?,Increase in Milk Production,Increase in Fish Production,Increase in Food Grain Production,Increase in Forest Cover,c,"Indian Agriculture, Commerce & Trade",1
Which country hosted the 2024 Summer Olympics?,Los Angeles,Paris,Tokyo,Beijing,b,Current National & International Events,1
Who is the current Secretary-General of the United Nations as of October 2024?,Ban Ki-moon,António Guterres,Kofi Annan,Boutros Boutros-Ghali,b,Current National & International Events,1
In which country was the 2024 G7 summit held?,United States,Germany,Italy,Canada,c,Current National & International Events,1
Which Indian city hosted the Global Partnership on Artificial Intelligence (GPAI) Summit in 2024?,New Delhi,Mumbai,Chennai,Bengaluru,a,Current National & International Events,1
Which country recently joined BRICS in 2024?,Vietnam,Argentina,Egypt,Nigeria,c,Current National & International Events,1
What is the name of India's lunar mission launched in 2023?,Chandrayaan-2,Mangalyaan,Chandrayaan-3,Aditya-L1,c,Current National & International Events,1
Which nation won the FIFA Women's World Cup in 2023?,United States,England,Spain,Germany,c,Current National & International Events,1
Who was awarded the Nobel Peace Prize in 2023?,Angela Merkel,Narges Mohammadi,Volodymyr Zelenskyy,Donald Trump,b,Current National & International Events,1
Which country hosted the 2023 Cricket World Cup?,Australia,India,England,South Africa,b,Current National & International Events,1
"In 2024, which country became the first to approve a malaria vaccine for widespread use?",United States,United Kingdom,Ghana,Nigeria,c,Current National & International Events,1
Under which Article of the Indian Constitution is the Finance Commission constituted?,Article 280,Article 324,Article 148,Article 368,a,"Indian Polity, Economy & Culture",1
