Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty,Subject,Points
"Who was the founder of the Khalsa, a significant force in Punjab's history?",Maharaja Ranjit Singh,Guru Nanak Dev,Guru Gobind Singh,Baba Banda Singh Bahadur,c,easy,Indian National Movement,1
The Subsidiary Alliance system was first accepted by which ruler of Mysore?,Tipu Sultan,Krishnaraja Wodeyar III,Hyder Ali,Kempe Gowda,b,easy,Indian National Movement,1
"Consider the following statements regarding the Portuguese in India:
1.  They established their first factory at Calicut.
2.  Alfonso de Albuquerque introduced the policy of Sati abolition in their territories.
3.  Goa was captured by Afonso de Albuquerque in 1510.
Which of the statements given above is/are correct?",2 and 3 only,3 only,1 and 2 only,"1, 2 and 3",b,medium,Indian National Movement,1
"Arrange the following events related to British expansion in India in chronological order, from earliest to latest:
1. Battle of Buxar
2. Annexation of Sindh
3. Subsidiary Alliance introduced by Wellesley
4. First Anglo-Sikh War","1, 3, 2, 4","3, 1, 4, 2","2, 4, 1, 3","4, 2, 3, 1",a,medium,Indian National Movement,1
"Match List I (Governor-General/Viceroy) with List II (Event/Policy) and select the correct answer using the code given below:

List I
(A) Lord Dalhousie
(B) Lord William Bentinck
(C) Lord Curzon
(D) Lord Ripon

List II
(1) Partition of Bengal
(2) Introduction of Local Self-Government
(3) Doctrine of Lapse
(4) Abolition of Sati
","A-3, B-4, C-1, D-2","A-4, B-3, C-2, D-1","A-1, B-2, C-3, D-4","A-2, B-1, C-4, D-3",a,medium,Indian National Movement,1
"Assertion (A): The Dutch established their trading posts in India primarily for the spice trade.
Reason (R): The Dutch East India Company (VOC) aimed to monopolize the spice trade in the East Indies and saw India as a crucial transit point.
In the context of the above statements, which one of the following is correct?",Both A and R are true and R is the correct explanation of A.,"Both A and R are true, but R is not the correct explanation of A.","A is true, but R is false.","A is false, but R is true.",a,medium,Indian National Movement,1
"Which incident, occurring in Bengal, is widely regarded as the catalyst that directly triggered the Swadeshi Movement?",The Chittagong Armoury Raid,The Partition of Bengal,The Kakori Conspiracy,The Sanyasi Rebellion,b,hard,Indian National Movement,1
"The French support to which Indian ruler heightened tensions with the British, eventually contributing to the Carnatic Wars during the Indian National Movement's formative period?",Raja Ranjit Singh of Punjab,Tipu Sultan of Mysore,Murshid Quli Khan of Bengal,The Nizam of Hyderabad,b,hard,Indian National Movement,1
Who among the following was the founder of the Satavahana dynasty?,Simuka,Gautamiputra Satakarni,Kanha,Vasisthiputra Pulamavi,a,easy,Ancient History,1
"Consider the following statements regarding the Mauryan administration:
1.  The Mauryan Empire was divided into provinces governed by Kumars (royal princes).
2.  'Samaharta' was the chief treasury officer responsible for revenue collection.
3.  'Sannidhata' maintained the royal storehouse and acted as the chief custodian of the state property.
Which of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",d,medium,Ancient History,1
