Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topics,Points
Which state is the largest producer of manganese in India?,Odisha,Madhya Pradesh,Karnataka,Maharashtra,b,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
The Kudankulam Nuclear Power Plant is located in which state?,Andhra Pradesh,Tamil Nadu,Kerala,Karnataka,b,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which of the following is a uranium-producing state in India?,Rajasthan,Jharkhand,Chhattisgarh,Bihar,b,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Bhilai Steel Plant is located in which state?,Odisha,Jharkhand,Chhattisgarh,West Bengal,c,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which state is known for its chromite deposits in India?,Odisha,Karnataka,Andhra Pradesh,Tamil Nadu,a,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
The Narora Atomic Power Station is situated in which state?,Uttar Pradesh,Haryana,Punjab,Rajasthan,a,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which is the largest coal producing state in India?,Odisha,Chhattisgarh,Jharkhand,West Bengal,b,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
In which state is the Jamshedpur Steel Plant located?,West Bengal,Jharkhand,Odisha,Chhattisgarh,b,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
What type of iron ore is predominantly found in India?,Limonite,Siderite,Hematite,Goethite,c,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
Which state in India is the largest producer of bauxite?,Gujarat,Jharkhand,Odisha,Maharashtra,c,Minerals of India,"minerals of india questions, state mineral prodcuer, state mineral reserve, which mineral in which state, coal facts, iron facts, steel plant located, plateau minerals facts, nuclear reactors facts, source of energy facts question, petroleum products",1
