Question,Option A,Option B,Option C,Option D,Correct Answer
Which sports personality's life journey from Sudan's Killing Fields to the Olympic Games is depicted in the autobiography 'Running for My Life'?,Noah Lyles,Lopez Lomong,Jesse Owens,Arnold Palmer,b
'The Best Mistakes of My Life' is the autobiography of which Indian actor?,Sanjay Khan,Shahrukh Khan,Salman Khan,Dilip Kumar,a
Which of the following is the autobiography of Bhishma Sahni?,Atma Parichay,Pankhiyan,Aaj Ke Ateet,Aardhakatva,a
Who is the author of the autobiography 'Lone Fox Dancing: My Autobiography'?,John Dalvi,Khushwant Singh,Brij Mohan Kaul,Ruskin Bond,d
The autobiography 'The Substance and the Shadow: An Autobiography' is written by which actor?,Rajesh Khanna,Dilip Kumar,Rishi Kapoor,Vinod Khanna,b
What is the title of the autobiography of Pakistani cricketer Imran Khan?,My Fight / Your Fight,Game Changer,Goal,All Round View,d
The autobiography 'Dreaming Big: My Journey to Connect India' is written by whom?,In the Afternoon of Time,Beyond the Lines,The Substance and the Shadow,Sam Pitroda,d
'Lessons in Life taught me unknowingly' is the autobiography of which personality?,Sharad Pawar,Jhulan Goswami,Anupam Kher,LK Advani,c
'Ace Against Odds' is the autobiography of a sports personality associated with which game?,Tennis,Shooting,Badminton,Cricket,a
Jawaharlal Nehru's autobiography 'An Autobiography' is also known as what?,My Idea of Education,Toward Freedom,The Unfinished Innings,The Accidental Prime Minister,b
Which autobiography shares the life journey of Usain Bolt?,Running for My Life,Race of My Life,Let Your Mind Run,Faster Than Lightning,d
'Waiting for a Visa' is the autobiography of which Indian figure?,Vallabhbhai Patel,Shyama Prasad Mukherjee,Jawaharlal Nehru,Bhimrao Ambedkar,d
'Wings of Fire' chronicles the life of which Indian personality?,Ratan Tata,Kiran Bedi,Arundhati Roy,APJ Abdul Kalam,d
What is the title of Sania Mirza’s autobiography?,Changing India,Wings of Fire,The Test of My Life,Ace Against Odds,d
Which of the following is an autobiography of L.K. Advani?,My Country My Life,Exam Warriors,Wings of Fire,Dare to Dream,a
"Lopez Lomong's autobiography, detailing his journey from Sudan's Killing Fields to the Olympics, is titled:",Race of My Life,Running for My Life: One Lost Boy’s Journey from the Killing Fields of Sudan to the Olympic Games,Let Your Mind Run,Faster Than Lightning,b
Which of the following personalities penned the autobiography 'The Best Mistakes of My Life'?,Shahrukh Khan,Salman Khan,Sanjay Khan,Dilip Kumar,c
The autobiography 'Atma Parichay' belongs to which of the following writers?,Aardhakatva,Pankhiyan,Bhishma Sahni,Aaj Ke Ateet,c
Sam Pitroda's autobiography is titled:,In the Afternoon of Time,Beyond the Lines,The Substance and the Shadow,Dreaming Big: My Journey to Connect India,d
Usain Bolt's autobiography is titled:,Let Your Mind Run,Race of My Life,Running for My Life,Faster Than Lightning,d
Identify the author of the autobiography 'Waiting for a Visa'.,Vallabhbhai Patel,Jawaharlal Nehru,Shyama Prasad Mukherjee,Bhimrao Ambedkar,d
'Wings of Fire' is an autobiography that chronicles the life of:,Arundhati Roy,Kiran Bedi,Ratan Tata,APJ Abdul Kalam,d
Sania Mirza's autobiography is titled:,Wings of Fire,Changing India,Ace Against Odds,The Test of My Life,c
Which of the following is NOT the autobiography of Usain Bolt?,Running for My Life,Faster Than Lightning,Race of My Life,Let Your Mind Run,a
'Waiting for a Visa' is an autobiography written by whom?,Shyama Prasad Mukherjee,Vallabhbhai Patel,Bhimrao Ambedkar,Jawaharlal Nehru,c
Who is the author of the autobiography 'The Best Mistakes of My Life'?,Sanjay Khan,Salman Khan,Shahrukh Khan,Dilip Kumar,a
The autobiography 'The Substance and the Shadow: An Autobiography' belongs to which of the following actors?,Rajesh Khanna,Rishi Kapoor,Dilip Kumar,Vinod Khanna,c
In which year was 'Atmakatha' published?,1983,1963,1973,1953,c
"Who is the author of the autobiography 'Playing to Win, My Life On and Off Court'?",Anna Chandy,Sania Mirza,Saina Nehwal,None of the above,c
Which of the following statements is INCORRECT regarding the autobiographies mentioned in the text?,Justice Anna Chandy wrote 'Atmakatha'.,"'Playing to Win, My Life On and Off Court' is about a badminton champion.",Sania Nehwal's autobiography is titled 'Atmakatha'.,'Atmakatha' was published in 1973.,c
What is the title of Saina Nehwal's autobiography?,Unbreakable,Playing It My Way,Straight from the Heart,"Playing to Win, My Life On and Off Court",d
Which of the following is INCORRECTLY matched with its author?,Justice Anna Chandy - Atmakatha,"Sania Nehwal - Playing to Win, My Life On and Off Court","Justice Anna Chandy - Playing to Win, My Life On and Off Court",Sania Nehwal - Playing to Win,c
What sport is Saina Nehwal associated with?,Tennis,Cricket,Badminton,Hockey,c
