Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Points
In which year was the Government of India Act passed by the British Parliament?,1919,1947,1935,1909,c,Indian National Movement,1
Which European power was the first to establish a trading center in India?,French,Dutch,Portuguese,English,c,Indian National Movement,1
What was the name of the French settlement in India that is now a Union Territory?,Goa,Surat,Pondicherry,Bombay,c,Indian National Movement,1
The Dutch East India Company primarily focused its trade on which commodity in India?,Cotton textiles,Spices,Indigo,Tea,a,Indian National Movement,1
Who was the founder of the Maratha Empire?,Baji Rao I,Shivaji Maharaj,Balaji Vishwanath,Sambhaji,b,Indian National Movement,1
In which year did the Dutch East India Company establish its first factory in India?,1602,1605,1610,1616,b,Indian National Movement,1
Which Governor-General introduced the Doctrine of Lapse?,Lord Curzon,Lord Dalhousie,Lord William Bentinck,Warren Hastings,b,Indian National Movement,1
"Which of the following was NOT a provision of the Government of India Act, 1935?",Provincial Autonomy,Diarchy at the Centre,Separate Electorates for Muslims,Complete Independence,d,Indian National Movement,1
The famous 'Dancing Girl' statue was found in which Indus Valley Civilization site?,Harappa,Lothal,Mohenjo-daro,Dholavira,c,Ancient History,1
Who was the author of the Kadambari?,Kalidasa,Banabhatta,Harisena,Dandin,b,Ancient History,1
The capital of the Chola dynasty was?,Kanchi,Madurai,Thanjavur,Vengi,c,Ancient History,1
Who among the following emperors commissioned the Taj Mahal?,Akbar,Jahangir,Shah Jahan,Aurangzeb,c,Medieval History,1
The Sayyid dynasty was founded by whom?,Bahlol Lodi,Khizr Khan,Sikandar Lodi,Ibrahim Lodi,b,Medieval History,1
Which of the following rivers is NOT a tributary of the Indus River?,Sutlej,Beas,Ganga,Jhelum,c,Indian Geography,1
The Tropic of Cancer passes through how many states in India?,Six,Seven,Eight,Nine,c,Indian Geography,1
What is the approximate land area of India?,2.28 million sq km,3.28 million sq km,4.28 million sq km,5.28 million sq km,b,Indian Geography,1
Which of the following is the largest Union Territory of India by area?,Delhi,Ladakh,Jammu and Kashmir,Puducherry,b,Indian Geography,1
The 'Bhils' are a major tribal group found predominantly in which part of India?,North-East,Central India,Southern India,Himalayan Region,b,Indian Geography,1
What is the capital of Australia?,Sydney,Melbourne,Canberra,Perth,c,World Geography,1
Which currency is primarily used in Japan?,Won,Yen,Dollar,Euro,b,World Geography,1
Which country does the Equator NOT pass through?,Kenya,Indonesia,Brazil,Mexico,d,World Geography,1
Which of these is a renewable energy resource?,Coal,Natural Gas,Solar,Petroleum,c,World Geography,1
What is the most prominent feature of Saturn?,Great Red Spot,Rings,Volcanoes,Blue Color,b,World Geography,1
What does the idiom 'hit the nail on the head' mean?,To completely fail at something,To do something exactly right,To injure oneself with a hammer,To ignore a problem,b,General English,1
Which of the following words is misspelled?,Accommodate,Occasion,Profesion,Necessary,c,General English,1
Choose the correct passive voice for the sentence: 'The cat chased the mouse.',The mouse was chased by the cat.,The mouse chases the cat.,The mouse is being chased by the cat.,The cat was being chased by the mouse.,a,General English,1
Which word best fits the blank: 'He was _____ to hear the good news.',delighted,sad,angry,indifferent,a,General English,1
What is the antonym of 'benevolent'?,Kind,Malicious,Generous,Compassionate,b,General English,1
What does the idiom 'a piece of cake' mean?,A delicious dessert,Something very easy,A difficult challenge,A reward for hard work,b,General English,1
Choose the correct passive voice for the sentence: 'They are building a new bridge.',A new bridge is being built by them.,A new bridge was built by them.,They are being built by a new bridge.,A new bridge is building them.,a,General English,1
Which word best fits the blank: 'The _____ of the story is to be kind to others.',plot,moral,characters,setting,b,General English,1
What is the antonym of 'optimistic'?,Hopeful,Pessimistic,Cheerful,Positive,b,General English,1
 'अक्ल का अंधा' मुहावरे का अर्थ क्या है?,शारीरिक रूप से अंधा होना,मूर्ख या बेवकूफ होना,आँखों में बीमारी होना,अंधेरे में रहना,b,General Hindi,1
निम्न में से 'सूर्य' का पर्यायवाची शब्द कौन सा है?,चंद्रमा,धरती,दिनकर,रात,c,General Hindi,1
 'देशज' शब्द का उदाहरण निम्न में से कौन सा है?,टेलीफोन,रेलगाड़ी,पगड़ी,डॉक्टर,c,General Hindi,1
 'अव्यय' का उदाहरण निम्न में से कौन सा है?,राम,और,लड़का,पुस्तक,b,General Hindi,1
'अनुराग' शब्द का विलोम शब्द क्या है?,प्रेम,राग,विराग,आकर्षण,c,General Hindi,1
What type of memory is primarily used as a cache memory?,ROM,RAM,Flash Memory,SRAM,d,Elementary Knowledge of Computers,1
Which of the following is a high-level programming language?,Assembly Language,Machine Code,C++,Binary,c,Elementary Knowledge of Computers,1
What is the file extension for a Microsoft Word 2007 and later version document?,.txt,.xls,.docx,.pdf,c,Elementary Knowledge of Computers,1
What does the abbreviation 'URL' stand for?,Uniform Resource Locator,Universal Recording Locator,Unified Resource Location,Universal Resource Locator,a,Elementary Knowledge of Computers,1
Which type of software controls a computer's basic functions and manages hardware?,Application Software,Operating System,Utility Software,Programming Software,b,Elementary Knowledge of Computers,1
What is the term for a malicious software program that can replicate itself and spread to other computers?,Firewall,Antivirus,Virus,Adware,c,Elementary Knowledge of Computers,1
