Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topics,Points
Who founded the Aligarh Muslim University?,Aga Khan,Syed Ahmed Khan,Muhammad Ali Jauhar,Zakir Husain,b,Indian National Movement,"Arrival of Europeans in India Portuguese Dutch French British settlements and expansion latest exam questions 2025-2026, Anglo Mysore Wars Haider Ali Tipu Sultan important facts and treaty based questions, Anglo Maratha Wars Maratha Confederacy decline and administrative system questions, British Expansion Policies Subsidiary Alliance Doctrine of Lapse important governor general policies, Regulating Act Pitts India Act Charter Acts constitutional development questions, Governor General and Viceroy reforms and administrative contributions factual questions, Economic Impact of British Rule Drain Theory land revenue systems deindustrialization questions, Permanent Settlement Ryotwari Mahalwari system comparison based questions, Development of Railways Post Telegraph modern infrastructure under British rule questions, Growth of Modern Education Woods Despatch Hunter Commission Sadler Commission questions, Rise of Press Important Newspapers founders and years one liner questions, Social and Religious Reform Movements 19th century important founders and objectives, Brahmo Samaj Arya Samaj Ramakrishna Mission Theosophical Society factual questions, Aligarh Movement and Muslim Reform Movement important personalities and institutions, Revolt of 1857 causes centers leaders consequences latest pattern questions, Peasant Tribal and Labour Movements important revolts and leaders exam focused questions, Formation of Indian National Congress moderate extremist phase Surat split questions, Swadeshi Movement Partition of Bengal impact and leaders important facts, Muslim League formation Lucknow Pact Home Rule Movement factual questions, Rowlatt Act Jallianwala Bagh Massacre important commission and report questions, Non Cooperation Movement Civil Disobedience Movement Salt Satyagraha questions, Round Table Conferences Gandhi Irwin Pact Poona Pact related questions, Government of India Act 1919 and 1935 important provisions comparison questions, Quit India Movement Azad Hind Fauj INA Trials Subhash Chandra Bose questions, Transfer of Power Cabinet Mission Mountbatten Plan Indian Independence Act questions",1
In which year was the Rowlatt Act passed?,1921,1917,1919,1923,c,Indian National Movement,"Arrival of Europeans in India Portuguese Dutch French British settlements and expansion latest exam questions 2025-2026, Anglo Mysore Wars Haider Ali Tipu Sultan important facts and treaty based questions, Anglo Maratha Wars Maratha Confederacy decline and administrative system questions, British Expansion Policies Subsidiary Alliance Doctrine of Lapse important governor general policies, Regulating Act Pitts India Act Charter Acts constitutional development questions, Governor General and Viceroy reforms and administrative contributions factual questions, Economic Impact of British Rule Drain Theory land revenue systems deindustrialization questions, Permanent Settlement Ryotwari Mahalwari system comparison based questions, Development of Railways Post Telegraph modern infrastructure under British rule questions, Growth of Modern Education Woods Despatch Hunter Commission Sadler Commission questions, Rise of Press Important Newspapers founders and years one liner questions, Social and Religious Reform Movements 19th century important founders and objectives, Brahmo Samaj Arya Samaj Ramakrishna Mission Theosophical Society factual questions, Aligarh Movement and Muslim Reform Movement important personalities and institutions, Revolt of 1857 causes centers leaders consequences latest pattern questions, Peasant Tribal and Labour Movements important revolts and leaders exam focused questions, Formation of Indian National Congress moderate extremist phase Surat split questions, Swadeshi Movement Partition of Bengal impact and leaders important facts, Muslim League formation Lucknow Pact Home Rule Movement factual questions, Rowlatt Act Jallianwala Bagh Massacre important commission and report questions, Non Cooperation Movement Civil Disobedience Movement Salt Satyagraha questions, Round Table Conferences Gandhi Irwin Pact Poona Pact related questions, Government of India Act 1919 and 1935 important provisions comparison questions, Quit India Movement Azad Hind Fauj INA Trials Subhash Chandra Bose questions, Transfer of Power Cabinet Mission Mountbatten Plan Indian Independence Act questions",1
Who was the Viceroy of India during the Jallianwala Bagh Massacre?,Lord Curzon,Lord Irwin,Lord Chelmsford,Lord Reading,c,Indian National Movement,"Arrival of Europeans in India Portuguese Dutch French British settlements and expansion latest exam questions 2025-2026, Anglo Mysore Wars Haider Ali Tipu Sultan important facts and treaty based questions, Anglo Maratha Wars Maratha Confederacy decline and administrative system questions, British Expansion Policies Subsidiary Alliance Doctrine of Lapse important governor general policies, Regulating Act Pitts India Act Charter Acts constitutional development questions, Governor General and Viceroy reforms and administrative contributions factual questions, Economic Impact of British Rule Drain Theory land revenue systems deindustrialization questions, Permanent Settlement Ryotwari Mahalwari system comparison based questions, Development of Railways Post Telegraph modern infrastructure under British rule questions, Growth of Modern Education Woods Despatch Hunter Commission Sadler Commission questions, Rise of Press Important Newspapers founders and years one liner questions, Social and Religious Reform Movements 19th century important founders and objectives, Brahmo Samaj Arya Samaj Ramakrishna Mission Theosophical Society factual questions, Aligarh Movement and Muslim Reform Movement important personalities and institutions, Revolt of 1857 causes centers leaders consequences latest pattern questions, Peasant Tribal and Labour Movements important revolts and leaders exam focused questions, Formation of Indian National Congress moderate extremist phase Surat split questions, Swadeshi Movement Partition of Bengal impact and leaders important facts, Muslim League formation Lucknow Pact Home Rule Movement factual questions, Rowlatt Act Jallianwala Bagh Massacre important commission and report questions, Non Cooperation Movement Civil Disobedience Movement Salt Satyagraha questions, Round Table Conferences Gandhi Irwin Pact Poona Pact related questions, Government of India Act 1919 and 1935 important provisions comparison questions, Quit India Movement Azad Hind Fauj INA Trials Subhash Chandra Bose questions, Transfer of Power Cabinet Mission Mountbatten Plan Indian Independence Act questions",1
The Hunter Commission was appointed to investigate which event?,The Partition of Bengal,The Jallianwala Bagh Massacre,The Chauri Chaura Incident,The Khilafat Movement,b,Indian National Movement,"Arrival of Europeans in India Portuguese Dutch French British settlements and expansion latest exam questions 2025-2026, Anglo Mysore Wars Haider Ali Tipu Sultan important facts and treaty based questions, Anglo Maratha Wars Maratha Confederacy decline and administrative system questions, British Expansion Policies Subsidiary Alliance Doctrine of Lapse important governor general policies, Regulating Act Pitts India Act Charter Acts constitutional development questions, Governor General and Viceroy reforms and administrative contributions factual questions, Economic Impact of British Rule Drain Theory land revenue systems deindustrialization questions, Permanent Settlement Ryotwari Mahalwari system comparison based questions, Development of Railways Post Telegraph modern infrastructure under British rule questions, Growth of Modern Education Woods Despatch Hunter Commission Sadler Commission questions, Rise of Press Important Newspapers founders and years one liner questions, Social and Religious Reform Movements 19th century important founders and objectives, Brahmo Samaj Arya Samaj Ramakrishna Mission Theosophical Society factual questions, Aligarh Movement and Muslim Reform Movement important personalities and institutions, Revolt of 1857 causes centers leaders consequences latest pattern questions, Peasant Tribal and Labour Movements important revolts and leaders exam focused questions, Formation of Indian National Congress moderate extremist phase Surat split questions, Swadeshi Movement Partition of Bengal impact and leaders important facts, Muslim League formation Lucknow Pact Home Rule Movement factual questions, Rowlatt Act Jallianwala Bagh Massacre important commission and report questions, Non Cooperation Movement Civil Disobedience Movement Salt Satyagraha questions, Round Table Conferences Gandhi Irwin Pact Poona Pact related questions, Government of India Act 1919 and 1935 important provisions comparison questions, Quit India Movement Azad Hind Fauj INA Trials Subhash Chandra Bose questions, Transfer of Power Cabinet Mission Mountbatten Plan Indian Independence Act questions",1
Who was the founder of the newspaper 'Kesari'?,Gopal Krishna Gokhale,Bal Gangadhar Tilak,Mahatma Gandhi,Jawaharlal Nehru,b,Indian National Movement,"Arrival of Europeans in India Portuguese Dutch French British settlements and expansion latest exam questions 2025-2026, Anglo Mysore Wars Haider Ali Tipu Sultan important facts and treaty based questions, Anglo Maratha Wars Maratha Confederacy decline and administrative system questions, British Expansion Policies Subsidiary Alliance Doctrine of Lapse important governor general policies, Regulating Act Pitts India Act Charter Acts constitutional development questions, Governor General and Viceroy reforms and administrative contributions factual questions, Economic Impact of British Rule Drain Theory land revenue systems deindustrialization questions, Permanent Settlement Ryotwari Mahalwari system comparison based questions, Development of Railways Post Telegraph modern infrastructure under British rule questions, Growth of Modern Education Woods Despatch Hunter Commission Sadler Commission questions, Rise of Press Important Newspapers founders and years one liner questions, Social and Religious Reform Movements 19th century important founders and objectives, Brahmo Samaj Arya Samaj Ramakrishna Mission Theosophical Society factual questions, Aligarh Movement and Muslim Reform Movement important personalities and institutions, Revolt of 1857 causes centers leaders consequences latest pattern questions, Peasant Tribal and Labour Movements important revolts and leaders exam focused questions, Formation of Indian National Congress moderate extremist phase Surat split questions, Swadeshi Movement Partition of Bengal impact and leaders important facts, Muslim League formation Lucknow Pact Home Rule Movement factual questions, Rowlatt Act Jallianwala Bagh Massacre important commission and report questions, Non Cooperation Movement Civil Disobedience Movement Salt Satyagraha questions, Round Table Conferences Gandhi Irwin Pact Poona Pact related questions, Government of India Act 1919 and 1935 important provisions comparison questions, Quit India Movement Azad Hind Fauj INA Trials Subhash Chandra Bose questions, Transfer of Power Cabinet Mission Mountbatten Plan Indian Independence Act questions",1
In which year did the Jallianwala Bagh Massacre take place?,1920,1918,1919,1921,c,Indian National Movement,"Arrival of Europeans in India Portuguese Dutch French British settlements and expansion latest exam questions 2025-2026, Anglo Mysore Wars Haider Ali Tipu Sultan important facts and treaty based questions, Anglo Maratha Wars Maratha Confederacy decline and administrative system questions, British Expansion Policies Subsidiary Alliance Doctrine of Lapse important governor general policies, Regulating Act Pitts India Act Charter Acts constitutional development questions, Governor General and Viceroy reforms and administrative contributions factual questions, Economic Impact of British Rule Drain Theory land revenue systems deindustrialization questions, Permanent Settlement Ryotwari Mahalwari system comparison based questions, Development of Railways Post Telegraph modern infrastructure under British rule questions, Growth of Modern Education Woods Despatch Hunter Commission Sadler Commission questions, Rise of Press Important Newspapers founders and years one liner questions, Social and Religious Reform Movements 19th century important founders and objectives, Brahmo Samaj Arya Samaj Ramakrishna Mission Theosophical Society factual questions, Aligarh Movement and Muslim Reform Movement important personalities and institutions, Revolt of 1857 causes centers leaders consequences latest pattern questions, Peasant Tribal and Labour Movements important revolts and leaders exam focused questions, Formation of Indian National Congress moderate extremist phase Surat split questions, Swadeshi Movement Partition of Bengal impact and leaders important facts, Muslim League formation Lucknow Pact Home Rule Movement factual questions, Rowlatt Act Jallianwala Bagh Massacre important commission and report questions, Non Cooperation Movement Civil Disobedience Movement Salt Satyagraha questions, Round Table Conferences Gandhi Irwin Pact Poona Pact related questions, Government of India Act 1919 and 1935 important provisions comparison questions, Quit India Movement Azad Hind Fauj INA Trials Subhash Chandra Bose questions, Transfer of Power Cabinet Mission Mountbatten Plan Indian Independence Act questions",1
Who introduced the Doctrine of Lapse?,Lord Dalhousie,Lord Curzon,Lord William Bentinck,Lord Canning,a,Indian National Movement,"Arrival of Europeans in India Portuguese Dutch French British settlements and expansion latest exam questions 2025-2026, Anglo Mysore Wars Haider Ali Tipu Sultan important facts and treaty based questions, Anglo Maratha Wars Maratha Confederacy decline and administrative system questions, British Expansion Policies Subsidiary Alliance Doctrine of Lapse important governor general policies, Regulating Act Pitts India Act Charter Acts constitutional development questions, Governor General and Viceroy reforms and administrative contributions factual questions, Economic Impact of British Rule Drain Theory land revenue systems deindustrialization questions, Permanent Settlement Ryotwari Mahalwari system comparison based questions, Development of Railways Post Telegraph modern infrastructure under British rule questions, Growth of Modern Education Woods Despatch Hunter Commission Sadler Commission questions, Rise of Press Important Newspapers founders and years one liner questions, Social and Religious Reform Movements 19th century important founders and objectives, Brahmo Samaj Arya Samaj Ramakrishna Mission Theosophical Society factual questions, Aligarh Movement and Muslim Reform Movement important personalities and institutions, Revolt of 1857 causes centers leaders consequences latest pattern questions, Peasant Tribal and Labour Movements important revolts and leaders exam focused questions, Formation of Indian National Congress moderate extremist phase Surat split questions, Swadeshi Movement Partition of Bengal impact and leaders important facts, Muslim League formation Lucknow Pact Home Rule Movement factual questions, Rowlatt Act Jallianwala Bagh Massacre important commission and report questions, Non Cooperation Movement Civil Disobedience Movement Salt Satyagraha questions, Round Table Conferences Gandhi Irwin Pact Poona Pact related questions, Government of India Act 1919 and 1935 important provisions comparison questions, Quit India Movement Azad Hind Fauj INA Trials Subhash Chandra Bose questions, Transfer of Power Cabinet Mission Mountbatten Plan Indian Independence Act questions",1
The Sadler Commission primarily focused on which aspect?,Military reforms,Educational reforms,Economic reforms,Judicial reforms,b,Indian National Movement,"Arrival of Europeans in India Portuguese Dutch French British settlements and expansion latest exam questions 2025-2026, Anglo Mysore Wars Haider Ali Tipu Sultan important facts and treaty based questions, Anglo Maratha Wars Maratha Confederacy decline and administrative system questions, British Expansion Policies Subsidiary Alliance Doctrine of Lapse important governor general policies, Regulating Act Pitts India Act Charter Acts constitutional development questions, Governor General and Viceroy reforms and administrative contributions factual questions, Economic Impact of British Rule Drain Theory land revenue systems deindustrialization questions, Permanent Settlement Ryotwari Mahalwari system comparison based questions, Development of Railways Post Telegraph modern infrastructure under British rule questions, Growth of Modern Education Woods Despatch Hunter Commission Sadler Commission questions, Rise of Press Important Newspapers founders and years one liner questions, Social and Religious Reform Movements 19th century important founders and objectives, Brahmo Samaj Arya Samaj Ramakrishna Mission Theosophical Society factual questions, Aligarh Movement and Muslim Reform Movement important personalities and institutions, Revolt of 1857 causes centers leaders consequences latest pattern questions, Peasant Tribal and Labour Movements important revolts and leaders exam focused questions, Formation of Indian National Congress moderate extremist phase Surat split questions, Swadeshi Movement Partition of Bengal impact and leaders important facts, Muslim League formation Lucknow Pact Home Rule Movement factual questions, Rowlatt Act Jallianwala Bagh Massacre important commission and report questions, Non Cooperation Movement Civil Disobedience Movement Salt Satyagraha questions, Round Table Conferences Gandhi Irwin Pact Poona Pact related questions, Government of India Act 1919 and 1935 important provisions comparison questions, Quit India Movement Azad Hind Fauj INA Trials Subhash Chandra Bose questions, Transfer of Power Cabinet Mission Mountbatten Plan Indian Independence Act questions",1
Which of the following newspapers was founded by Mahatma Gandhi?,The Hindu,Amrita Bazar Patrika,Young India,The Tribune,c,Indian National Movement,"Arrival of Europeans in India Portuguese Dutch French British settlements and expansion latest exam questions 2025-2026, Anglo Mysore Wars Haider Ali Tipu Sultan important facts and treaty based questions, Anglo Maratha Wars Maratha Confederacy decline and administrative system questions, British Expansion Policies Subsidiary Alliance Doctrine of Lapse important governor general policies, Regulating Act Pitts India Act Charter Acts constitutional development questions, Governor General and Viceroy reforms and administrative contributions factual questions, Economic Impact of British Rule Drain Theory land revenue systems deindustrialization questions, Permanent Settlement Ryotwari Mahalwari system comparison based questions, Development of Railways Post Telegraph modern infrastructure under British rule questions, Growth of Modern Education Woods Despatch Hunter Commission Sadler Commission questions, Rise of Press Important Newspapers founders and years one liner questions, Social and Religious Reform Movements 19th century important founders and objectives, Brahmo Samaj Arya Samaj Ramakrishna Mission Theosophical Society factual questions, Aligarh Movement and Muslim Reform Movement important personalities and institutions, Revolt of 1857 causes centers leaders consequences latest pattern questions, Peasant Tribal and Labour Movements important revolts and leaders exam focused questions, Formation of Indian National Congress moderate extremist phase Surat split questions, Swadeshi Movement Partition of Bengal impact and leaders important facts, Muslim League formation Lucknow Pact Home Rule Movement factual questions, Rowlatt Act Jallianwala Bagh Massacre important commission and report questions, Non Cooperation Movement Civil Disobedience Movement Salt Satyagraha questions, Round Table Conferences Gandhi Irwin Pact Poona Pact related questions, Government of India Act 1919 and 1935 important provisions comparison questions, Quit India Movement Azad Hind Fauj INA Trials Subhash Chandra Bose questions, Transfer of Power Cabinet Mission Mountbatten Plan Indian Independence Act questions",1
Who among the following was a prominent leader of the Aligarh Movement?,Badruddin Tyabji,Sir Syed Ahmed Khan,Abul Kalam Azad,Muhammad Iqbal,b,Indian National Movement,"Arrival of Europeans in India Portuguese Dutch French British settlements and expansion latest exam questions 2025-2026, Anglo Mysore Wars Haider Ali Tipu Sultan important facts and treaty based questions, Anglo Maratha Wars Maratha Confederacy decline and administrative system questions, British Expansion Policies Subsidiary Alliance Doctrine of Lapse important governor general policies, Regulating Act Pitts India Act Charter Acts constitutional development questions, Governor General and Viceroy reforms and administrative contributions factual questions, Economic Impact of British Rule Drain Theory land revenue systems deindustrialization questions, Permanent Settlement Ryotwari Mahalwari system comparison based questions, Development of Railways Post Telegraph modern infrastructure under British rule questions, Growth of Modern Education Woods Despatch Hunter Commission Sadler Commission questions, Rise of Press Important Newspapers founders and years one liner questions, Social and Religious Reform Movements 19th century important founders and objectives, Brahmo Samaj Arya Samaj Ramakrishna Mission Theosophical Society factual questions, Aligarh Movement and Muslim Reform Movement important personalities and institutions, Revolt of 1857 causes centers leaders consequences latest pattern questions, Peasant Tribal and Labour Movements important revolts and leaders exam focused questions, Formation of Indian National Congress moderate extremist phase Surat split questions, Swadeshi Movement Partition of Bengal impact and leaders important facts, Muslim League formation Lucknow Pact Home Rule Movement factual questions, Rowlatt Act Jallianwala Bagh Massacre important commission and report questions, Non Cooperation Movement Civil Disobedience Movement Salt Satyagraha questions, Round Table Conferences Gandhi Irwin Pact Poona Pact related questions, Government of India Act 1919 and 1935 important provisions comparison questions, Quit India Movement Azad Hind Fauj INA Trials Subhash Chandra Bose questions, Transfer of Power Cabinet Mission Mountbatten Plan Indian Independence Act questions",1
