Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Points
Who among the following Sikh Gurus laid the foundation of the Golden Temple?,Guru Angad Dev,Guru Ram Das,Guru Arjan Dev,Guru Nanak Dev,b,History of India,1
Which Tughlaq ruler transferred the capital from Delhi to Daulatabad?,Ghiyasuddin Tughlaq,Muhammad bin Tughlaq,Firuz Shah Tughlaq,Nasiruddin Mahmud,b,History of India,1
The term 'Veda' means:,Knowledge,Wisdom,Skill,Power,a,History of India,1
Who was the Mughal emperor when the Battle of Plassey was fought?,Shah Alam II,Aurangzeb,Muhammad Shah,Bahadur Shah Zafar,a,History of India,1
Who was the founder of the Khalsa?,Guru Hargobind,Guru Tegh Bahadur,Guru Gobind Singh,Guru Har Rai,c,History of India,1
"Ibn Battuta, the famous traveler, visited India during the reign of which ruler?",Alauddin Khilji,Muhammad bin Tughlaq,Ghiyasuddin Tughlaq,Balban,b,History of India,1
The Rigveda is divided into how many books or Mandalas?,8,10,12,14,b,History of India,1
Who built the Taj Mahal?,Akbar,Jahangir,Shah Jahan,Humayun,c,History of India,1
The 'Satyashodhak Samaj' was founded by whom?,Jyotirao Phule,B.R. Ambedkar,Dayananda Saraswati,Mahatma Gandhi,a,History of India,1
Which Tughlaq ruler imposed 'Irrigation Tax' for the first time?,Ghiyas-ud-din Tughlaq,Muhammad-bin-Tughlaq,Firuz Shah Tughlaq,None of the above,c,History of India,1
What phenomenon causes the sky to appear blue?,Refraction,Diffraction,Scattering,Reflection,c,General Science,1
"What is the acceleration due to gravity on the surface of the Earth, approximately?",8.9 m/s²,10.8 m/s²,9.8 m/s²,11.2 m/s²,c,General Science,1
Which of the following is NOT an example of an organic compound?,Methane,Ethanol,Sodium Chloride,Glucose,c,General Science,1
What is the basic unit of heredity?,Cell,Gene,Tissue,Organ,b,General Science,1
What gas is released during plant respiration?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,b,General Science,1
Who proposed the laws of inheritance?,Charles Darwin,Gregor Mendel,James Watson,Francis Crick,b,General Science,1
What type of scattering is responsible for the reddish appearance of the sky at sunrise and sunset?,Mie Scattering,Tyndall Effect,Rayleigh Scattering,Raman Scattering,c,General Science,1
What remains constant during the free fall of an object (ignoring air resistance)?,Velocity,Acceleration,Kinetic Energy,Potential Energy,b,General Science,1
Which element is the backbone of all organic compounds?,Nitrogen,Oxygen,Carbon,Hydrogen,c,General Science,1
What is the name of the process by which plants make their own food?,Transpiration,Respiration,Photosynthesis,Digestion,c,General Science,1
Who was the founder of the French East India Company?,Jean-Baptiste Colbert,Joseph François Dupleix,Robert Clive,Warren Hastings,a,Indian National Movement,1
In which year was the Kingdom of Mysore brought under British control?,1799,1849,1856,1764,a,Indian National Movement,1
Who was the last ruler of the independent state of Awadh before its annexation by the British?,Wajid Ali Shah,Saadat Ali Khan,Asaf-ud-Daula,Shuja-ud-Daula,a,Indian National Movement,1
The Battle of Wandiwash (1760) was fought between the British and which other European power?,French,Portuguese,Dutch,Danish,a,Indian National Movement,1
Who was the British Governor-General during the Third Anglo-Mysore War?,Lord Cornwallis,Lord Wellesley,Warren Hastings,Lord Dalhousie,a,Indian National Movement,1
Which treaty concluded the First Anglo-Sikh War in Punjab?,Treaty of Lahore,Treaty of Amritsar,Treaty of Salbai,Treaty of Seringapatam,a,Indian National Movement,1
"Who introduced the Subsidiary Alliance system, significantly impacting the independent states?",Lord Wellesley,Lord Dalhousie,Lord Curzon,Warren Hastings,a,Indian National Movement,1
In which year did the Jallianwala Bagh massacre take place in Punjab?,1919,1920,1921,1922,a,Indian National Movement,1
Who was the French Governor-General of Pondicherry when it was captured by the British in 1761?,Lally,Dupleix,Bussy,Dumas,a,Indian National Movement,1
What is the term for the organized raising of livestock?,Sericulture,Apiculture,Animal Husbandry,Horticulture,c,"Indian Agriculture, Commerce & Trade",1
Which of the following is a Kharif crop?,Barley,Wheat,Mustard,Rice,d,"Indian Agriculture, Commerce & Trade",1
What is the primary objective of the NABARD?,Regulating Stock Exchange,Rural Development,Industrial Development,Urban Planning,b,"Indian Agriculture, Commerce & Trade",1
Which state is the largest producer of coffee in India?,Kerala,Tamil Nadu,Karnataka,Andhra Pradesh,c,"Indian Agriculture, Commerce & Trade",1
What does 'FDI' stand for in the context of economics?,Foreign Direct Investment,Financial Deposit Institution,Federal Development Initiative,Fiscal Distribution Index,a,"Indian Agriculture, Commerce & Trade",1
The Agriculture Produce Market Committee (APMC) is related to which type of market?,Retail Market,Stock Market,Agricultural Market,Money Market,c,"Indian Agriculture, Commerce & Trade",1
Which sector contributes the most to India's GDP?,Agriculture,Manufacturing,Services,Mining,c,"Indian Agriculture, Commerce & Trade",1
What is the scientific name of the Indian cow?,Bos indicus,Felis catus,Panthera tigris,Equus caballus,a,"Indian Agriculture, Commerce & Trade",1
Which of the following is a Rabi crop?,Maize,Paddy,Wheat,Groundnut,c,"Indian Agriculture, Commerce & Trade",1
What is the full form of 'EXIM' in EXIM Bank?,Export-Import,External-Internal,Exchange-Investment,Executive-Implementation,a,"Indian Agriculture, Commerce & Trade",1
Which country hosted the 2023 G20 Summit?,Brazil,Indonesia,India,Italy,c,Current National & International Events,1
Who is the current Secretary-General of the United Nations as of October 2024?,Ban Ki-moon,António Guterres,Kofi Annan,Boutros Boutros-Ghali,b,Current National & International Events,1
Which country recently joined BRICS in January 2024?,Canada,Argentina,Saudi Arabia,Mexico,c,Current National & International Events,1
Which Indian city hosted the 141st International Olympic Committee (IOC) session in 2023?,New Delhi,Mumbai,Chennai,Bangalore,b,Current National & International Events,1
Which country won the ICC Men's Cricket World Cup 2023?,India,England,Australia,New Zealand,c,Current National & International Events,1
What is the name of the Indian lunar mission launched in 2023?,Chandrayaan-2,Mangalyaan,Chandrayaan-3,Aditya-L1,c,Current National & International Events,1
Which nation is currently at war with Ukraine?,United States,Russia,Germany,France,b,Current National & International Events,1
Which country hosted the FIFA Women's World Cup in 2023?,France,United States,Australia and New Zealand,Brazil,c,Current National & International Events,1
Who is the current President of the World Bank as of October 2024?,David Malpass,Ajay Banga,Jim Yong Kim,Robert Zoellick,b,Current National & International Events,1
Which Indian city hosted the Defence Expo 2022?,Lucknow,Chennai,New Delhi,Mumbai,a,Current National & International Events,1
Who was the chairman of the Union Constitution Committee of the Constituent Assembly?,Jawaharlal Nehru,B.R. Ambedkar,Rajendra Prasad,Vallabhbhai Patel,a,"Indian Polity, Economy & Culture",1
Who among the following was the Governor General of India during the Jallianwala Bagh Massacre?,Lord Curzon,Lord Chelmsford,Lord Irwin,Lord Dalhousie,b,"Indian Polity, Economy & Culture",1
The book 'Poverty and Un-British Rule in India' was authored by whom?,Mahatma Gandhi,Jawaharlal Nehru,Dadabhai Naoroji,Sardar Vallabhbhai Patel,c,"Indian Polity, Economy & Culture",1
Who appoints the Governor of a state in India?,Prime Minister,Chief Minister,President,Chief Justice of India,c,"Indian Polity, Economy & Culture",1
Who was the first Governor-General of independent India?,Rajendra Prasad,Lord Mountbatten,C. Rajagopalachari,Jawaharlal Nehru,b,"Indian Polity, Economy & Culture",1
The Constituent Assembly adopted the National Flag of India on which date?,"January 26, 1950","August 15, 1947","July 22, 1947","November 26, 1949",c,"Indian Polity, Economy & Culture",1
Who is the author of the book 'Discovery of India'?,Mahatma Gandhi,Jawaharlal Nehru,Indira Gandhi,Rajendra Prasad,b,"Indian Polity, Economy & Culture",1
Under which article of the Constitution does the President appoint a Governor?,Article 153,Article 155,Article 74,Article 356,b,"Indian Polity, Economy & Culture",1
"The Rowlatt Act, against which protests led to the Jallianwala Bagh Massacre, was passed in which year?",1921,1917,1919,1920,c,"Indian Polity, Economy & Culture",1
Who among the following was a prominent female member of the Constituent Assembly?,Sarojini Naidu,Annie Besant,Kamala Nehru,Indira Gandhi,a,"Indian Polity, Economy & Culture",1
What is the term of office for a Governor of a state in India?,6 years,4 years,5 years,Until the pleasure of the President,d,"Indian Polity, Economy & Culture",1
The journal 'Young India' was started by whom?,Jawaharlal Nehru,Mahatma Gandhi,Subhas Chandra Bose,Bhagat Singh,b,"Indian Polity, Economy & Culture",1
Who gave the order for the firing at Jallianwala Bagh?,Lord Curzon,General Dyer,Lord Chelmsford,Winston Churchill,b,"Indian Polity, Economy & Culture",1
Who was the President of the Constituent Assembly?,Jawaharlal Nehru,B.R. Ambedkar,Rajendra Prasad,Vallabhbhai Patel,c,"Indian Polity, Economy & Culture",1
The Thar Desert is located in which part of India?,Northern part,Eastern part,Western part,Southern part,c,World Geography & Geography of India,1
What is the primary factor determining humidity?,Temperature,Wind speed,Cloud cover,Precipitation,a,World Geography & Geography of India,1
Which mountain range separates Europe from Asia?,Himalayas,Andes,Ural Mountains,Rocky Mountains,c,World Geography & Geography of India,1
The Great Victoria Desert is located in which country?,Australia,Chile,Namibia,Iran,a,World Geography & Geography of India,1
What type of rainfall is associated with mountainous regions?,Convectional,Orographic,Cyclonic,Monsoonal,b,World Geography & Geography of India,1
Which industry is most closely associated with the Ruhr region of Germany?,Textile,Automobile,Coal and Steel,Chemical,c,World Geography & Geography of India,1
Which is the highest peak in the Himalayas?,K2,Kangchenjunga,Mount Everest,Lhotse,c,World Geography & Geography of India,1
Jute cultivation is primarily concentrated in which Indian state?,Assam,West Bengal,Odisha,Bihar,b,World Geography & Geography of India,1
What is the largest hot desert in the world?,Gobi Desert,Sahara Desert,Arabian Desert,Kalahari Desert,b,World Geography & Geography of India,1
Which instrument is used to measure relative humidity?,Barometer,Hygrometer,Anemometer,Thermometer,b,World Geography & Geography of India,1
Bhilai Steel Plant is located in which state of India?,Jharkhand,Chhattisgarh,Odisha,West Bengal,b,World Geography & Geography of India,1
The Andes Mountains are located on which continent?,Europe,Africa,South America,North America,c,World Geography & Geography of India,1
The Atacama Desert is famous for what characteristic?,Highest sand dunes,driest nonpolar desert,Unique wildlife,Large oasis,b,World Geography & Geography of India,1
