Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Points
Who was the first Arab general to invade Sindh?,Muhammad Ghori,Mahmud Ghaznavi,Muhammad bin Qasim,Qutb-ud-din Aibak,c,History of India,1
Which Sufi saint's dargah is located at Ajmer?,Baba Farid,Moinuddin Chishti,Nizamuddin Auliya,Bakhtiyar Kaki,b,History of India,1
Who among the following introduced the 'Iron and Blood' policy?,Iltutmish,Balban,Alauddin Khilji,Ghiyasuddin Tughlaq,b,History of India,1
The market regulation policy was introduced by which ruler?,Muhammad bin Tughlaq,Firoz Shah Tughlaq,Alauddin Khilji,Ghiyasuddin Tughlaq,c,History of India,1
Who transferred two pillars of Ashoka to Delhi?,Alauddin Khilji,Muhammad bin Tughlaq,Firoz Shah Tughlaq,Ibrahim Lodi,c,History of India,1
What was the original name of Alauddin Khilji?,Ali Gurshasp,Juna Khan,Malik Kafur,Hasan Gangu,a,History of India,1
The 'Kitab-ul-Hind' was written by whom?,Al-Biruni,Ibn Battuta,Ferishta,Minhaj-us-Siraj,a,History of India,1
Who among the following was a prominent Bhakti saint from Maharashtra?,Vallabhacharya,Chaitanya Mahaprabhu,Namadeva,Ramananda,c,History of India,1
Which Sultan of Delhi established a separate Department of Agriculture?,Balban,Muhammad bin Tughlaq,Alauddin Khilji,Firoz Shah Tughlaq,b,History of India,1
Ibn Battuta visited India during the reign of which ruler?,Alauddin Khilji,Ghiyasuddin Tughlaq,Muhammad bin Tughlaq,Firoz Shah Tughlaq,c,History of India,1
Which of the following is used in the treatment of goiter?,Radioactive iodine,Radioactive cobalt,Radioactive carbon,Radioactive phosphorus,a,General Science,1
What is the process called by which heat is transferred through electromagnetic waves?,Conduction,Convection,Radiation,Absorption,c,General Science,1
Which of the following is a characteristic feature of gymnosperms?,Enclosed seeds,Naked seeds,Flowers,Fruits,b,General Science,1
What is the atomic number of Nitrogen?,6,8,7,9,c,General Science,1
What type of lens is used to correct nearsightedness (myopia)?,Convex lens,Cylindrical lens,Concave lens,Bifocal lens,c,General Science,1
Which vitamin deficiency causes night blindness?,Vitamin C,Vitamin B,Vitamin K,Vitamin A,d,General Science,1
