Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following architectural features is LEAST likely to be found in a typical Dravidian-style temple?,Gopuram (gateway tower),Shikhara with a curvilinear outline,Intricate carvings of deities and mythical figures,A pyramidal superstructure above the sanctum,b
"Which dynasty was Dharmapala associated with, known for establishing the Somapura Mahavihara?",The Cholas,The Guptas,The Palas,The Mauryas,c
"Temples in Bhubaneswar, showcasing Nagara architecture, are primarily dedicated to which deity?",Vishnu,Shiva,Brahma,Indra,b
Which South Indian city is the Kapileshwar Temple located in?,Madurai,Chennai,Mysore,Thanjavur,c
"In which Indian state is the Samaleswari Temple, dedicated to Goddess Samaleswari, situated?",West Bengal,Jharkhand,Chhattisgarh,Odisha,d
"Arrange the following literary works chronologically, from the earliest to the latest, based on the period their authors lived:","Harshacharita, Rajatarangini, Indica, Aryabhattiyam","Indica, Aryabhattiyam, Harshacharita, Rajatarangini","Rajatarangini, Harshacharita, Aryabhattiyam, Indica","Aryabhattiyam, Indica, Rajatarangini, Harshacharita",b
"The Aihole inscription, a significant historical record, was composed by Ravikirti, who served as the court poet for which ruler?",Harshavardhana,Pulakeshin II,Kanishka,Ashoka,b
"Which region of India was primarily under the control of the Chalukya dynasty, known for their rule from Vatapi?",Bengal,Deccan,Gujarat,Tamil Nadu,b
"Approximately when did Chandragupta II extend the Gupta Empire's reach up to Gujarat, gaining strategic access to trade routes?",Early 4th century AD,Late 4th century AD,Early 5th century AD,Mid 5th century AD,b
Which Gupta ruler's victory over the Shakas earned him the title 'Shak-vijeta'?,Samudragupta,Chandragupta I,Chandragupta II,Skandagupta,c
"During whose reign was Nalanda University founded, marking the beginning of its legacy as a prominent learning institution?",Samudragupta,Chandragupta II,Kumaragupta I,Skandagupta,c
"Which Chinese pilgrim visited India during the reign of Harshavardhana, documenting valuable insights into the society and culture of the time?",Faxian,I-Tsing,Xuanzang,Zhu Xi,c
"Place the following events concerning Harshavardhana in chronological order: I. Xuanzang visits India, II. Harshavardhana's ascension to the throne of Thanesar and Kannauj, III. Pulakeshin II defeats Harshavardhana.","I, II, III","II, III, I","III, I, II","II, I, III",b
Whose death prompted Harshavardhana to assume leadership and control over Thanesar and Kannauj?,Shashanka,Pulakeshin II,Prabhakaravardhana,Rajyavardhana,d
"The Kadamba dynasty had its capital at Banavasi, which is presently located in which Indian state?",Kerala,Tamil Nadu,Karnataka,Andhra Pradesh,c
"Which dynasty is credited with the primary construction of the Lingaraja Temple, a significant religious site in Bhubaneswar?",Ganga dynasty,Maurya dynasty,Somavamshi dynasty,Nanda dynasty,c
"In which state are the Karla Caves, well-known for their ancient Buddhist Chaitya hall, located?",Andhra Pradesh,Gujarat,Maharashtra,Madhya Pradesh,c
"Arrange the following archaeological sites in chronological order: I. Ajanta Caves, II. Neolithic cave paintings of Bhimbetka, III. Temples of Ellora","I, II, III","II, I, III","III, I, II","II, III, I",b
What was the primary purpose of the Uttarapatha during the Mauryan period?,Religious pilgrimage route,Promoting maritime trade,Connecting the eastern and western parts of the empire,Military expedition route,c
The Sarnath Lion Capital represents which significant historical period?,Gupta Dynasty,Kushan Empire,Mauryan Dynasty,Mughal Empire,c
Which script was primarily used by Ashoka for inscriptions intended for local populations in the northwestern regions of his empire?,Brahmi,Devanagari,Kharoshthi,Sanskrit,c
Which event directly preceded the Kalinga War in the timeline of Mauryan history?,The reign of Bindusara,Chandragupta Maurya's death,Seleucid-Mauryan war,The establishment of Pataliputra,c
Which of the following cities DID function as a provincial center during the Mauryan empire?,Taxila,Indraprastha,Delhi,Hastinapur,a
Which of the following pairs is correctly matched?,Kanishka : Patanjali,Ashoka : Conquest of Kalinga,Vikramaditya : Aryabhata,Harshavardhana : Kalidasa,b
"Which came into existence first, the Vikram Samvat or the Gregorian calendar?",Vikram Samvat,Gregorian calendar,Both simultaneously,Cannot be determined,a
Place the following dynasties in chronological order: (I) Guptas (II) Mauryas (III) Satavahanas (IV) Sungas,"I, II, III, IV","II, IV, III, I","IV, I, II, III","III, IV, I, II",b
In which century BCE did the Vikram Samvat begin?,1st Century BCE,6th Century BCE,1st Century CE,6th Century CE,b
The Shaka Era is closely associated with the reign of which ruler?,Ashoka,Kanishka I,Chandragupta Maurya,Harshavardhana,b
The Hathigumpha inscription provides valuable information about which ruler from ancient India?,Ashoka,Kharavela,Chandragupta Maurya,Kanishka,b
"During the Chola period, what was 'Brahmadeya' primarily associated with?",Land granted to temples,Land granted to Brahmanas,Land granted for irrigation purposes,Land granted to the king's officials,b
Which Sangam is most extensively documented in extant historical texts?,First Sangam,Second Sangam,Third Sangam,All Sangams are equally documented,c
The Brihadeeswarar Temple in Thanjavur is a classic example of Chola architecture; under whose patronage was the Gondeshwar Temple built?,Chola rulers,Pandya rulers,Yadava dynasty,Rashtrakuta dynasty,c
What was the primary outcome of the Battle of Takkolam?,Chola victory and expansion,Rashtrakuta victory and decline of Chola power,Establishment of a new dynasty,Peace treaty between Cholas and Chalukyas,b
"Which royal dynasty patronized Mahendravarman, the author of 'Mattavilasa Prahasana'?",Cholas,Pandyas,Pallavas,Chalukyas,c
Who succeeded Rajaraja I as the Chola ruler?,Rajendra I,Parantaka I,Aditya I,Vijayalaya,a
What material primarily preceded iron in the creation of tools during the Iron Age?,Stone,Copper,Bronze,Wood,c
Which philosophical school emphasizes the atomic theory of the universe?,Samkhya,Yoga,Nyaya,Vaisheshika,d
Which city served as the capital during the peak of the Mauryan Empire?,Rajagriha,Taxila,Pataliputra,Ujjain,c
Which Buddhist text provides a list of the sixteen Mahajanapadas of ancient India?,Dhammapada,Vinaya Pitaka,Anguttara Nikaya,Abhidhamma Pitaka,c
Which of the following is a characteristic feature of the Neolithic Age?,Development of agriculture and animal domestication.,Use of microliths for hunting.,Nomadic hunter-gatherer lifestyles.,Cave paintings depicting animal migrations.,a
What type of tools were predominantly used during the Indus Valley Civilization?,Primarily stone tools such as microliths.,Advanced bronze and copper tools.,Tools made of iron.,Simple bone tools.,b
Arrange the following Indus Valley Civilization sites from West to East:,"Harappa, Mohenjo-daro, Banawali, Ropar","Mohenjo-daro, Harappa, Ropar, Banawali","Mohenjo-daro, Harappa, Banawali, Ropar","Harappa, Mohenjo-daro, Ropar, Banawali",c
"Match the following Indus Valley Civilization sites with their present-day locations:
   I. Harappa          A. Rajasthan
   II. Mohenjo-daro     B. Punjab (Pakistan)
   III. Kalibangan       C. Haryana
   IV. Rakhigarhi       D. Sindh (Pakistan)","I-A, II-B, III-C, IV-D","I-B, II-D, III-A, IV-C","I-B, II-A, III-C, IV-D","I-D, II-B, III-A, IV-C",b
"Which principle is considered paramount in Jainism, influencing ethical conduct?",Satya (Truth),Ahimsa (Non-violence),Asteya (Non-stealing),Aparigraha (Non-attachment),b
Which of the following statements best describes the difference between Shvetambara and Digambara sects in Jainism?,"One sect believes in the existence of gods, while the other is atheistic.",They have different interpretations of non-violence.,"One sect wears white clothes, while the other practices nudity.",They follow different Tirthankaras.,c
