Question,Option A,Option B,Option C,Option D,Correct Answer,Points
What does a Light Year measure?,Time,Intensity of light,Astronomical distance,Density,c,1
Which unit is the largest for measuring astronomical distances?,Light Year,Kilometer,Meter,Parsec,d,1
What is measured in Cusec?,Air pressure,Flow of water,Sound intensity,Earthquake intensity,b,1
The thickness of the ozone layer is measured in which unit?,Watt,Pascal,Dobson,Cusec,c,1
Who primarily uses SONAR?,Geologists,Meteorologists,Navigators,Astronomers,c,1
Which instrument measures the intensity of sound?,Hygrometer,Barometer,Audiometer,Lactometer,c,1
Which instrument is used to measure high temperatures?,Barometer,Pyrometer,Lactometer,Audiometer,b,1
Atmospheric pressure is measured by which instrument?,Hygrometer,Pyrometer,Lactometer,Barometer,d,1
A sudden fall in the barometer reading indicates:,Clear weather,Stormy weather,High humidity,Low temperature,b,1
The purity of milk is measured using which instrument?,Hygrometer,Barometer,Audiometer,Lactometer,d,1
Which instrument measures the humidity of the air?,Lactometer,Pyrometer,Hygrometer,Barometer,c,1
What does the Richter Scale measure?,Air pressure,Sound intensity,Intensity of an earthquake,Purity of milk,c,1
What is the unit of Power?,Cusec,Dobson,Watt,Parsec,c,1
Electric Current is measured with which instrument?,Pyrometer,Ammeter,Barometer,Lactometer,b,1
What is the name of the lie-detecting instrument?,Hygrometer,Audiometer,There is no lie detecting instrument mentioned,Lactometer,c,1
Which instrument is used to measure blood pressure?,Polygraph,Sphygmomanometer,Thermometer,Barometer,b,1
Newton's First Law is also known as which of the following?,Law of Gravitation,Law of Thermodynamics,Law of Inertia,Law of Conservation,c,1
Washing machines and cream separators operate based on which principle?,Centripetal Force,Gravitational Force,Centrifugal Force,Surface Tension,c,1
Why is it more difficult to walk on ice compared to a road?,Ice has more friction,Ice has less friction,Road has more inertia,Road has less inertia,b,1
Passengers lean backwards when a train starts moving due to which phenomenon?,Kinetic Energy,Potential Energy,Inertia of Motion,Inertia of Rest,d,1
Which type of energy is primarily present in winds?,Potential Energy,Kinetic Energy,Thermal Energy,Electrical Energy,b,1
Who is credited with propounding the Universal Law of Gravitation?,Archimedes,Einstein,Newton,Galileo,c,1
What is the approximate value of Escape Velocity from Earth's surface?,1.12 km/second,112 km/second,11.2 km/second,1.2 km/second,c,1
"If Earth's gravitational force disappears suddenly, what will happen to an object's weight?",The weight will increase,The weight will become zero,The weight will remain the same,The weight will decrease slightly,b,1
Why do pendulum clocks typically run slower in summer?,Due to decrease in temperature,Due to increase in humidity,Due to the decrease in the length of the pendulum,Due to the increase in the length of the pendulum,d,1
What is the approximate height of a Geo-stationary Satellite above Earth?,"3,600 km","360,000 km","36,000 km","3,600,000 km",c,1
Where on Earth is the weight of an object typically at its maximum?,At the Equator,At the Tropics,At the Poles,At Sea Level,c,1
Which of the following is the primary reason for the spherical shape of a raindrop?,Gravity,Viscosity,Surface Tension,Air Pressure,c,1
Why does oil spread on the surface of water?,Because the density of oil is higher than that of water.,Because the surface tension of oil is greater than that of water.,Because the surface tension of oil is less than that of water.,Because the viscosity of oil is higher than that of water.,c,1
Kerosene rises up in the wick due to which phenomenon?,Osmosis,Diffusion,Capillarity,Viscosity,c,1
How does the pressure inside a soap bubble compare to atmospheric pressure?,It is equal.,It is lower.,It is higher.,It fluctuates.,c,1
At what temperature is the density of water maximum?,0°C,100°C,4°C,25°C,c,1
What happens when a ship enters the sea from a river?,It sinks a little.,It remains at the same level.,It rises a little.,It capsizes.,c,1
Why does ink start leaking from a pen while traveling in an airplane?,Due to an increase in atmospheric pressure.,Due to a decrease in temperature.,Due to an increase in atmospheric humidity.,Due to a decrease in atmospheric pressure.,d,1
What is the reason for clouds floating in the atmosphere?,Their high Density.,Their low Density.,Their high temperature.,Their high pressure.,b,1
What is the normal temperature of the human body in Fahrenheit?,37°F,100°F,98.6°F,212°F,c,1
At what temperature are the values of Celsius and Fahrenheit scales equal?,0°,100°,-40°,40°,c,1
What happens to the boiling point of water when salt is added to it?,The Boiling Point decreases.,The Boiling Point remains the same.,The Boiling Point increases.,The water freezes.,c,1
Which metal is the best conductor of heat?,Aluminum,Copper,Iron,Silver,d,1
"To keep a beverage at the same temperature in a thermos bottle, whose layer is applied to its walls?",Copper layer,Aluminum layer,Silver layer,Iron layer,c,1
What is the main use of sweat?,To provide Vitamin D.,To regulate body temperature.,To remove toxins.,To provide moisture.,b,1
Why does food cook faster in a pressure cooker?,The pressure cooker uses less energy.,The boiling point of water decreases due to high pressure.,The boiling point of water increases due to high pressure.,The food absorbs more nutrients.,c,1
What is the nature of sound waves?,Transverse electromagnetic waves,Longitudinal electromagnetic waves,Transverse mechanical waves,Longitudinal mechanical waves,d,1
In which medium is the speed of sound the highest?,Air,Water,Steel,Vacuum,c,1
Why is it impossible for two individuals to hear each other on the Moon's surface?,Due to high gravitational force,Because of the presence of excessive radiation,Because there is no atmosphere there,Due to extremely low temperatures,c,1
What is the standard sound level considered safe for human hearing?,100 Decibels (dB),80 Decibels (dB),40 Decibels (dB),60 Decibels (dB),d,1
What is the frequency range of Ultrasonic Waves?,"Less than 20,000 Hertz (Hz)",More than 20 Hertz (Hz),"More than 20,000 Hertz (Hz)",Less than 20 Hertz (Hz),c,1
Which type of waves do bats utilize for navigation in darkness?,Infrared waves,Radio waves,Ultrasonic waves,Microwaves,c,1
