Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topics,Points
Which of the following is a renewable source of energy?,Coal,Natural Gas,Wind energy,Petroleum,c,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
Which international organization maintains the Red List of threatened species?,UNEP,WWF,IUCN,UNESCO,c,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
Sundarbans is known for which type of forest?,Deciduous forest,Mangrove forest,Tropical rainforest,Alpine forest,b,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
The movement of carbon through the environment is best described as the:,Carbon cycle,Water cycle,Nitrogen cycle,Oxygen cycle,a,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
Which of these is NOT a non-renewable energy source?,Nuclear,Fossil Fuels,Geothermal,Coal,c,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
How many biodiversity hotspots are identified across the globe?,24,36,42,18,b,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
What is the primary function of mangroves?,Provide timber,Prevent soil erosion,Increase tourism,Promote agriculture,b,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
Which of the following gases makes up the largest portion of the Earth's atmosphere?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,c,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
Coral bleaching is mainly due to:,Increased rainfall,Ocean acidification,Decreased salinity,Algal bloom,b,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
Which category of the IUCN Red List represents species facing an extremely high risk of extinction in the wild?,Vulnerable,Endangered,Critically Endangered,Near Threatened,c,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
