Question,Option A,Option B,Option C,Option D,Correct Answer,Points
In which year was the first census conducted in India?,1881,1872,1861,1891,b,1
Where was the first post office in India established by the British East India Company?,Madras,Calcutta,Delhi,Bombay (now Mumbai),d,1
The historic 'Victoria Park' is now renamed as what?,Gandhi Park,Nehru Park,Jung-e-Azadi Park,Azad Hind Park,c,1
Who was the chief architect and designer of New Delhi?,Herbert Baker,Edwin Lutyens,Robert Clive,Warren Hastings,b,1
Who built the Bara Imambara in Lucknow?,Saadat Ali Khan,Shuja-ud-Daula,Asaf-ud-Daula,Wajid Ali Shah,c,1
The first clear expression of nationalism came with which event?,Indian Mutiny of 1857,American Revolution,French Revolution,Russian Revolution,c,1
K.M. Munshi founded which organization?,Hindu Mahasabha,Rashtriya Swayamsevak Sangh,Bharatiya Vidya Bhavan,Arya Samaj,c,1
In which state was the Mahad Satyagraha started by Dr. B. R. Ambedkar?,Gujarat,Maharashtra,Madhya Pradesh,Karnataka,b,1
The Palli movement is related to which state?,Kerala,Andhra Pradesh,Tamil Nadu,Karnataka,c,1
"Who attempted to assassinate Charles Tegart, the Police Commissioner of Calcutta?",Bhagat Singh,Gopinath Saha,Khudiram Bose,Suryasen,b,1
"Match the following proposals with their respective years:

   I. August Proposal          A. 1945
   II. Cripps Proposal         B. 1940
   III. CR Formula            C. 1942
   IV. Wavell Plan             D. 1944","I-B, II-C, III-D, IV-A","I-C, II-B, III-A, IV-D","I-A, II-D, III-C, IV-B","I-D, II-A, III-B, IV-C",a,1
Since which year has the Amar Jawan Jyoti been burning continuously at India Gate?,1965,1962,1971,1947,c,1
Which country has the longest written constitution in the world?,United States of America,United Kingdom,India,Australia,c,1
Who was known as the 'extremist leader' during India's freedom movement?,Mahatma Gandhi,Jawaharlal Nehru,Bal Gangadhar Tilak,Sardar Vallabhbhai Patel,c,1
The Gateway of India was built to commemorate the arrival of which British monarchs?,Queen Victoria and Prince Albert,King Edward VII and Queen Alexandra,King George V and Queen Mary,King George VI and Queen Elizabeth,c,1
In which architectural style was the Gateway of India built?,Gothic,Indo-Saracenic,Roman,Greek,b,1
Who designed the India Gate in Delhi?,Herbert Baker,Edwin Lutyens,Robert Chisholm,William Emerson,b,1
In which city was British India primarily located between 1773-1911?,Delhi,Bombay,Madras,Calcutta,d,1
Which of the following statements is INCORRECT regarding the Amar Jawan Jyoti?,It burns near India Gate.,It commemorates soldiers martyred during the war.,It was established in 1971.,It commemorates soldiers martyred during the First World War.,d,1
"In which city is the 'Jung-e-Azadi Park', formerly known as 'Victoria Park', located?",Lucknow,Meerut,Agra,Kanpur,b,1
The Amar Jawan Jyoti burns near India Gate in memory of soldiers martyred during the war in 1971 with which country?,Pakistan,China,Bangladesh,Pak-China,a,1
Which of the following statements is INCORRECT regarding Nathuram Godse's brothers?,Dattatreya was a brother of Nathuram Godse.,Govind was a brother of Nathuram Godse.,Gopal was a brother of Nathuram Godse.,None of the brothers were members of the RSS.,d,1
The residence of Lala Lajpat Rai is in which region?,Bengal,Punjab,Bihar,Bombay,b,1
What was the capital of British India between 1773-1911?,Delhi,Bombay,Madras,Calcutta,d,1
Which of the following statements is INCORRECT regarding the Gateway of India?,It was built in 1911.,It was built to commemorate the visit of King George V and Queen Mary.,It is located in Calcutta.,It was built in the Indo-Saracenic style.,c,1
Name one of the brothers of Nathuram Godse who were members of the RSS.,Vinayak,Narayan,Dattatreya,Madhav,c,1
Who built the Gateway of India to commemorate the arrival of Queen Mary?,Lord Curzon,King George V,Queen Victoria,Lord Irwin,b,1
During which period was Calcutta the capital of British India?,1857-1947,1600-1757,1773-1911,1911-1947,c,1
Who was the architect who designed the Gateway of India in Mumbai?,Sir Herbert Baker,Sir Edwin Lutyens,George Wittet,Major James Rennell,c,1
In which year was New Delhi officially made the capital of India?,1927,1888,1944,1911,d,1
The Gateway of India was built to commemorate the visit of which royal figures?,Queen Victoria and Prince Albert,King George VI and Queen Elizabeth,King Edward VII and Queen Alexandra,King George V and Queen Mary,d,1
"Which building in Kolkata is a replica of the Taj Mahal, constructed by the British?",Fort William,Parliament House,Victoria Memorial,Chhatrapati Shivaji Terminus,c,1
"In which Indian city can the Zero Mile Stone, featuring a pillar with four sandstone horses, be found?",New Delhi,Kolkata,Mumbai,Nagpur,d,1
Who prepared the design for the Indian Parliament House located in New Delhi?,Major James Rennell,Shriman Narayan Agarwal,Satyendranath Tagore,Sir Edwin Lutyens and Sir Herbert Baker,d,1
Which village was demolished by the East India Company to make way for Fort William?,Bethlehem,Chinhat,Gobindpur,Sanchi,c,1
Where is the National War Memorial proposed to be built?,Nagpur,Kolkata,Mumbai,New Delhi,d,1
In which year was Victoria Terminus (now Chhatrapati Shivaji Terminus) built?,1911,1921,1950,1888,d,1
During which period was the Parliament House in Delhi constructed?,1824-1826,1950-1955,1921-1927,1944-1949,c,1
Who was the first Indian to join the Indian Civil Service?,Henry Lawrence,Ahmadullah Shah,Shriman Narayan Agarwal,Satyendranath Tagore,d,1
Who succeeded Shah Jahan Begum and provided funds for the preservation of the ancient site of Sanchi?,Mother Teresa,Sarojini Naidu,Sultan Jahan Begum,Queen Mary,c,1
Ahmadullah Shah defeated Henry Lawrence in which battle?,Battle of Sanchi,Battle of Gobindpur,Battle of Chinhat,Battle of Bethlehem,c,1
What is the birthplace of the founder of Christianity?,New Delhi,Kolkata,Bethlehem,Nagpur,c,1
What was the profession of freedom fighter Deshbandhu Chittaranjan Das?,Architect,Surveyor,Advocate,Ruler,c,1
In which year was the Missionaries of Charity founded by Mother Teresa?,1888,1911,1927,1950,d,1
Who is known as the Nightingale of India and played a vital role in awakening Indian women for independence?,Mother Teresa,Sultan Jahan Begum,Queen Mary,Sarojini Naidu,d,1
Who propounded the Gandhian Plan in 1944?,George Wittet,Henry Lawrence,Shriman Narayan Agarwal,Edwin Lutyens,c,1
Who started the first topographical survey in India?,Sir Herbert Baker,Satyendranath Tagore,Major James Rennell,Chittaranjan Das,c,1
The first Anglo-Burman war took place during which years?,1921-1927,1944-1949,1824-1826,1950-1955,c,1
"The Victoria Memorial, a replica of the Taj Mahal, is located in which city?",Mumbai,Delhi,Kolkata,Nagpur,c,1
In which period did the first Anglo-Burman war take place?,1921-1927,1911,1888,1824-1826,d,1
Which structure was built in Kolkata by the British as a replica of the Taj Mahal?,Gateway of India,Indian Parliament House,Victoria Memorial,Fort William,c,1
