Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following best describes the primary focus of Gharanas in Indian music?,Emphasizing regional languages in compositions,Preserving and passing down unique musical traditions and styles,Promoting fusion music with Western elements,Standardizing musical training across all genres,b
Which of the following is NOT a characteristic emphasized by Gharanas?,Emotional expression,Technical mastery,Improvisation,Uniformity of musical interpretation,d
Arrange the following Hindustani Gharanas in alphabetical order:,"Agra, Gwalior, Jaipur-Atrauli, Kirana, Patiala","Agra, Gwalior, Kirana, Jaipur-Atrauli, Patiala","Agra, Jaipur-Atrauli, Gwalior, Kirana, Patiala","Agra, Jaipur-Atrauli, Kirana, Gwalior, Patiala",a
In which type of Indian classical music are Gharanas less formally structured?,Hindustani music,Carnatic music,Ghazal music,Folk music,b
Which of the following statements is INCORRECT regarding the importance of learning about Indian music Gharanas?,It deepens appreciation for Indian classical music.,It is relevant for competitive exams.,It helps preserve a timeless art form.,It standardizes regional influences in music.,d
"Match the following musicians with their respective Gharanas:

Column I (Musician)         Column II (Gharana)
A. Ali Akbar Khan             1. Kirana
B. Bade Ghulam Ali Khan       2. Maihar
C. Gangubai Hangal            3. Patiala

Choose the correct combination:","A-1, B-2, C-3","A-2, B-3, C-1","A-3, B-1, C-2","A-2, B-1, C-3",b
With which Gharana are Gangubai Hangal and Prabha Atre associated?,Mewati,Jaipur,Kirana,Rampur,c
Baba Allauddin Khan founded which of the following gharanas?,Agra gharana,Maihar gharana,Kirana gharana,Gwalior gharana,b
Kala Ramnath is associated with which Gharana?,Indore gharana,Mewati gharana,Bhendibazaar gharana,Agra gharana,b
"Bundu Khan, associated with the Delhi Gharana, was a player of which instrument?",Sarangi,Flute,Santoor,Sarod,a
In which year were Kumari Asthana and Nalin Asthana conferred with Padma Shri for representing Banaras Gharana of Kathak?,2020,2021,2022,2023,c
Which set of cities represents the three distinct 'gharanas' where Kathak dance tradition evolved?,"Jaipur, Benaras, Lucknow","Prayagraj, Thiruvananthapuram, Surat","Ayodhya, Prayagraj, Jaipur","Banaras, Ayodhya, Lucknow",a
"Prabha Atre, a recipient of the Padma Vibhushan Award in 2022, belonged to which Gharana?",Mewati gharana,Agra gharana,Kirana gharana,Indore gharana,c
Ishwari Prasad is credited with introducing which Gharana of Kathak?,Raigarh,Jaipur,Banaras,Lucknow,a
"Bade Ghulam Ali Khan, a Hindustani classical vocalist, belonged to which Gharana?",Kirana,Agra,Patiala,Gwalior,c
Which aspect is NOT emphasized by the musical schools of Gharanas?,Technical mastery,Emotional expression,Improvisation,Strict adherence to Western musical theory,d
Which of the following is NOT a famous Hindustani Gharana mentioned in the text?,Gwalior,Agra,Islamabad,Kirana,c
In which musical form are Gharanas less formally structured but represented through lineages of maestros?,Hindustani music,Carnatic music,Western Classical music,Folk music,b
For which of the following exams is learning about Indian music Gharanas considered important?,"UPSC, SSC, and state-level GK tests",Medical entrance exams,Engineering entrance exams,Law entrance exams,a
Which Gharana were Gangubai Hangal and Prabha Atre exponents of?,Mewati,Jaipur,Kirana,Rampur,c
