Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topics,Points
"Consider the following statements regarding the Mauryan administration:
1.  The Mauryan empire was divided into provinces, each under a prince of the royal family.
2.  'Samaharta' was the officer responsible for the collection of revenue.
3.  'Sannidhata' was the chief treasury officer.
Which of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",d,Ancient History,Mauryan Empire,1
Which of the following Mauryan rulers embraced Jainism towards the end of their reign and abdicated the throne?,Bindusara,Ashoka,Chandragupta Maurya,Dasharatha,c,Ancient History,Mauryan Empire,1
"Match List I (Officials) with List II (Departments) during Mauryan period and select the correct answer using the code given below the lists:

List I
(Officials)
A. Panya Adhyaksha
B. Sitadhyaksha
C. Akaradhyaksha
D. Sulkadhyaksha

List II
(Departments)
1. Superintendent of Mines
2. Superintendent of Commerce
3. Superintendent of Agriculture
4. Superintendent of Tolls
","A-2, B-3, C-1, D-4","A-3, B-2, C-4, D-1","A-2, B-1, C-3, D-4","A-4, B-3, C-2, D-1",a,Ancient History,Mauryan Empire,1
"Arrange the following Mauryan rulers in chronological order:
1. Brihadratha
2. Ashoka
3. Chandragupta Maurya
4. Bindusara
Select the correct answer using the code given below:","3, 4, 2, 1","4, 3, 1, 2","2, 1, 3, 4","1, 2, 4, 3",a,Ancient History,Mauryan Empire,1
"Assertion (A): Ashoka adopted a policy of Dhamma after the Kalinga War.
Reason (R): The Kalinga War caused immense suffering and loss of life, deeply affecting Ashoka.
In the context of the above two statements, which one of the following is correct?",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is NOT the correct explanation of A,A is true but R is false,A is false but R is true,a,Ancient History,Mauryan Empire,1
"The Sarnath Lion Capital, adopted as the National Emblem of India, belongs to which of the following dynasties?",Gupta Dynasty,Mauryan Dynasty,Kushan Dynasty,Shunga Dynasty,b,Ancient History,Mauryan Empire,1
Which of the following edicts of Ashoka describes his policy of Dhamma?,Minor Rock Edict I,Kalinga Edict,Major Rock Edict XI,Bhabru Edict,c,Ancient History,Mauryan Empire,1
Who was the Greek ambassador sent to the Mauryan court of Chandragupta Maurya?,Pliny,Strabo,Megasthenes,Ptolemy,c,Ancient History,Mauryan Empire,1
The term 'Sandrakottos' used in Greek accounts refers to which Indian ruler?,Bimbisara,Ajatashatru,Chandragupta Maurya,Ashoka,c,Ancient History,Mauryan Empire,1
"Which of the following sources provides information about the Mauryan administration, society, and economy?",Arthashastra of Kautilya,Indica of Megasthenes,Ashokan Edicts,All of the above,d,Ancient History,Mauryan Empire,1
