Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topics,Points
Who was the founder of the Mauryan Empire?,Bindusara,Ashoka,Chandragupta Maurya,Brihadratha,c,Ancient History,Mauryan Empire,1
What was the capital city of the Mauryan Empire?,Taxila,Ujjain,Pataliputra,Indraprastha,c,Ancient History,Mauryan Empire,1
Which of the following Mauryan rulers embraced Buddhism after the Kalinga War?,Chandragupta Maurya,Bindusara,Dasharatha,Ashoka,d,Ancient History,Mauryan Empire,1
Who was Megasthenes?,A Mauryan emperor,A Greek ambassador in Mauryan court,A Mauryan general,A Buddhist monk,b,Ancient History,Mauryan Empire,1
What is the name of the book written by Kautilya?,Indica,Arthashastra,Rajatarangini,Mudrarakshasa,b,Ancient History,Mauryan Empire,1
The Kalinga War took place in which year?,261 BC,322 BC,185 BC,232 BC,a,Ancient History,Mauryan Empire,1
Which edicts of Ashoka describe the events of the Kalinga War?,Minor Rock Edicts,Pillar Edicts,Major Rock Edicts XIII,Major Rock Edicts I,c,Ancient History,Mauryan Empire,1
Who was the last ruler of the Mauryan dynasty?,Ashoka,Bindusara,Brihadratha,Chandragupta Maurya,c,Ancient History,Mauryan Empire,1
What was the main source of income for the Mauryan Empire?,Trade,Land revenue,Tribute from conquered kingdoms,Mining,b,Ancient History,Mauryan Empire,1
What was the language used in Ashoka's edicts?,Sanskrit,Pali,Prakrit,Tamil,c,Ancient History,Mauryan Empire,1
