Q.No,Question,Option A,Option B,Option C,Option D,Correct Answer
1,Which layer of the atmosphere contains the majority of its mass?,Stratosphere,Troposphere,Mesosphere,Thermosphere,b
2,In which atmospheric layer does the ozone layer reside?,Troposphere,Stratosphere,Mesosphere,Thermosphere,b
3,Which layer of the atmosphere is known as the coldest?,Troposphere,Stratosphere,Mesosphere,Thermosphere,c
4,In which layer do meteors typically burn up?,Troposphere,Stratosphere,Mesosphere,Thermosphere,c
5,Which layer is characterized by increasing temperature with altitude due to absorption of high-energy solar radiation?,Troposphere,Stratosphere,Mesosphere,Thermosphere,d
6,What is the outermost layer of the atmosphere?,Thermosphere,Mesosphere,Exosphere,Stratosphere,c
7,Which region within the atmosphere is characterized by ionization of gases?,Ozonosphere,Ionosphere,Stratopause,Tropopause,b
8,What is the primary cause of ozone depletion?,Carbon dioxide,Methane,CFCs,Water vapor,c
9,What is the standard sea-level atmospheric pressure?,1000 mb,1013.25 mb,980 mb,1050 mb,b
10,What is a temperature inversion?,A decrease in temperature with altitude,An increase in temperature with altitude,Constant temperature with altitude,Rapid temperature fluctuations,b
11,What is the approximate dry adiabatic lapse rate?,6.5°C/km,10°C/km,3.5°C/km,12°C/km,b
12,Which of the following is NOT a primary function of the atmosphere?,Providing breathable air,Protecting from harmful radiation,Regulating temperature,Creating earthquakes,d
13,Over which region is ozone depletion most severe?,Arctic,Antarctica,Equator,Tropics,b
14,Which organization coordinates global weather observations?,UNEP,WMO,IPCC,NASA,b
15,What causes auroras?,Ozone depletion,Charged particles from the sun interacting with the Earth's magnetic field,Volcanic eruptions,Earthquakes,b
16,Which atmospheric phenomenon is essential for maintaining a habitable temperature on Earth?,Ozone depletion,Greenhouse effect,Temperature inversion,Adiabatic cooling,b
17,What is the boundary between the troposphere and stratosphere called?,Stratopause,Mesopause,Tropopause,Thermopause,c
18,What is the approximate percentage of Nitrogen in the atmosphere?,21%,78%,0.9%,1%,b
19,Which layer is important for radio wave propagation?,Troposphere,Stratosphere,Ionosphere,Exosphere,c
20,Which gas is most responsible for the greenhouse effect?,Nitrogen,Oxygen,Carbon Dioxide,Argon,c
21,What type of radiation does the ozone layer absorb?,Infrared,Microwave,Ultraviolet,Radio waves,c
22,Which layer has stable conditions with little vertical mixing?,Troposphere,Stratosphere,Mesosphere,Thermosphere,b
23,What are noctilucent clouds?,Clouds found in the troposphere,Clouds found in the stratosphere,"Highest clouds in the atmosphere, found in the mesosphere",Clouds found in the thermosphere,c
24,What drives atmospheric circulation?,Tidal forces,Uneven heating of the Earth's surface,Volcanic activity,Earthquakes,b
25,What is the Intergovernmental Panel on Climate Change (IPCC) responsible for?,Coordinating global weather observations,Assessing climate change science,Monitoring ozone depletion,Studying the ionosphere,b
26,Which layer of the atmosphere is closest to the Earth's surface?,Stratosphere,Mesosphere,Troposphere,Thermosphere,c
27,What happens to atmospheric pressure as altitude increases?,Increases,Decreases,Remains constant,Fluctuates randomly,b
28,Which of the following gases is NOT a significant component of the atmosphere?,Nitrogen,Oxygen,Carbon Monoxide,Argon,c
29,What is the boundary between the stratosphere and mesosphere called?,Tropopause,Stratopause,Mesopause,Thermopause,b
30,What is the primary component of the exosphere?,Nitrogen,Oxygen,Hydrogen and Helium,Carbon Dioxide,c
31,Why is the thermosphere not hot to the touch despite its high temperature?,It is made of ice,It is shielded by the ozone layer,It has low density,It is constantly cooled by winds,c
32,What is the effect of enhanced greenhouse effect?,Global cooling,Global warming,Ozone depletion,Acid rain,b
33,What is the approximate height of the troposphere?,8-14.5 km,50 km,85 km,500-1000 km,a
34,What is the effect of temperature in the stratosphere?,Temperature decreases with altitude,Temperature increases with altitude,Temperature remains constant with altitude,Temperature fluctuates randomly,b
35,What is the effect of temperature in the mesosphere?,Temperature decreases with altitude,Temperature increases with altitude,Temperature remains constant with altitude,Temperature fluctuates randomly,a
36,What is the effect of temperature in the thermosphere?,Temperature decreases with altitude,Temperature increases with altitude,Temperature remains constant with altitude,Temperature fluctuates randomly,b
37,What is the approximate height of the stratosphere?,8-14.5 km,50 km,85 km,500-1000 km,b
38,What is the approximate height of the mesosphere?,8-14.5 km,50 km,85 km,500-1000 km,c
39,What is the approximate height of the thermosphere?,8-14.5 km,50 km,85 km,500-1000 km,d
40,Which layer contains the ozone layer?,Troposphere,Stratosphere,Mesosphere,Thermosphere,b
41,Which layer is responsible for weather phenomena?,Troposphere,Stratosphere,Mesosphere,Thermosphere,a
42,What is the boundary between the mesosphere and thermosphere called?,Tropopause,Stratopause,Mesopause,Thermopause,c
43,Which layer is also known as the upper atmosphere?,Troposphere,Stratosphere,Mesosphere,Thermosphere,d
44,Which of the following is NOT a greenhouse gas?,Carbon dioxide,Methane,Nitrogen,Water vapor,c
45,What is the approximate percentage of oxygen in the atmosphere?,21%,78%,0.9%,1%,a
46,Which atmospheric layer is characterized by the presence of auroras?,Troposphere,Stratosphere,Mesosphere,Thermosphere,d
47,Which of the following is a consequence of ozone depletion?,Increased skin cancer risk,Global cooling,Increased precipitation,Decreased sea levels,a
