Question,Option A,Option B,Option C,Option D,Correct Answer
"In which age was copper first utilized, according to the provided text?",Neolithic Age,Mesolithic Age,Palaeolithic Age,Chalcolithic Age,d
Arrange the following prehistoric periods of human activity and civilization in their correct chronological order:,"Mesolithic Age, Palaeolithic Age, Neolithic Age","Neolithic Age, Mesolithic Age, Palaeolithic Age","Palaeolithic Age, Neolithic Age, Mesolithic Age","Palaeolithic Age, Mesolithic Age, Neolithic Age",d
Which of the following statements is INCORRECT regarding the information provided?,The caves of Bhimbetka were discovered in 1957-58.,The earliest evidence of a permanent life has been found at Mehrgarh.,Animal husbandry began in the Neolithic Age.,The rock shelters of Bhimbetka are famous for Palaeolithic rock paintings in India.,c
"The Ash Mound, a Neolithic site, is associated with which of the following locations?",Burzahom,Gufkral,Sanganakallu,Damdama,c
Megalithic monuments are primarily identified as:,Residential dwellings,Burial sites for the dead,Agricultural storage facilities,Religious temples,b
Which of the following statements is INCORRECT regarding early agriculture in the Indian subcontinent?,The Neolithic Age marked the beginning of grain cultivation.,Barley was the first grain used by humans.,The Vindhya region contains the earliest evidence of rice cultivation.,Wheat was the first crop cultivated in India.,d
Arrange the following archaeological discoveries/sites in chronological order based on the ages they represent (earliest to latest): I. Damdama II. Navdatoli III. Bhimbetka,"I, II, III","III, I, II","II, I, III","I, III, II",b
"Match the following sites with their corresponding states:
I. Bhimbetka II. Atranjikhera
(A) Uttar Pradesh (B) Madhya Pradesh","I-A, II-B","I-B, II-A","I-A, II-A","I-B, II-B",b
"Match the following archaeological sites with their respective states/regions:

Column I           Column II
A. Burzahom        1. Uttar Pradesh
B. Inamgaon        2. Balochistan
C. Mehrgarh         3. Maharashtra
D. Koldihwa        4. Jammu and Kashmir

Choose the correct sequence:","A-4, B-3, C-2, D-1","A-3, B-4, C-1, D-2","A-2, B-1, C-4, D-3","A-1, B-2, C-3, D-4",a
Which of the following statements is INCORRECT regarding the Indus Valley Civilization?,Cotton clothes were a major export.,Lothal served as a port.,Dholavira was divided into three parts.,Microliths were the primary tools used.,d
The skull of 'Homo erectus' was discovered at which prehistoric Indian site?,Hunsagi,Hathnora,Burzahom,Mehrgarh,b
Which of the following sites is NOT related to the Indus Valley Civilization?,Harappa,Mohenjo-daro,Pataliputra,Lothal,c
The Harappan site 'Banawali' is located in which of the following states?,Gujarat,Rajasthan,Haryana,Punjab,c
Arrange the following Indus Valley Civilization sites based on their present-day location from West to East:,"Mohenjo-daro, Ropar, Harappa, Banawali","Harappa, Mohenjo-daro, Banawali, Ropar","Mohenjo-daro, Harappa, Ropar, Banawali","Mohenjo-daro, Harappa, Banawali, Ropar",d
Match the following Indus Valley Civilization sites with their corresponding locations:,"A-1, B-2, C-3, D-4","A-2, B-1, C-4, D-3","A-2, B-1, C-3, D-4","A-1, B-2, C-4, D-3",b
Who was the Director General of ASI in 1944 who took charge of Harappa excavation?,R.D. Banerji,S.R. Rao,Sir John Marshall,Sir Mortimer Wheeler,d
Which animal is NOT depicted on the 'Pashupati Shiva' seal from Mohenjo-daro?,Tiger,Bull,Elephant,Rhinoceros,b
The easternmost boundary of the Harappan culture is marked by which site?,Kalibangan,Lothal,Alamgirpur,Harappa,c
Which archaeologist is credited with being the first to excavate Harappa and understand its significance?,Sir John Marshall,A. Ghosh,R.D. Banerji,A. Cunningham,a
The term 'Indus Civilization' was first used by whom?,A. Cunningham,R.D. Banerji,Sir John Marshall,Dayaram Sahni,c
"Match the following Harappan sites with their respective states:

   I. Alamgirpur         A. Gujarat
   II. Hulas              B. Uttar Pradesh
   III. Sopal             C. Maharashtra

    Choose the correct sequence:","I-B, II-A, III-C","I-A, II-C, III-B","I-B, II-C, III-A","I-B, II-B, III-A",d
Which of the following statements regarding the Indus Valley Civilization is INCORRECT?,Evidence of rock-cut architecture has been found at Dholavira.,A ploughed field was discovered at Kalibangan.,The largest Harappan site in India is Lothal.,Most of the Harappan sites are located in the Indus Valley.,c
At which site was evidence of a coffin burial discovered?,Lothal,Kalibangan,Harappa,Mohenjo-daro,c
Terracotta models of the plough were discovered at which Harappan site?,Dholavira,Kalibangan,Banawali,Lothal,c
"In which year did the excavations at Dholavira commence, led by Ravindra Singh Bisht?",1980,1995,1985,1990,d
Which of the following statements is INCORRECT regarding Mesopotamian languages?,Sumerian was a Mesopotamian language,The Mesopotamians referred to the Indus Valley Civilization as Meluha.,The Mesopotamians traded with the Indus Valley Civilization.,Mesopotamia was a contemporary civilization of the Indus Valley.,a
"Match the following Harappan sites with their respective states in India:

Column I (Site) | Column II (State)
A. Dholavira    | 1. Haryana
B. Rakhigarhi   | 2. Gujarat
C. Kalibanga    | 3. Rajasthan

Choose the correct sequence:","A-2, B-1, C-3","A-1, B-2, C-3","A-3, B-1, C-2","A-2, B-3, C-1",a
The Indus Valley Civilization site NOT located on the banks of the Indus river is:,Mohenjo-daro,Harappa,Ropar,Kot Diji,c
What was the general status of women during the Vedic period?,Low,Equal to men,High,Restricted,c
From which of the following is the phrase 'Satyameva Jayate' taken?,Ramayana,Rigveda,Mundaka Upanishad,Arthashastra,c
Which of the following Vedas is considered the oldest?,Yajurveda,Samaveda,Atharvaveda,Rigveda,d
"Match the following Brahmana original texts with their corresponding Veda:

Column I
(A) Shatapatha Brahmana
(B) Aitareya Upanishad

Column II
(1) Rigveda
(2) Yajurveda

Choose the correct sequence:","A-1, B-2","A-2, B-1","A-1, B-1","A-2, B-2",b
Which of the following statements is INCORRECT regarding the Rigveda?,The Gayatri Mantra is dedicated to Savita.,The deity Indra is given the greatest importance.,It is the holiest Veda among the four Vedas.,The word 'Vrihi' was used for rice.,d
The Veda known as 'Karmakanda Grantha' or ritual text is:,Rigveda,Yajurveda,Samaveda,Atharvaveda,b
"According to Vedic texts, what was the function of 'Sangrahitri'?",Chief Priest,Army Commander,Treasurer or Cashier,Village Headman,c
Which Veda is also referred to as the 'Book of Songs'?,Rigveda,Yajurveda,Samaveda,Atharvaveda,c
"Arrange the following Vedas in chronological order, from oldest to newest.","Rigveda, Samaveda, Yajurveda, Atharvaveda","Samaveda, Rigveda, Atharvaveda, Yajurveda","Atharvaveda, Yajurveda, Samaveda, Rigveda","Yajurveda, Atharvaveda, Rigveda, Samaveda",a
"Match the following:

Column I (Veda)           Column II (Related To)
A. Yajurveda            1. Magical rituals and charms
B. Atharvaveda         2. Art of warfare

Choose the correct sequence:","A-1, B-2","A-2, B-1","A-1, B-1","A-2, B-2",b
Which of the following statements is INCORRECT regarding the Upanishads?,The total number of main Upanishads is 11.,The oldest Upanishad is the Chandogya Upanishad.,The word 'Vasudhaiva Kutumbakam' is mentioned in the Maha Upanishad.,The Mundaka Upanishad is related to Rigveda.,d
From which Upanishad is India's national motto 'Satyameva Jayate' taken?,Chandogya Upanishad,Maha Upanishad,Mundakopanishad,None of the above,c
"According to the text, what was the primary occupation of the Aryans in ancient times?",Trade and commerce,Agriculture and animal husbandry,Military service,Craftsmanship,b
The word 'Gotra' is first found in which of the following Vedic texts?,Atharvaveda,Samaveda,Rigveda,Yajurveda,c
"Arrange the following rivers mentioned in the Rigveda in terms of their significance to the Aryans' relationship with Afghanistan, according to the provided text:","Kubha, Kramu","Indus, Kubha","Kramu, Indus","Kramu, Parushni",a
Match the following Vedic texts with their associated descriptions:,"A-2, B-3, C-1","A-3, B-1, C-2","A-1, B-2, C-3","A-3, B-2, C-1",d
"According to the Vedic texts, which of the following was considered 'Aghanya'?",Horse,Barley,Cow,Gold,c
The phrase 'Satyameva Jayate' inscribed on the Indian emblem is taken from which Upanishad?,Kathopanishad,Maitrayani,Mundakopanishad,Shatapatha Brahmana,c
The term 'Koseya' in ancient Indian texts referred to which commodity?,Cotton,Wool,Silk,Linen,c
Which of the following Vedas contains a collection of magical spells and charms?,Samaveda,Yajurveda,Rigveda,Atharvaveda,d
"Match the following rivers with their ancient Vedic names:

   I. Beas             A. Vitasta
   II. Jhelum          B. Vipasha
   III. Ravi           C. Parushni

Select the correct sequence:","I-A, II-B, III-C","I-B, II-A, III-C","I-C, II-B, III-A","I-B, II-C, III-A",b
Which of the following statements is INCORRECT regarding the Vedic period?,The main social unit of the Aryans was Jan.,The most Rigvedic hymns are dedicated to Indra.,The oldest Veda is Samaveda.,The ancient name of the Jhelum river was Vitasta.,c
"According to the 'Chaturashrama' system, which stage of life provided for the family period?",Vanaprastha,Sanyasa,Brahmacharya,Grihastha,d
"In the Iron Age, what material was gradually replaced by iron for making tools and weapons?",Copper,Bronze,Stone,Wood,b
The Vaisheshika Darshana was propounded by whom?,Jivaka,Kanada,Udayin,Bimbisara,b
"In the sixth-fifth century BC, the people of Turkey referred to the language used east of the Indus as:",Magadhi,Pali,Hindvi,Sanskrit,c
Which of the following is INCORRECT regarding the Magadha Empire?,Bimbisara was a ruler of Magadha,Rajgir was the capital of the Magadha Empire,Dhanananda was the last ruler of the Magadha Empire,Jivaka shifted the capital from Rajagriha to Pataliputra,d
"Match the following:

Column I
(A) Kosala
(B) Matsya

Column II
(1) Rajasthan
(2) Awadh

Choose the correct option:","A-1, B-2","A-2, B-1","A-1, B-1","A-2, B-2",b
The ancient capital of India was:,Rajgir,Kaushambi,Pataliputra,Shuktimati,c
The Anguttara Nikaya mentions the number of Mahajanapadas as:,Eight,Twelve,Sixteen,Twenty,c
Which of the following rivers surrounded the Magadha Mahajanapada?,Ganga and Yamuna,Yamuna and Son,Ganga and Son,Yamuna and Narmada,c
"Arrange the following dynasties in chronological order based on their rule over Magadha:
1. Nanda dynasty
2. Mauryan dynasty
3. Haryanka dynasty","3, 1, 2","1, 2, 3","2, 3, 1","3, 2, 1",a
