Question,Option A,Option B,Option C,Option D,Correct Answer
"In which age was copper first used, according to the provided text?",Neolithic Age,Mesolithic Age,Palaeolithic Age,Chalcolithic Age,d
In what period were the caves of Bhimbetka discovered?,1967-68,1947-48,1977-78,1957-58,d
The rock shelters of Bhimbetka are primarily known for what?,Neolithic tools,Mesolithic sculptures,Palaeolithic rock paintings in India,Chalcolithic pottery,c
Which of the following represents the correct chronological order of prehistoric periods?,"Neolithic Age, Mesolithic Age, Palaeolithic Age","Mesolithic Age, Palaeolithic Age, Neolithic Age","Palaeolithic Age, Neolithic Age, Mesolithic Age","Palaeolithic Age, Mesolithic Age, Neolithic Age",d
Which sequence correctly represents the west-to-east order of Mesolithic sites?,"Paisra, Birbhanpur, Mahadaha, Lekhahia","Mahadaha, Lekhahia, Birbhanpur, Paisra","Mahadaha, Lekhahia, Paisra, Birbhanpur","Birbhanpur, Paisra, Lekhahia, Mahadaha",c
From which site has the earliest evidence of permanent life been discovered?,Lahuradeva,Adamgarh,Bagor,Mehrgarh,d
Evidence of early rice cultivation in the Ganga Valley has been found at which location?,Bagor,Adamgarh,Mehrgarh,Lahuradeva,d
From which Mesolithic site has evidence of animal husbandry been found?,Lahuradeva,Mehrgarh,Bagor,Paisra,c
"According to the excavated evidence mentioned, when did animal husbandry begin?",The Neolithic Age,The Chalcolithic Age,The Palaeolithic Age,The Mesolithic Age,d
"What is the correct chronological order of the prehistoric periods of human activity and civilization, as per the provided information?","Neolithic Age, Mesolithic Age, Palaeolithic Age","Mesolithic Age, Palaeolithic Age, Neolithic Age","Palaeolithic Age, Neolithic Age, Mesolithic Age","Palaeolithic Age, Mesolithic Age, Neolithic Age",d
Which of the following represents the correct west-to-east sequence of Mesolithic sites geographically?,"Paisra, Birbhanpur, Mahadaha, Lekhahia","Lekhahia, Mahadaha, Paisra, Birbhanpur","Mahadaha, Lekhahia, Paisra, Birbhanpur","Birbhanpur, Paisra, Lekhahia, Mahadaha",c
"According to the text, which site has yielded the earliest evidence of permanent human life?",Lahuradeva,Adamgarh,Bagor,Mehrgarh,d
Where has the earliest evidence of rice cultivation in the Ganga Valley been discovered?,Adamgarh,Bagor,Mehrgarh,Lahuradeva,d
"Besides Bagor, which other site yielded evidence of animal husbandry during the Mesolithic period, according to the text?",Lahuradeva,Mehrgarh,Adamgarh,Bhimbetka,c
"According to excavated evidence, during which period did animal husbandry begin?",The Neolithic Age,The Chalcolithic Age,The Palaeolithic Age,The Mesolithic Age,d
In which year range were the caves of Bhimbetka discovered?,1967-68,1947-48,1957-58,1977-78,c
"What is the correct chronological order of prehistoric periods, according to the text?","Neolithic Age, Mesolithic Age, Palaeolithic Age","Mesolithic Age, Palaeolithic Age, Neolithic Age","Palaeolithic Age, Neolithic Age, Mesolithic Age","Palaeolithic Age, Mesolithic Age, Neolithic Age",d
"Which site provides the earliest evidence of permanent life, as per the text?",Lahuradeva,Adamgarh,Bagor,Mehrgarh,d
"From which Mesolithic site was evidence of animal husbandry discovered, according to the text?",Lahuradeva,From Adamgarh,From Bagor,Mehrgarh,c
The cultivation of grains first began in which period?,The Paleolithic Age,The Neolithic Age,The Mesolithic Age,The Chalcolithic Age,b
Remains of Neolithic pit-dwellings have been found at which of the following sites?,Sanganakallu and Lekhahia,Burzahom and Damdama,Burzahom and Gufkral,Bhimbetka and Navdatoli,c
The Ash Mound Neolithic site is related to which location?,Damdama,Burzahom,Sanganakallu,Lekhahia,c
"In the Indian subcontinent, the earliest evidence of rice cultivation has been found in which region?",The Deccan Plateau,The Vindhya region,The Gangetic Plain,The Brahmaputra Valley,b
Which of the following was the first grain used by humans?,Rice,Wheat,Barley,Millet,c
The cultivation of cotton for clothes first began in which country?,Egypt,Mesopotamia,India,China,c
Megalithic monuments have been identified as what type of site?,Religious sites,Burial sites for the dead,Residential sites,Agricultural sites,b
From which location have three human skeletons been discovered in a single grave?,Lekhahia,Bhimbetka,Damdama,Navdatoli,c
Which rock shelter in the Vindhya region has yielded the maximum number of human skeletons?,Bhimbetka,Sanganakallu,Navdatoli,Lekhahia,d
Which rock shelter in India is known for having the maximum number of paintings?,Lekhahia,Bhimbetka,Damdama,Sanganakallu,b
At which site have three human skeletons been found in a single grave?,Burzahom,Gufkral,Damdama,Sanganakallu,c
The rock shelter from which the maximum number of paintings have been found is located in which part of India?,Lekhahia,Burzahom,Bhimbetka,Navdatoli,c
Where did the cultivation of cotton for clothes first begin?,Egypt,Mesopotamia,India,China,c
The name 'Ochre-Coloured Pottery' originated from which location?,Atranjikhera,Madhya Pradesh,Hastinapur,Navdatoli,c
At which site in India was the earliest evidence of iron discovered through excavation?,Damdama,Bhimbetka,Navdatoli,Atranjikhera,d
"In the Chalcolithic Age, in which direction were the dead buried by the people of Maharashtra?",East to West,South to North,West to East,North to South,d
"Who established the three-age system of Stone, Bronze, and Iron?",H.D. Sankalia,Robert Bruce Foote,Thomsen,None of these,c
"Robert Bruce Foote, the discoverer of the first Palaeolithic tool in India, was a:",Historian,Botanist,Geologist,Archaeologist,c
The Chalcolithic site of Navdatoli was excavated by:,Robert Bruce Foote,Thomsen,H.D. Sankalia,None of these,c
The caves of Bhimbetka are famous for what?,Iron tools,Burial sites,Clay pots,Rock paintings,d
The archaeological site of Damdama is related to which period?,Chalcolithic Age,Neolithic Age,Mesolithic Age,Palaeolithic Age,c
"Bhimbetka, a famous Palaeolithic site, is located in which state?",Maharashtra,Uttar Pradesh,Madhya Pradesh,None of these,c
In which period were clay pots discovered in ancient Indian history?,Mesolithic Age,Chalcolithic Age,Palaeolithic Age,Neolithic Age,d
The earliest evidence of iron in India was found at which excavated site?,Hastinapur,Navdatoli,Atranjikhera,Damdama,c
H.D. Sankalia excavated which Chalcolithic site?,Atranjikhera,Hastinapur,Navdatoli,Damdama,c
"In the Chalcolithic Age, how did people in Maharashtra bury the dead?",East to West,South to North,North to South,West to East,c
In which state is the archaeological site of Inamgaon located?,Uttar Pradesh,Balochistan,Maharashtra,Punjab,c
What is the Neolithic tool known as?,Hunsagi,Celt,Hathnora,Mahagara,b
Which of the following statements is INCORRECT regarding Dholavira?,It is a Harappan city.,It was divided into three parts.,It is a Palaeolithic site.,It is related to the Indus Valley Civilization.,c
Which archaeological site provides evidence of pit-dwellings?,Lothal,Burzahom,Mehrgarh,Hunsagi,b
What material was exported from the Indus Civilization?,Stone tools,Microliths,Cotton clothes,Neolithic tools,c
The skull of 'Homo erectus' was discovered at which prehistoric Indian site?,Koldihwa,Mehrgarh,Hathnora,Inamgaon,c
Which of the following was a port of the Harappan civilization?,Daderi,Hunsagi,Lothal,Burzahom,c
In which province of Pakistan is Mehrgarh located?,Punjab,Maharashtra,Uttar Pradesh,Balochistan,d
