Question,Option A,Option B,Option C,Option D,Correct Answer
The Sahaswan gharana of Rampur was established by which of the following individuals?,Amanat Ali Khan,Ustad Ghagge Khuda Baksh,Abdul Karim Khan,Ustad Inayat Hussain Khan,d
Ustad Ghagge Khuda Baksh was associated with which gharana?,Benaras gharana,Delhi gharana,Agra gharana,Gwalior gharana,c
Who is credited as the progenitor of the Jaipur-Atrauli gharana?,Ustad Ali Akbar Khan,Ustad Vilayat Khan,Ustad Alladiya Khan,Ustad Mushtaq Ali Khan,c
Who established the Indore gharana?,Tansen,Bhimsen Joshi,Ustad Amir Khan,Ustad Ghagge Khuda Baksh,c
"Kesarbai Kerkar, an Indian classical singer, belonged to which gharana?",Benaras gharana,Agra gharana,Jaipur-Atrauli gharana,Delhi gharana,c
With which Kathak gharana was Pandit Janki Prasad affiliated?,Raigarh,Jaipur,Lucknow,Benaras,d
"Pandit Birju Maharaj was an exponent of the 'Kalka Bindadin' Gharana of Kathak dance, which belongs to which city?",Gwalior,Lucknow,Hyderabad,Agra,b
The Raigarh Gharana is primarily associated with which dance form?,Kathak,Manipuri,Kathakali,Odissi,a
Which of the following represents a cyclic arrangement of time units in Hindustani classical music?,Jati,Raga,Nyasa,Tala,d
"Pandit Bhimsen Joshi, known for Khayal, belonged to which music Gharana?",Benaras,Gwalior,Kirana,Agra,c
"Pandit Jasraj, a classical vocalist, belonged to which musical gharana?",Gwalior Gharana,Patiala Gharana,Mewati Gharana,Dagari Gharana,c
Shambhu Maharaj was a renowned guru of which Gharana of Kathak?,Jaipur,Benaras,Lucknow,Raigarh,c
Gangubai Hangal was primarily associated with which Gharana?,Benaras,Patiala,Kirana,Agra,c
Bhanu Ji is associated with which of the following Gharanas of Kathak?,Raigarh,Lucknow,Benaras,Jaipur,d
Pandit Kishan Maharaj of Benaras Gharana was a player of which instrument?,Santoor,Flute,Sarangi,Tabla,d
Ustad Hauss Khan was one of the founders of which Gharana of music?,Patiala,Rampur,Agra,Gwalior,d
Who is credited as the founder of the Benaras Gharana of Kathak?,Ishwari Prasad,Raja Chakradhar Singh,Shambhu Maharaj,Janki Prasad,d
Who is considered the progenitor of the Jaipur-Atrauli gharana?,Ustad Mushtaq Ali Khan,Ustad Vilayat Khan,Ustad Alladiya Khan,Ustad Ali Akbar Khan,c
The Raigarh Gharana is predominantly associated with which of the following dance forms?,Manipuri,Odissi,Kathakali,Kathak,d
"As an exponent of Khayal, Pandit Bhimsen Joshi was primarily associated with which Gharana?",Agra,Gwalior,Kirana,Benaras,c
Gangubai Hangal primarily belonged to which of the following Gharanas?,Agra,Patiala,Benaras,Kirana,d
"Pandit Janki Prasad was associated with which Gharana of Kathak, differing from the gharana he founded?",Lucknow,Benaras,Jaipur,Raigarh,c
Who laid the foundation of the Benaras Gharana of Kathak?,Raja Chakradhar Singh,Shambhu Maharaj,Janki Prasad,Ishwari Prasad,c
Identify the founder of Benaras Gharana of Kathak from the options below:,Raja Chakradhar Singh,Shambhu Maharaj,Janki Prasad,Ishwari Prasad,c
"Padam, in Carnatic music, is best described as which of the following?",A patriotic poem,A poem about courage,A lullaby,A love poem,d
Ustad Abdul Karim Khan was a renowned exponent of which Hindustani music school?,Jaipur Gharana,Delhi Gharana,Gwalior Gharana,Kirana Gharana,d
How many fundamental talas are recognized in Indian Classical Carnatic music?,37,21,11,7,d
"In Hindustani music, 'Miyan ki Todi' is classified as a:",Tanam,Chhand,Kritan,Raag,d
Which of the following Gharanas was co-founded by Abdul Karim Khan and Abdul Wahid Khan?,Agra,Jaipur-Atrauli,Gwalior,Kirana,d
Bade Fateh Ali Khan and Ali Baksh Jarnail Khan are credited with propounding which Gharana?,Agra Gharana,Gwalior Gharana,Patiala Gharana,Bhendi Bazaar Gharana,c
"Hari Prasad Chaurasia, the renowned Indian flautist, is associated with which music gharana?",Maihar,Rampur-Jaipur,Senia,Prasanna,c
Annapurna Devi established which Gharana with the help of Ustad Baba Allauddin Khan?,Anupam Bhagwat,Maihar-Senia,Roopan Panesar,Sahana Banerjee,b
Vidyavati Akar is a famous classical dancer associated with which Gharana of Indian classical dance?,Banaras,Gwalior,Alwar,Jaipur,d
Which Hindustani musical gharana is considered the oldest among all the Khayal Gayaki styles?,Kirana Gharana,Agra Gharana,Atrauli Gharana,Gwalior Gharana,d
"Faiyaz Khan, Latafat Hussain Khan, and Dinkar Kaikini were important singers of which Gharana?",Benaras,Mewati,Patiala,Agra,d
Malika Jaan of Agra Gharana served as a court musician at the durbar of which Nawab of Calcutta?,Mohammad Ali Shah,Shuja-ud-Daula,Asaf-ud-Daula,Wajid Ali Shah,d
What is the nature of 'Padam' in Carnatic music?,A lullaby,A love poem,A poem about courage,A patriotic poem,b
"In Indian Classical Carnatic music, how many basic talams are recognised?",37,7,21,11,b
Which gharana was jointly founded by Abdul Karim Khan and Abdul Wahid Khan?,Jaipur-Atrauli,Gwalior,Agra,Kirana,d
Who established the Maihar-Senia gharana with the help of Ustad Baba Allauddin Khan?,Anupam Bhagwat,Annapurna Devi,Roopan Panesar,Sahana Banerjee,b
What type of composition is 'Padam' in Carnatic music?,A lullaby,A love poem,A poem about courage,A patriotic poem,b
Miyan ki Todi is a well-known example of what in Hindustani music?,Kirtan,Chhand,Tanam,Raag,d
With which of the following music gharanas is Hari Prasad Chaurasia associated?,Prasanna,Rampur-Jaipur,Senia,Maihar,c
