Question,Option A,Option B,Option C,Option D,Correct Answer
What does a Light Year measure?,Time,Intensity of light,Astronomical distance,Density,c
Which unit is the largest for measuring astronomical distances?,Light Year,Kilometer,Meter,Parsec,d
What is measured in Cusec?,Air pressure,Flow of water,Sound intensity,Earthquake intensity,b
The thickness of the ozone layer is measured in which unit?,Watt,Pascal,Dobson,Cusec,c
Who primarily uses SONAR?,Geologists,Meteorologists,Navigators,Astronomers,c
Which instrument measures the intensity of sound?,Hygrometer,Barometer,Audiometer,Lactometer,c
Which instrument is used to measure high temperatures?,Barometer,Pyrometer,Lactometer,Audiometer,b
Atmospheric pressure is measured by which instrument?,Hygrometer,Pyrometer,Lactometer,Barometer,d
A sudden fall in the barometer reading indicates:,Clear weather,Stormy weather,High humidity,Low temperature,b
The purity of milk is measured using which instrument?,Hygrometer,Barometer,Audiometer,Lactometer,d
Which instrument measures the humidity of the air?,Lactometer,Pyrometer,Hygrometer,Barometer,c
What does the Richter Scale measure?,Air pressure,Sound intensity,Intensity of an earthquake,Purity of milk,c
What is the unit of Power?,Cusec,Dobson,Watt,Parsec,c
Electric Current is measured with which instrument?,Pyrometer,Ammeter,Barometer,Lactometer,b
What is the name of the lie-detecting instrument?,Hygrometer,Audiometer,There is no lie detecting instrument mentioned,Lactometer,c
What is a Light Year a unit of?,Time,Luminous Intensity,Distance,Velocity,c
Which of the following is the largest unit for measuring astronomical distances?,Light Year,Astronomical Unit,Kilometer,Parsec,d
The thickness of the ozone layer in the atmosphere is measured in?,Pascal,Watt,Dobson,Cusec,c
SONAR is primarily used by whom?,Meteorologists,Geologists,Navigators,Astronomers,c
Which instrument is used to measure the intensity of sound?,Hygrometer,Audiometer,Barometer,Lactometer,b
"High temperatures, such as the Sun's heat, are measured using which instrument?",Barometer,Hygrometer,Pyrometer,Ammeter,c
What does a Barometer measure?,Humidity,Atmospheric Pressure,Sound Intensity,Wind Speed,b
A sudden fall in the reading of a Barometer indicates:,Clear Skies,Calm Weather,Stormy Weather,Rising Temperatures,c
Which instrument is used to determine the relative density or purity of milk?,Hygrometer,Pyrometer,Lactometer,Audiometer,c
The humidity of air is measured by which instrument?,Barometer,Lactometer,Hygrometer,Ammeter,c
The Richter Scale is used to measure the:,Depth of the Sea,Intensity of an Earthquake,Purity of Milk,Atmospheric Pressure,b
Which instrument is used to measure Electric Current?,Pyrometer,Audiometer,Ammeter,Barometer,c
What unit measures the thickness of the ozone layer?,Pascal,Decibel,Dobson,Cusec,c
Who uses SONAR?,Meteorologists,Botanists,Navigators,Astronomers,c
What instrument measures atmospheric pressure?,Lactometer,Pyrometer,Barometer,Audiometer,c
Which instrument measures the purity of milk?,Hygrometer,Audiometer,Lactometer,Pyrometer,c
What instrument measures the humidity of the air?,Barometer,Lactometer,Audiometer,Hygrometer,d
The Richter Scale is used to measure the intensity of:,Sound,Earthquake,Wind,Light,b
Which instrument measures Electric Current?,Voltmeter,Ammeter,Ohmmeter,Barometer,b
What is the name of the instrument used for lie detection?,Hygrometer,Lactometer,Lie Detector,The text does not provide the instrument's name,d
