Question,Option A,Option B,Option C,Option D,Correct Answer
"According to the text, when was the 'Introduction to Computers MCQ Quiz' last updated?","Jan 20, 2023","Jan 20, 2025","Jan 20, 2024","Jan 20, 2026",d
"Which of the following BEST describes a computer, according to the text?",A device solely for number processing.,A device used for working with information.,A hardware component only.,A device that operates in multiple programming languages.,b
The first computer network in the world was?,NSFNET,CNNET,ASAPNET,ARPANET,d
When was ARPANET deactivated?,1979,1989,1999,1969,b
In which domains were the primary applications of ARPANET?,Commerce and retail.,Academia and research.,Military and defense.,Entertainment and media.,b
Which network was developed in the 1980s as a successor to ARPANET for academic and research purposes?,CNNET,ASAPNET,NSFNET,The Internet,c
The first mechanical calculator was called?,Orpat,Calculator,Galelio,Pascaline,d
Who invented the Pascaline?,Galelio,Orpat,Blaise Pascal,None of the above,c
Which of the following statements is INCORRECT regarding the Pascaline?,It could add and subtract two numbers directly.,It was a very complex machine for its time.,It was invented by Blaise Pascal.,It was a very reliable machine.,d
"According to the text, a computer works in its:",User's defined language,Programming language only,Multiple languages,Natural language,b
Which of the following statements about ARPANET is NOT correct?,It was the first wide-area packet-switched network.,It was the first open packet-switched computer network.,It was deactivated in 1989.,It was primarily used for commercial purposes.,d
"What are the primary components that constitute a computer system, according to the text?",Monitor and Keyboard,Hardware and Software,CPU and RAM,Input and Output devices,b
Which protocol suite was initially utilized in early packet-switching networks such as ARPANET?,HTTP/HTTPS,TCP/IP,UDP,FTP,b
Which of the following is NOT a described characteristic of the Pascaline?,Invented by Blaise Pascal,Could directly add and subtract numbers,A highly reliable machine for its time,Invented in 1642,c
"Match the following networks with their correct description:

Column I
(A) ARPANET
(B) NSFNET

Column II
(1) Developed later in the 1980s as a successor for academic research
(2) The earliest and foundational network

Choose the correct option:","A-1, B-2","A-2, B-1","A-2, B-2","A-1, B-1",b
When was the last update to the Introduction to Computers MCQ PDF mentioned in the text?,"Jan 20, 2024","Jan 20, 2025","Jan 20, 2027","Jan 20, 2026",d
"According to the text, what protocol suite was first used in early packet-switching networks like ARPANET?",HTTP,TCP/IP,FTP,SMTP,b
"Which of the following was NOT a primary application of ARPANET, as stated in the text?",Academia,Research,Commercial transactions,Both Academia and Research,c
The text mentions several computer-related topics. Which of the following is NOT explicitly listed as part of 'Introduction to Computers'?,Word processor,Spreadsheet,Compiler design,Email,c
"Match the following computer networks with their descriptions, according to the text:

Column I
(A) ARPANET
(B) NSFNET

Column II
(1) Developed later as a successor for academic purposes
(2) The first network created by the internet

Choose the correct option:","A-1, B-2","A-2, B-1","A-2, B-2","A-1, B-1",b
Which programming language was predominantly used in the first generation of computers?,Assembly Language,Higher Level Language,Machine Language,Structured Query Language,c
What technology primarily characterized the circuitry used in first-generation computers?,Transistors,Integrated Circuits,Microprocessors,Vacuum Tubes,d
Which of the following languages requires an assembler for the computer to execute instructions?,Machine Language,Assembly Language,FORTRAN,SQL,b
During which computer generation did high-level programming languages such as FORTRAN and COBOL emerge?,First Generation,Second Generation,Third Generation,Fourth Generation,c
Which computer generation is characterized by the use of microprocessors?,First Generation,Second Generation,Third Generation,Fourth Generation,d
Which of the following languages is specifically designed for managing and querying relational databases?,COBOL,FORTRAN,SQL,Assembly Language,c
"Match the computer generation with its corresponding characteristic technology:

Column I
(1) First Generation
(2) Second Generation
(3) Third Generation
(4) Fourth Generation

Column II
a) Transistors
b) Microprocessors
c) Vacuum Tubes
d) Integrated Circuits

","1-a, 2-b, 3-c, 4-d","1-c, 2-a, 3-d, 4-b","1-d, 2-c, 3-b, 4-a","1-b, 2-d, 3-a, 4-c",b
"Arrange the following computer hardware components in chronological order of their introduction:
(1) Integrated Circuits
(2) Transistors
(3) Vacuum Tubes
(4) Microprocessors","1, 2, 3, 4","3, 2, 1, 4","4, 1, 2, 3","2, 3, 4, 1",b
Who is credited with inventing the computer mouse?,Tim Berners Lee,Douglas Engelbart,Seymour Cray,Charles Babbage,b
What technological advancement characterized the third generation of computers?,Vacuum tubes,Microprocessors,Integrated circuits,Transistors,c
Which of the following languages is associated with the fourth generation of computers?,COBOL,Machine Language,Assembly Language,Structured Query Language (SQL),d
Arrange the following computer generations in chronological order based on their introduction:,"First, Second, Fourth, Third","First, Second, Third, Fourth","Second, First, Third, Fourth","Second, First, Fourth, Third",b
Match the computer generation with the technology it primarily used:,"1st - Transistors, 2nd - Integrated Circuits, 3rd - Vacuum Tubes, 4th - Microprocessors","1st - Integrated Circuits, 2nd - Microprocessors, 3rd - Transistors, 4th - Vacuum Tubes","1st - Vacuum Tubes, 2nd - Transistors, 3rd - Integrated Circuits, 4th - Microprocessors","1st - Microprocessors, 2nd - Vacuum Tubes, 3rd - Transistors, 4th - Integrated Circuits",c
Which of the following statements best describes the use of machine language in first-generation computers?,It required translation by an assembler.,It was easily understood by non-programmers.,It consisted of binary codes directly understood by the computer.,It used mnemonic codes and labels.,c
Which of the following languages requires translation into machine language through an assembler?,Structured Query Language,Machine Language,Assembly Language,Higher Level Language,c
Which generation of computers saw the emergence of high-level programming languages like FORTRAN and COBOL?,Second Generation,Fourth Generation,First Generation,Third Generation,d
"Match the computer generation with its defining characteristic:
Column I
(1) First Generation
(2) Second Generation
(3) Third Generation
(4) Fourth Generation

Column II
a) Transistors
b) Integrated Circuits
c) Machine Language
d) Microprocessors

Choose the correct sequence:","1-a, 2-b, 3-c, 4-d","1-c, 2-a, 3-b, 4-d","1-d, 2-c, 3-a, 4-b","1-b, 2-d, 3-c, 4-a",b
Which language is commonly used for managing and querying relational databases in fourth-generation computers?,COBOL,FORTRAN,SQL,C,c
Which language was primarily used for programming first-generation computers?,Assembly Language,Higher Level Language,Machine Language,Structured Query Language,c
Which of the following technologies was characteristic of second-generation computers?,Vacuum Tubes,Integrated Circuits,Microprocessors,Transistors,d
Which generation of computers is associated with the development of SQL?,First Generation,Second Generation,Third Generation,Fourth Generation,d
"Arrange the following computer generations in chronological order:
(1) Second Generation
(2) Fourth Generation
(3) First Generation
(4) Third Generation","3, 1, 4, 2","1, 3, 2, 4","4, 2, 1, 3","2, 4, 3, 1",a
The use of mnemonic codes and labels to represent machine-level instructions is a feature of which language?,Machine language,Assembly language,FORTRAN,SQL,b
