Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topics,Points
"Who is the current Registrar General and Census Commissioner of India (as of October 26, 2023)?",Vivek Joshi,Mrityunjay Kumar Narayan,Tapan Kumar Ghosh,Dr. C. Chandramouli,b,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which state had the highest population according to the Census 2011?,Maharashtra,Bihar,West Bengal,Uttar Pradesh,d,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which Union Territory had the lowest population according to the Census 2011?,Lakshadweep,Daman and Diu,Andaman and Nicobar Islands,Dadra and Nagar Haveli,a,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
What is the age group considered as 'child population' in Indian Census data?,0-10 years,0-5 years,0-14 years,0-6 years,d,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which state has the highest child population (0-6 age group) according to the Census 2011?,Maharashtra,Bihar,Rajasthan,Uttar Pradesh,d,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which state has the lowest child population (0-6 age group) according to the Census 2011?,Sikkim,Goa,Mizoram,Arunachal Pradesh,a,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which is the most spoken language in India according to Census 2011?,Bengali,Telugu,Hindi,Marathi,c,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which language has the second highest number of speakers in India according to Census 2011?,Marathi,Bengali,Telugu,Tamil,b,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which organization is responsible for conducting the Census in India?,National Sample Survey Office (NSSO),Reserve Bank of India (RBI),Registrar General of India,Ministry of Statistics and Programme Implementation,c,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
What type of data is collected through household listings in the Census?,Employment details,Housing conditions and amenities,Migration history,Land ownership,b,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
