Question,Option A,Option B,Option C,Option D,Correct Answer
What does a Light Year measure?,Time,Intensity of light,Astronomical distance,Density,c
Which unit is the largest for measuring astronomical distances?,Light Year,Kilometer,Meter,Parsec,d
What is measured in Cusec?,Air pressure,Flow of water,Sound intensity,Earthquake intensity,b
The thickness of the ozone layer is measured in which unit?,Watt,Pascal,Dobson,Cusec,c
Who primarily uses SONAR?,Geologists,Meteorologists,Navigators,Astronomers,c
Which instrument measures the intensity of sound?,Hygrometer,Barometer,Audiometer,Lactometer,c
Which instrument is used to measure high temperatures?,Barometer,Pyrometer,Lactometer,Audiometer,b
Atmospheric pressure is measured by which instrument?,Hygrometer,Pyrometer,Lactometer,Barometer,d
A sudden fall in the barometer reading indicates:,Clear weather,Stormy weather,High humidity,Low temperature,b
The purity of milk is measured using which instrument?,Hygrometer,Barometer,Audiometer,Lactometer,d
Which instrument measures the humidity of the air?,Lactometer,Pyrometer,Hygrometer,Barometer,c
What does the Richter Scale measure?,Air pressure,Sound intensity,Intensity of an earthquake,Purity of milk,c
What is the unit of Power?,Cusec,Dobson,Watt,Parsec,c
Electric Current is measured with which instrument?,Pyrometer,Ammeter,Barometer,Lactometer,b
What is the name of the lie-detecting instrument?,Hygrometer,Audiometer,There is no lie detecting instrument mentioned,Lactometer,c
What is a Light Year a unit of?,Time,Luminous Intensity,Distance,Velocity,c
The thickness of the ozone layer in the atmosphere is measured in?,Pascal,Watt,Dobson,Cusec,c
SONAR is primarily used by whom?,Meteorologists,Geologists,Navigators,Astronomers,c
"High temperatures, such as the Sun's heat, are measured using which instrument?",Barometer,Hygrometer,Pyrometer,Ammeter,c
What does a Barometer measure?,Humidity,Atmospheric Pressure,Sound Intensity,Wind Speed,b
Which instrument is used to determine the relative density or purity of milk?,Hygrometer,Pyrometer,Lactometer,Audiometer,c
The Richter Scale is used to measure the:,Depth of the Sea,Intensity of an Earthquake,Purity of Milk,Atmospheric Pressure,b
What unit measures the thickness of the ozone layer?,Pascal,Decibel,Dobson,Cusec,c
What instrument measures atmospheric pressure?,Lactometer,Pyrometer,Barometer,Audiometer,c
Which instrument measures Electric Current?,Voltmeter,Ammeter,Ohmmeter,Barometer,b
What is the name of the instrument used for lie detection?,Hygrometer,Lactometer,Lie Detector,The text does not provide the instrument's name,d
By whom is SONAR typically used?,Meteorologists,Navigators,Doctors,Geologists,b
Which instrument is used to measure blood pressure?,Polygraph,Sphygmomanometer,Thermometer,Barometer,b
Newton's First Law is also known as which of the following?,Law of Gravitation,Law of Thermodynamics,Law of Inertia,Law of Conservation,c
Washing machines and cream separators operate based on which principle?,Centripetal Force,Gravitational Force,Centrifugal Force,Surface Tension,c
Why is it more difficult to walk on ice compared to a road?,Ice has more friction,Ice has less friction,Road has more inertia,Road has less inertia,b
Passengers lean backwards when a train starts moving due to which phenomenon?,Kinetic Energy,Potential Energy,Inertia of Motion,Inertia of Rest,d
Which type of energy is primarily present in winds?,Potential Energy,Kinetic Energy,Thermal Energy,Electrical Energy,b
Who is credited with propounding the Universal Law of Gravitation?,Archimedes,Einstein,Newton,Galileo,c
