Question,Option A,Option B,Option C,Option D,Correct Answer
In which year was the first census conducted in India?,1881,1872,1861,1891,b
Where was the first post office in India established by the British East India Company?,Madras,Calcutta,Delhi,Bombay (now Mumbai),d
The historic 'Victoria Park' is now renamed as what?,Gandhi Park,Nehru Park,Jung-e-Azadi Park,Azad Hind Park,c
Who was the chief architect and designer of New Delhi?,Herbert Baker,Edwin Lutyens,Robert Clive,Warren Hastings,b
Who built the Bara Imambara in Lucknow?,Saadat Ali Khan,Shuja-ud-Daula,Asaf-ud-Daula,Wajid Ali Shah,c
The first clear expression of nationalism came with which event?,Indian Mutiny of 1857,American Revolution,French Revolution,Russian Revolution,c
K.M. Munshi founded which organization?,Hindu Mahasabha,Rashtriya Swayamsevak Sangh,Bharatiya Vidya Bhavan,Arya Samaj,c
In which state was the Mahad Satyagraha started by Dr. B. R. Ambedkar?,Gujarat,Maharashtra,Madhya Pradesh,Karnataka,b
The Palli movement is related to which state?,Kerala,Andhra Pradesh,Tamil Nadu,Karnataka,c
"Who attempted to assassinate Charles Tegart, the Police Commissioner of Calcutta?",Bhagat Singh,Gopinath Saha,Khudiram Bose,Suryasen,b
"Match the following proposals with their respective years:

   I. August Proposal          A. 1945
   II. Cripps Proposal         B. 1940
   III. CR Formula            C. 1942
   IV. Wavell Plan             D. 1944","I-B, II-C, III-D, IV-A","I-C, II-B, III-A, IV-D","I-A, II-D, III-C, IV-B","I-D, II-A, III-B, IV-C",a
Since which year has the Amar Jawan Jyoti been burning continuously at India Gate?,1965,1962,1971,1947,c
Which country has the longest written constitution in the world?,United States of America,United Kingdom,India,Australia,c
Who was known as the 'extremist leader' during India's freedom movement?,Mahatma Gandhi,Jawaharlal Nehru,Bal Gangadhar Tilak,Sardar Vallabhbhai Patel,c
The Gateway of India was built to commemorate the arrival of which British monarchs?,Queen Victoria and Prince Albert,King Edward VII and Queen Alexandra,King George V and Queen Mary,King George VI and Queen Elizabeth,c
In which architectural style was the Gateway of India built?,Gothic,Indo-Saracenic,Roman,Greek,b
Who designed the India Gate in Delhi?,Herbert Baker,Edwin Lutyens,Robert Chisholm,William Emerson,b
In which city was British India primarily located between 1773-1911?,Delhi,Bombay,Madras,Calcutta,d
Which of the following statements is INCORRECT regarding the Amar Jawan Jyoti?,It burns near India Gate.,It commemorates soldiers martyred during the war.,It was established in 1971.,It commemorates soldiers martyred during the First World War.,d
"In which city is the 'Jung-e-Azadi Park', formerly known as 'Victoria Park', located?",Lucknow,Meerut,Agra,Kanpur,b
The Amar Jawan Jyoti burns near India Gate in memory of soldiers martyred during the war in 1971 with which country?,Pakistan,China,Bangladesh,Pak-China,a
Which of the following statements is INCORRECT regarding Nathuram Godse's brothers?,Dattatreya was a brother of Nathuram Godse.,Govind was a brother of Nathuram Godse.,Gopal was a brother of Nathuram Godse.,None of the brothers were members of the RSS.,d
The residence of Lala Lajpat Rai is in which region?,Bengal,Punjab,Bihar,Bombay,b
What was the capital of British India between 1773-1911?,Delhi,Bombay,Madras,Calcutta,d
Which of the following statements is INCORRECT regarding the Gateway of India?,It was built in 1911.,It was built to commemorate the visit of King George V and Queen Mary.,It is located in Calcutta.,It was built in the Indo-Saracenic style.,c
Name one of the brothers of Nathuram Godse who were members of the RSS.,Vinayak,Narayan,Dattatreya,Madhav,c
Who built the Gateway of India to commemorate the arrival of Queen Mary?,Lord Curzon,King George V,Queen Victoria,Lord Irwin,b
During which period was Calcutta the capital of British India?,1857-1947,1600-1757,1773-1911,1911-1947,c
Who was the architect who designed the Gateway of India in Mumbai?,Sir Herbert Baker,Sir Edwin Lutyens,George Wittet,Major James Rennell,c
In which year was New Delhi officially made the capital of India?,1927,1888,1944,1911,d
The Gateway of India was built to commemorate the visit of which royal figures?,Queen Victoria and Prince Albert,King George VI and Queen Elizabeth,King Edward VII and Queen Alexandra,King George V and Queen Mary,d
"Which building in Kolkata is a replica of the Taj Mahal, constructed by the British?",Fort William,Parliament House,Victoria Memorial,Chhatrapati Shivaji Terminus,c
"In which Indian city can the Zero Mile Stone, featuring a pillar with four sandstone horses, be found?",New Delhi,Kolkata,Mumbai,Nagpur,d
