Question,Option A,Option B,Option C,Option D,Correct Answer,Points
What is Uttar Pradesh's position in India with respect to population?,Second,Third,Fourth,First,d,1
"According to the 2011 census, what was the approximate population of Uttar Pradesh?","20,98,12,341","18,98,12,341","19,98,12,341","21,98,12,341",c,1
What is Uttar Pradesh's rank in India concerning its area?,Third,Second,First,Fourth,d,1
Which of the following states is NOT among the top five largest states in India by area?,Rajasthan,Madhya Pradesh,Maharashtra,Bihar,d,1
Approximately what percentage of India's total area is covered by Uttar Pradesh?,8.33%,6.33%,9.33%,7.33%,d,1
Which city serves as the administrative and legislative capital of Uttar Pradesh?,Prayagraj,Kanpur,Lucknow,Varanasi,c,1
What is the judicial capital of Uttar Pradesh?,Lucknow,Kanpur,Prayagraj,Varanasi,c,1
What is the latitudinal extent of Uttar Pradesh?,22°52' to 32°28' North Latitude,23°52' to 31°28' North Latitude,24°52' to 30°28' North Latitude,25°52' to 29°28' North Latitude,b,1
What is the approximate east-west length of Uttar Pradesh?,550 kilometers,750 kilometers,650 kilometers,850 kilometers,c,1
What is the difference between the east-west and north-south lengths of Uttar Pradesh?,310 kilometers,510 kilometers,410 kilometers,610 kilometers,c,1
Which district is located at the easternmost point of Uttar Pradesh?,Saharanpur,Sonbhadra,Shamli,Ballia,d,1
Which district is situated at the westernmost boundary of Uttar Pradesh?,Saharanpur,Sonbhadra,Shamli,Ballia,c,1
Identify the northernmost district of Uttar Pradesh.,Saharanpur,Sonbhadra,Shamli,Ballia,a,1
Which district marks the southernmost point of Uttar Pradesh?,Saharanpur,Sonbhadra,Shamli,Ballia,b,1
Which district in Uttar Pradesh has the largest area?,Hapur,Lakhimpur Kheri,Sonbhadra,Saharanpur,b,1
What is the smallest district in Uttar Pradesh by area?,Lakhimpur Kheri,Sonbhadra,Hapur,Saharanpur,c,1
"From 1902, what was the name of Uttar Pradesh?",United Province,Uttar Pradesh,United Provinces of Agra and Awadh,Aryavart,c,1
What was Uttar Pradesh called from 1937?,Uttar Pradesh,United Provinces,Aryavart,Northern Province,b,1
On what date did Uttar Pradesh officially receive the name 'Uttar Pradesh'?,25-Jan-50,23-Jan-50,24-Jan-50,26-Jan-50,c,1
Which of the following statements is INCORRECT regarding the area of Uttar Pradesh districts?,Lakhimpur Kheri is the largest district.,Hapur is the smallest district.,Lakhimpur Kheri has an area of 7680 km².,Hapur has an area of 7680 km².,d,1
"Arrange the following names of Uttar Pradesh in chronological order:
1. United Provinces
2. Uttar Pradesh
3. United Provinces of Agra and Oudh",3/1/2002,2/1/2003,1/2/2003,3/2/2001,a,1
Which of the following is the correct descending order of the top five states of India in terms of area?,"Rajasthan, Maharashtra, Madhya Pradesh, Uttar Pradesh, Gujarat","Madhya Pradesh, Rajasthan, Maharashtra, Uttar Pradesh, Gujarat","Rajasthan, Madhya Pradesh, Maharashtra, Gujarat, Uttar Pradesh","Rajasthan, Madhya Pradesh, Maharashtra, Uttar Pradesh, Gujarat",d,1
"Arrange the following states in descending order of area: (1) Uttar Pradesh, (2) Maharashtra, (3) Rajasthan, (4) Madhya Pradesh.","3, 4, 2, 1","4, 3, 1, 2","2, 1, 4, 3","1, 2, 3, 4",a,1
Match the following: (A) 1902 (B) 1937 with (1) United Provinces (2) United Provinces of Agra and Oudh.,"A-1, B-2","A-2, B-1","A-1, B-1","A-2, B-2",b,1
What was the name of Uttar Pradesh before independence?,United Kingdom,United States,United Provinces,Uttaranchal,c,1
Until when was Agra the capital of Uttar Pradesh?,From 1858,From 1921,From 1836,From 1935,c,1
From which year did Prayagraj become the capital of Uttar Pradesh?,1836,1921,1858,1935,c,1
In which year was Lucknow made the capital of Uttar Pradesh completely?,1921,1858,1935,1836,c,1
When was the first Uttar Pradesh Day announced?,2018,2016,2017,2019,c,1
"On whose suggestion was Uttar Pradesh Day celebrated for the first time on January 24, 2018?",Chief Minister,Prime Minister,Governor Ram Naik,President,c,1
In which year was the state of Uttar Pradesh reorganized?,9-Nov-00,1-Nov-56,24-Jan-18,1989,b,1
In which year was Hindi given the status of the official language in Uttar Pradesh?,1968,1989,1956,1949,d,1
From when was Hindi made compulsory in offices in Uttar Pradesh?,Since 1949,Since 1956,Since 1968,Since 1989,c,1
When was Uttaranchal (present-day Uttarakhand) created by dividing Uttar Pradesh?,1-Nov-56,24-Jan-18,9-Nov-00,1989,c,1
What is the total number of divisions in Uttar Pradesh?,75,17,4,18,d,1
Which is the newest division of Uttar Pradesh?,Lucknow,Prayagraj,Aligarh,Shahjahanpur,c,1
What is the total number of municipal corporations in Uttar Pradesh?,75,18,17,351,c,1
Which is the 17th municipal corporation of Uttar Pradesh?,Aligarh,Lucknow,Prayagraj,Shahjahanpur,d,1
What is the total number of village panchayats in Uttar Pradesh?,351,17,75,58189,d,1
What is the total number of economic zones in Uttar Pradesh?,17,4,18,75,b,1
What is the state animal of Uttar Pradesh?,Sarus Crane,Flame of the Forest,Ashoka,Swamp Deer (Rucervus duvauceli),d,1
Arrange the following cities in chronological order based on when they became the capital of Uttar Pradesh: 1. Lucknow (Completely) 2. Agra 3. Prayagraj 4. Lucknow (Partially),"2, 3, 4, 1","3, 2, 1, 4","1, 2, 3, 4","4, 3, 2, 1",a,1
"Match the following: A. State Animal, B. State Bird, C. State Tree, D. State Flower with 1. Sarus Crane (Grus antigone), 2. Flame of the Forest (Butea monosperma), 3. Ashoka (Saraca asoca), 4. Swamp Deer (Rucervus duvauceli).","A-4, B-1, C-3, D-2","A-1, B-2, C-3, D-4","A-2, B-3, C-4, D-1","A-3, B-4, C-1, D-2",a,1
Uttar Pradesh shares its longest border with which state?,Bihar,Rajasthan,Madhya Pradesh,Uttarakhand,c,1
Which country shares an international border with Uttar Pradesh?,Bhutan,China,Myanmar,Nepal,d,1
How many states border Sonbhadra district of Uttar Pradesh?,2,3,4,5,c,1
Which of the following Uttar Pradesh districts does NOT border Nepal?,Bahraich,Shravasti,Pilibhit,Agra,d,1
Which of these districts of Uttar Pradesh is surrounded on three sides by Madhya Pradesh?,Jhansi,Lalitpur,Mahoba,Chitrakoot,b,1
Who was the first Governor of Uttar Pradesh?,Vijayalakshmi Pandit,Sarojini Naidu,Sucheta Kripalani,Anandiben Patel,b,1
Who was the first Chief Minister of Uttar Pradesh?,Chaudhary Charan Singh,Sampurnanand,Pandit Govind Vallabh Pant,Kamlapati Tripathi,c,1
When was President's rule imposed for the first time in Uttar Pradesh?,"February 25, 1968 to February 2, 1969","March 8, 1970 to October 18, 1970","January 19, 1975 to January 21, 1976","February 17, 1980 to June 9, 1980",a,1
Which state shares the shortest border with Uttar Pradesh?,Bihar,Jharkhand,Himachal Pradesh,Rajasthan,c,1
Which of the following statements is INCORRECT regarding the districts bordering Delhi (Union Territory)?,Ghaziabad borders Delhi,Gautam Buddh Nagar borders Delhi,Baghpat borders Delhi,Meerut borders Delhi,d,1
How many states and union territories border Uttar Pradesh?,7,8,9,10,c,1
How many districts of Uttar Pradesh share a border with Nepal?,5,6,7,8,c,1
How many states border Saharanpur district?,1,2,3,4,c,1
Which of the following districts of Uttar Pradesh border Delhi (Union Territory)?,"Ghaziabad, Gautam Buddh Nagar and Meerut","Ghaziabad, Gautam Buddh Nagar and Baghpat","Ghaziabad, Hapur and Baghpat","Gautam Buddh Nagar, Baghpat and Aligarh",b,1
Who holds the distinction of being the youngest Chief Minister of Uttar Pradesh?,Yogi Adityanath,Vishwanath Pratap Singh,Akhilesh Yadav,Chaudhary Charan Singh,c,1
Who served as Chief Minister of Uttar Pradesh for the maximum number of terms?,Akhilesh Yadav,Ms. Mayawati,Yogi Adityanath,Vishwanath Pratap Singh,b,1
Which of the following Chief Ministers of Uttar Pradesh also served as Prime Minister of India?,Akhilesh Yadav,Yogi Adityanath,Chaudhary Charan Singh and Vishwanath Pratap Singh,Ms. Mayawati,c,1
Who was the inaugural Speaker of the Legislative Assembly of Uttar Pradesh?,Satish Mahana,Atmaram Govind Kher,Kesari Nath Tripathi,Rajarshi Purushottam Das Tandon,d,1
Who held the position of Speaker of the Legislative Assembly of Uttar Pradesh for the most terms?,Satish Mahana,Rajarshi Purushottam Das Tandon,Atmaram Govind Kher and Kesari Nath Tripathi,Chandrabhaal,c,1
Who is the current Speaker of the 18th Legislative Assembly of Uttar Pradesh?,Atmaram Govind Kher,Kesari Nath Tripathi,Rajarshi Purushottam Das Tandon,Satish Mahana,d,1
Who was the first Lokayukta of Uttar Pradesh?,Chandrabhaal,Satish Mahana,Justice Vishambar Dayal,Rajarshi Purushottam Das Tandon,c,1
