Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topics,Points
"Consider the following statements regarding the Mauryan administration:
1.  The Mauryan empire was divided into provinces, each under a royal prince or a governor.
2.  'Samaharta' was the officer in charge of assessment and collection of revenue.
3.  'Sannidhata' was the chief treasury officer of the empire.

Which of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2, and 3",d,Ancient History,Mauryan Empire,1
Which of the following Mauryan rulers is believed to have embraced Jainism towards the end of his reign and abdicated the throne?,Bindusara,Chandragupta Maurya,Ashoka,Dasharatha,b,Ancient History,Mauryan Empire,1
"Match List I (Mauryan Officer) with List II (Responsibilities) and select the correct answer using the code given below:

List I
(a) Pulisani
(b) Prativedakas
(c) Sitadhyaksha
(d) Akaradhyaksha

List II
1. Superintendent of Mines
2. Superintendent of Agriculture
3. City Officials
4. Reporters
","a-3, b-4, c-2, d-1","a-4, b-3, c-1, d-2","a-2, b-1, c-4, d-3","a-1, b-2, c-3, d-4",a,Ancient History,Mauryan Empire,1
"Assertion (A): Ashoka's policy of Dhamma propagated social and ethical conduct.
Reason (R): The Dhamma aimed at creating a harmonious society based on tolerance and mutual respect.

In the context of the above statements, which of the following is correct?","Both A and R are true, and R is the correct explanation of A.","Both A and R are true, but R is NOT the correct explanation of A.","A is true, but R is false.","A is false, but R is true.",a,Ancient History,Mauryan Empire,1
"The term 'Sandrokottos', used by Greek writers to refer to an Indian ruler, is generally identified with which of the following?",Bindusara,Chandragupta Maurya,Ashoka,Kanishka,b,Ancient History,Mauryan Empire,1
Which of the following edicts of Ashoka provides information about the Kalinga War?,Minor Rock Edict I,Major Rock Edict XIII,Queen's Edict,Bhabru Edict,b,Ancient History,Mauryan Empire,1
"Arrange the following Mauryan rulers in chronological order:
1. Brihadratha
2. Ashoka
3. Bindusara
4. Chandragupta Maurya","4, 3, 2, 1","3, 4, 2, 1","2, 3, 4, 1","1, 2, 3, 4",a,Ancient History,Mauryan Empire,1
"According to Megasthenes, Indian society during the Mauryan period was divided into how many classes?",Four,Five,Six,Seven,d,Ancient History,Mauryan Empire,1
"Which of the following sources provides detailed information about Mauryan urban administration, particularly that of Pataliputra?",Arthashastra,Indica,Ashokan Edicts,Mahavamsa,b,Ancient History,Mauryan Empire,1
The Mauryan dynasty was overthrown by:,Pushyamitra Sunga,Kharavela,Vasudeva Kanva,Simuka,a,Ancient History,Mauryan Empire,1
