Question,Option A,Option B,Option C,Option D,Correct Answer
"According to the text, which period is considered the 'Gandhi Era' within the Indian National Movement?",1905-1947,1915-1947,1885-1915,1920-1940,b
The establishment of the Indian National Congress took place in which year?,1906,1907,1885,1916,c
Which of the following events is associated with Lord Curzon?,Doctrine of Lapse,Subsidiary Alliance,Partition of Bengal,Abolition of Sati practice,c
The Surat Split occurred in which year?,1905,1916,1907,1906,c
Which of the following is NOT directly mentioned as a movement within the 'Gandhi Era'?,Civil Disobedience Movement,Khilafat Movement,Swadeshi Movement,Non-Cooperation Movement,c
"Match the following Socio-Religious Reform Movements with their respective founders:

I. Brahmo Samaj
II. Arya Samaj
III. Ramakrishna Mission

a. Swami Vivekananda
b. Dayanand Saraswati
c. Raja Rammohan Roy

Choose the correct sequence:","I-a, II-b, III-c","I-b, II-c, III-a","I-c, II-b, III-a","I-c, II-a, III-b",c
Who advocated the 'Return to the Vedas'?,Raja Rammohan Roy,Swami Vivekananda,Dayanand Saraswati,Jyotiba Phule,c
Which of the following events is associated with Lord William Bentinck?,The Revolution of 1857,Doctrine of Lapse,Abolition of Sati practice,Subsidiary Alliance,c
Which of the following pairs is INCORRECTLY matched?,Lord Dalhousie - Railways,Lord Wellesley - Subsidiary Alliance,Lord Mountbatten - Partition and independence of India,Lord Curzon - Revolution of 1857,d
Which of the following events happened latest in chronological order?,Partition of Bengal,Formation of Muslim League,Establishment of Congress,Lucknow Pact,d
The Gandhi Era within the Indian National Movement primarily spans which period?,1905-1925,1915-1947,1885-1915,1930-1947,b
The Kakori incident is associated with which category of activities during the Indian independence movement?,Moderate Phase,Extremist Phase,Revolutionary Activities,Gandhi Era,c
Which of the following is NOT associated with the Gandhi Era?,Khilafat Movement,Non-cooperation Movement,Swadeshi Movement,Quit India Movement,c
"Match the following Socio-Religious Reformers with their associated organizations:

Column I
(A) Raja Rammohan Roy
(B) Dayanand Saraswati

Column II
(1) Arya Samaj
(2) Brahmo Samaj

Choose the correct option:","A-1, B-2","A-2, B-1","A-1, B-1","A-2, B-2",b
Who advocated 'Return to the Vedas'?,Swami Vivekananda,Jyotiba Phule,Dayanand Saraswati,Raja Rammohan Roy,c
During whose tenure as Viceroy did the Revolution of 1857 occur?,Lord Dalhousie,Lord William Bentinck,Lord Canning,Lord Curzon,c
Which of the following is associated with Lord William Bentinck?,Doctrine of Lapse,Partition of India,Abolition of Sati practice,Subsidiary Alliance,c
"Arrange the following events in chronological order:
(1) Surat Split
(2) Establishment of Congress
(3) Partition of Bengal
(4) Formation of Muslim League","2, 3, 4, 1","2, 4, 3, 1","2, 3, 1, 4","4, 3, 2, 1",a
"The Indian National Movement, according to the text, primarily spans which period?",1905-1947,1857-1947,1885-1947,1915-1947,c
Which of the following movements is NOT specifically mentioned as part of the Gandhi Era in the text?,Khilafat movement,Civil Disobedience Movement,Home Rule League Movement,Quit India Movement,c
The Partition of Bengal is associated with which year?,1916,1907,1906,1905,d
Which of the following is INCORRECTLY paired?,Lord Curzon - Partition of Bengal,Lord Dalhousie - Doctrine of Lapse,Lord Wellesley - Subsidiary Alliance,Lord Canning - Abolition of Sati practice,d
The Lucknow Pact took place in which year?,1906,1907,1916,1905,c
Which reform is associated with Ishwar Chandra Vidyasagar?,Abolition of Sati,Return to the Vedas,Widow Remarriage,Brahmo Samaj,c
Who is associated with the slogan 'Return to the Vedas'?,Swami Vivekananda,Raja Rammohan Roy,Dayanand Saraswati,Jyotiba Phule,c
"Match the following organizations with their founders:
I. Brahmo Samaj 
II. Arya Samaj
III. Ramakrishna Mission
IV. Satyashodhak Samaj

A. Swami Vivekananda
B. Raja Rammohan Roy
C. Dayanand Saraswati
D. Jyotiba Phule","I-A, II-B, III-C, IV-D","I-B, II-C, III-A, IV-D","I-C, II-D, III-B, IV-A","I-D, II-A, III-C, IV-B",b
Which Governor-General/Viceroy is associated with the introduction of Railways?,Lord Curzon,Lord William Bentinck,Lord Dalhousie,Lord Wellesley,c
Which incident took place during the tenure of Lord Canning?,Partition of Bengal,Abolition of Sati practice,The Revolution of 1857,Partition and independence of India,c
Who founded the Satyashodhak Samaj?,Ishwar Chandra Vidyasagar,Swami Vivekananda,Jyotiba Phule,Dayanand Saraswati,c
The Swadeshi movement was directly associated with which event?,Formation of the Muslim League,Establishment of Congress,Partition of Bengal,Surat Split,c
In which year did the Quit India Movement take place?,1930,1940,1942,1945,c
Which of the following events occurred in 1906?,Partition of Bengal,Surat Split,Lucknow Pact,Formation of Muslim League,d
Which of the following is INCORRECTLY matched regarding Socio-Religious Reform Movements?,Raja Rammohan Roy - Brahmo Samaj,Dayanand Saraswati - Arya Samaj,Swami Vivekananda - Ramakrishna Mission,Jyotiba Phule - Widow Remarriage,d
Which Viceroy is associated with the Doctrine of Lapse?,Lord Curzon,Lord Dalhousie,Lord Wellesley,Lord Canning,b
