Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topics,Points
What is the scientific name of the Indian cow?,Bos taurus,Bubalus bubalis,Bos indicus,Capra aegagrus hircus,c,Agriculture,"Indian soils facts, animal husbandry India, irrigiation system indian, natural vegetation india, slash burn farming india facts, indian forest facts state wise forest, research institiutes related to agriculture and forest acts",1
Which state is the largest producer of milk in India?,Punjab,Haryana,Uttar Pradesh,Rajasthan,c,Agriculture,"Indian soils facts, animal husbandry India, irrigiation system indian, natural vegetation india, slash burn farming india facts, indian forest facts state wise forest, research institiutes related to agriculture and forest acts",1
What is the name of the operation launched to increase milk production in India?,Green Revolution,White Revolution,Blue Revolution,Yellow Revolution,b,Agriculture,"Indian soils facts, animal husbandry India, irrigiation system indian, natural vegetation india, slash burn farming india facts, indian forest facts state wise forest, research institiutes related to agriculture and forest acts",1
What is the Central Arid Zone Research Institute (CAZRI) located?,New Delhi,Jodhpur,Hyderabad,Dehradun,b,Agriculture,"Indian soils facts, animal husbandry India, irrigiation system indian, natural vegetation india, slash burn farming india facts, indian forest facts state wise forest, research institiutes related to agriculture and forest acts",1
Which soil is best suited for cotton cultivation?,Red soil,Laterite soil,Black soil,Alluvial soil,c,Agriculture,"Indian soils facts, animal husbandry India, irrigiation system indian, natural vegetation india, slash burn farming india facts, indian forest facts state wise forest, research institiutes related to agriculture and forest acts",1
Which state is known as the 'Sugar Bowl of India'?,Maharashtra,Uttar Pradesh,Karnataka,Tamil Nadu,b,Agriculture,"Indian soils facts, animal husbandry India, irrigiation system indian, natural vegetation india, slash burn farming india facts, indian forest facts state wise forest, research institiutes related to agriculture and forest acts",1
What is the Forest Conservation Act of India enacted?,1972,1986,1980,1992,c,Agriculture,"Indian soils facts, animal husbandry India, irrigiation system indian, natural vegetation india, slash burn farming india facts, indian forest facts state wise forest, research institiutes related to agriculture and forest acts",1
Which of the following is a Rabi crop?,Rice,Maize,Wheat,Cotton,c,Agriculture,"Indian soils facts, animal husbandry India, irrigiation system indian, natural vegetation india, slash burn farming india facts, indian forest facts state wise forest, research institiutes related to agriculture and forest acts",1
What is the Indira Gandhi Canal primarily used for?,Power generation,Irrigation,Navigation,Flood control,b,Agriculture,"Indian soils facts, animal husbandry India, irrigiation system indian, natural vegetation india, slash burn farming india facts, indian forest facts state wise forest, research institiutes related to agriculture and forest acts",1
Which state has the largest area under forest cover in India?,Chhattisgarh,Madhya Pradesh,Arunachal Pradesh,Odisha,b,Agriculture,"Indian soils facts, animal husbandry India, irrigiation system indian, natural vegetation india, slash burn farming india facts, indian forest facts state wise forest, research institiutes related to agriculture and forest acts",1
What is the scientific name of rice?,Triticum aestivum,Oryza sativa,Zea mays,Cicer arietinum,b,Agriculture,"Indian soils facts, animal husbandry India, irrigiation system indian, natural vegetation india, slash burn farming india facts, indian forest facts state wise forest, research institiutes related to agriculture and forest acts",1
Where is the Indian Institute of Sugarcane Research located?,Karnal,Lucknow,Coimbatore,New Delhi,b,Agriculture,"Indian soils facts, animal husbandry India, irrigiation system indian, natural vegetation india, slash burn farming india facts, indian forest facts state wise forest, research institiutes related to agriculture and forest acts",1
What type of forest is characterized by trees that shed their leaves seasonally?,Evergreen forest,Deciduous forest,Mangrove forest,Montane forest,b,Agriculture,"Indian soils facts, animal husbandry India, irrigiation system indian, natural vegetation india, slash burn farming india facts, indian forest facts state wise forest, research institiutes related to agriculture and forest acts",1
