Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Points
Which Mughal emperor's reign is often referred to as a 'period of artistic brilliance' due to the flourishing of painting?,Shah Jahan,Akbar,Jahangir,Aurangzeb,c,History of India,1
"The Sayyid dynasty, which ruled the Delhi Sultanate, primarily owed its rise to power following the weakening of which prior dynasty?",The Tughlaq dynasty,The Khilji dynasty,The Slave dynasty,The Lodi dynasty,a,History of India,1
"The 'Secret Empire', a term used in some historical contexts, most accurately refers to a network of influence and control exerted by whom?",The East India Company,The Mughal court factions during the decline,The Portuguese traders,The Maratha Confederacy,b,History of India,1
Which Maurya ruler's conversion to Buddhism significantly impacted the empire's administrative and social policies?,Bindusara,Chandragupta Maurya,Ashoka,Brihadratha,c,History of India,1
Jahangir's 'Chain of Justice' aimed to provide direct access to the Emperor for which purpose?,Military recruitment,Tax collection,Seeking redressal of grievances,Promoting trade,c,History of India,1
"The decline of the Maurya Empire can be attributed, in part, to the economic strain caused by which factor?",Extensive irrigation projects,Maintaining a large standing army,Flourishing overseas trade,Discovery of new mineral resources,b,History of India,1
Which of the following best describes the primary function of the 'mansabdari' system during the Mughal period?,Regulating religious affairs,Organizing the land revenue system,Structuring the military and administration,Promoting artistic endeavors,c,History of India,1
Who among the following Sayyid rulers faced significant challenges in maintaining control over the Delhi Sultanate due to constant rebellions and external threats?,Khizr Khan,Ala-ud-din Alam Shah,Muhammad Shah,Mubarak Shah,d,History of India,1
The construction of which architectural marvel was notably influenced by Jahangir's personal aesthetic preferences?,Taj Mahal,Agra Fort,Tomb of I'timād-ud-Daulah,Fatehpur Sikri,c,History of India,1
"What was the name of the Greek ambassador sent to the court of Chandragupta Maurya, who provided valuable insights into the Mauryan administration?",Pliny,Strabo,Megasthenes,Ptolemy,c,History of India,1
Which separation technique exploits differences in boiling points to isolate volatile components from a liquid mixture?,Sublimation,Distillation,Crystallization,Sedimentation,b,General Science,1
The presence of which component primarily dictates whether a substance is classified as a mixture rather than a pure substance?,Variable composition,Fixed melting point,Chemical bonding,Uniform crystal structure,a,General Science,1
Which component of the skeletal system is primarily responsible for storing minerals such as calcium and phosphate?,Ligaments,Cartilage,Bones,Tendons,c,General Science,1
"What is the primary function of bile, produced by the liver, in the digestive process?",To break down proteins into amino acids,"To emulsify fats, aiding in their digestion",To neutralize stomach acid,To absorb water from undigested food,b,General Science,1
What characteristic of inert gases makes them chemically unreactive under normal conditions?,High electronegativity,Completely filled valence shell,Low ionization energy,Small atomic radius,b,General Science,1
Which of the following parameters remains constant for a set of isobars?,Atomic number,Number of neutrons,Mass number,Number of electrons,c,General Science,1
The effectiveness of filtration as a separation method relies primarily on which property of the mixture's components?,Differences in density,Differences in particle size,Differences in solubility,Differences in electrical charge,b,General Science,1
Which type of joint allows for the greatest range of motion in the human body?,Fibrous joint,Cartilaginous joint,Synovial joint,Immovable joint,c,General Science,1
What role does the enzyme amylase play in the human digestive system?,Breaking down fats,Breaking down proteins,Breaking down carbohydrates,Breaking down nucleic acids,c,General Science,1
Helium is preferred over hydrogen for filling weather balloons because of which key property?,Lower density,Higher lifting power,Non-flammability,Greater abundance,c,General Science,1
Which viceroy's decision to partition Bengal was primarily influenced by administrative convenience cited alongside the intention to weaken the nationalist movement?,Lord Curzon,Lord Ripon,Lord Dufferin,Lord Lytton,a,Indian National Movement,1
"The introduction of Dyarchy under the Government of India Act, 1919, signified a step towards what form of governance in British India?",Autocratic rule,Complete independence,Responsible government,Military dictatorship,c,Indian National Movement,1
The initial reluctance of the British to acknowledge the Indian National Congress stemmed primarily from their apprehension about what potential outcome?,Economic reforms,Loss of trade routes,Unified political challenge,Religious conflicts,c,Indian National Movement,1
"The Jallianwala Bagh massacre, a turning point in the Indian National Movement, directly resulted in which significant action by Mahatma Gandhi?",Launch of the Salt Satyagraha,Suspension of the Non-Cooperation Movement,Formation of the Swaraj Party,Demand for complete independence,b,Indian National Movement,1
"The Forward Bloc, established by Subhas Chandra Bose, primarily aimed to achieve what objective within the Indian National Congress?",Advocating complete non-violence,Promoting socialist policies,Seeking dominion status,Challenging the moderate leadership,d,Indian National Movement,1
What was the core rationale behind the British implementation of separate electorates based on religion in India?,To promote religious harmony,To facilitate administrative efficiency,To foster political division,To encourage inter-religious dialogue,c,Indian National Movement,1
The Simon Commission faced widespread opposition in India primarily because of what critical deficiency?,Lack of financial resources,Absence of any Indian member,Recommendations for increased taxation,Support for the partition of India,b,Indian National Movement,1
"The influence of the Ghadar Party, primarily composed of Punjabi immigrants, significantly impacted the nationalist movement through which means?",Promoting constitutional reforms,Advocating for armed rebellion,Supporting British war efforts,Focusing on social welfare programs,b,Indian National Movement,1
"The Poona Pact, signed between Mahatma Gandhi and B.R. Ambedkar, addressed which crucial issue within the Indian society and political system?",Land distribution policies,Representation of marginalized communities,Educational reforms,Industrial labor rights,b,Indian National Movement,1
The Cripps Mission's proposals were ultimately rejected by the Indian National Congress due to which fundamental disagreement concerning India's future?,Immediate independence,Dominion status with the right to secede,Representation in the British Parliament,Control over the Indian army,a,Indian National Movement,1
Which of the following factors is LEAST likely to directly influence India's agricultural export competitiveness in the global market?,Fluctuations in international currency exchange rates,Technological advancements in Indian agricultural practices,The dietary habits of the Indian urban population,Subsidies provided by other exporting nations,c,"Indian Agriculture, Commerce & Trade",1
The 'e-NAM' initiative primarily aims to achieve which objective within the Indian agricultural sector?,Providing crop insurance against natural calamities,Creating a national market for agricultural commodities,Promoting organic farming practices,Offering subsidized loans to farmers,b,"Indian Agriculture, Commerce & Trade",1
"Which soil type, prevalent in regions with high rainfall and laterite formation, is characteristically LEAST fertile for agriculture without significant amendments?",Alluvial Soil,Black Soil,Laterite Soil,Red Soil,c,"Indian Agriculture, Commerce & Trade",1
What is the primary purpose of 'Operation Flood' in the context of Indian agriculture?,Increasing irrigation efficiency in drought-prone areas,Boosting milk production and establishing a national milk grid,Controlling floods in major river basins,Promoting the cultivation of flood-resistant crops,b,"Indian Agriculture, Commerce & Trade",1
Which of the following government initiatives is specifically designed to improve the productivity of pulses in India?,National Food Security Mission,Pradhan Mantri Krishi Sinchayee Yojana,Rashtriya Gokul Mission,Paramparagat Krishi Vikas Yojana,a,"Indian Agriculture, Commerce & Trade",1
The economic viability of animal husbandry in India is MOST directly affected by which factor?,Availability of government-subsidized veterinary services,Demand for animal products and access to efficient marketing channels,The number of breeds recognized by the National Bureau of Animal Genetic Resources,The frequency of animal disease outbreaks reported in international journals,b,"Indian Agriculture, Commerce & Trade",1
