Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topics,Points
What is the historical name of Prayagraj?,Ayodhya,Kashi,Allahabad,Indraprastha,c,UP Special,"Geographical features of Uttar Pradesh rivers soil climate, District wise facts and administrative divisions UP, Important cities historical names and nicknames UP, Rivers dams and irrigation projects in UP, National parks wildlife sanctuaries bird sanctuaries UP, UP agriculture crops production ranks facts, UP minerals industries and industrial corridors, Historical places monuments and heritage sites UP, Freedom movement events related to UP, Famous personalities of Uttar Pradesh fields wise, UP festivals fairs folk dances music culture, UP education institutions universities facts, UP transport road rail expressways airports, UP government schemes and initiatives, UP census population literacy sex ratio density, UP districts formation years and headquarters, UP legislative assembly council facts seats, UP economy GDP sectors contribution, UP GI tags handicrafts products facts, Recent current affairs related to Uttar Pradesh",1
Which city in Uttar Pradesh is known as the 'Leather City of the World'?,Agra,Kanpur,Lucknow,Varanasi,b,UP Special,"Geographical features of Uttar Pradesh rivers soil climate, District wise facts and administrative divisions UP, Important cities historical names and nicknames UP, Rivers dams and irrigation projects in UP, National parks wildlife sanctuaries bird sanctuaries UP, UP agriculture crops production ranks facts, UP minerals industries and industrial corridors, Historical places monuments and heritage sites UP, Freedom movement events related to UP, Famous personalities of Uttar Pradesh fields wise, UP festivals fairs folk dances music culture, UP education institutions universities facts, UP transport road rail expressways airports, UP government schemes and initiatives, UP census population literacy sex ratio density, UP districts formation years and headquarters, UP legislative assembly council facts seats, UP economy GDP sectors contribution, UP GI tags handicrafts products facts, Recent current affairs related to Uttar Pradesh",1
Banaras Brocades and Sarees have a GI tag associated with which state?,Madhya Pradesh,Bihar,Uttar Pradesh,Rajasthan,c,UP Special,"Geographical features of Uttar Pradesh rivers soil climate, District wise facts and administrative divisions UP, Important cities historical names and nicknames UP, Rivers dams and irrigation projects in UP, National parks wildlife sanctuaries bird sanctuaries UP, UP agriculture crops production ranks facts, UP minerals industries and industrial corridors, Historical places monuments and heritage sites UP, Freedom movement events related to UP, Famous personalities of Uttar Pradesh fields wise, UP festivals fairs folk dances music culture, UP education institutions universities facts, UP transport road rail expressways airports, UP government schemes and initiatives, UP census population literacy sex ratio density, UP districts formation years and headquarters, UP legislative assembly council facts seats, UP economy GDP sectors contribution, UP GI tags handicrafts products facts, Recent current affairs related to Uttar Pradesh",1
Under which scheme does the UP government provide financial assistance for marriages of poor girls?,Pradhan Mantri Jan Dhan Yojana,Kanya Sumangala Yojana,Beti Bachao Beti Padhao,Atal Pension Yojana,b,UP Special,"Geographical features of Uttar Pradesh rivers soil climate, District wise facts and administrative divisions UP, Important cities historical names and nicknames UP, Rivers dams and irrigation projects in UP, National parks wildlife sanctuaries bird sanctuaries UP, UP agriculture crops production ranks facts, UP minerals industries and industrial corridors, Historical places monuments and heritage sites UP, Freedom movement events related to UP, Famous personalities of Uttar Pradesh fields wise, UP festivals fairs folk dances music culture, UP education institutions universities facts, UP transport road rail expressways airports, UP government schemes and initiatives, UP census population literacy sex ratio density, UP districts formation years and headquarters, UP legislative assembly council facts seats, UP economy GDP sectors contribution, UP GI tags handicrafts products facts, Recent current affairs related to Uttar Pradesh",1
Which of the following festivals is primarily associated with Uttar Pradesh?,Pongal,Bihu,Holi,Onam,c,UP Special,"Geographical features of Uttar Pradesh rivers soil climate, District wise facts and administrative divisions UP, Important cities historical names and nicknames UP, Rivers dams and irrigation projects in UP, National parks wildlife sanctuaries bird sanctuaries UP, UP agriculture crops production ranks facts, UP minerals industries and industrial corridors, Historical places monuments and heritage sites UP, Freedom movement events related to UP, Famous personalities of Uttar Pradesh fields wise, UP festivals fairs folk dances music culture, UP education institutions universities facts, UP transport road rail expressways airports, UP government schemes and initiatives, UP census population literacy sex ratio density, UP districts formation years and headquarters, UP legislative assembly council facts seats, UP economy GDP sectors contribution, UP GI tags handicrafts products facts, Recent current affairs related to Uttar Pradesh",1
The Rihand Dam is located on which river?,Ganga,Yamuna,Rihand,Ghaghra,c,UP Special,"Geographical features of Uttar Pradesh rivers soil climate, District wise facts and administrative divisions UP, Important cities historical names and nicknames UP, Rivers dams and irrigation projects in UP, National parks wildlife sanctuaries bird sanctuaries UP, UP agriculture crops production ranks facts, UP minerals industries and industrial corridors, Historical places monuments and heritage sites UP, Freedom movement events related to UP, Famous personalities of Uttar Pradesh fields wise, UP festivals fairs folk dances music culture, UP education institutions universities facts, UP transport road rail expressways airports, UP government schemes and initiatives, UP census population literacy sex ratio density, UP districts formation years and headquarters, UP legislative assembly council facts seats, UP economy GDP sectors contribution, UP GI tags handicrafts products facts, Recent current affairs related to Uttar Pradesh",1
Which city is known as the 'City of Perfumes' in Uttar Pradesh?,Kannauj,Lucknow,Agra,Meerut,a,UP Special,"Geographical features of Uttar Pradesh rivers soil climate, District wise facts and administrative divisions UP, Important cities historical names and nicknames UP, Rivers dams and irrigation projects in UP, National parks wildlife sanctuaries bird sanctuaries UP, UP agriculture crops production ranks facts, UP minerals industries and industrial corridors, Historical places monuments and heritage sites UP, Freedom movement events related to UP, Famous personalities of Uttar Pradesh fields wise, UP festivals fairs folk dances music culture, UP education institutions universities facts, UP transport road rail expressways airports, UP government schemes and initiatives, UP census population literacy sex ratio density, UP districts formation years and headquarters, UP legislative assembly council facts seats, UP economy GDP sectors contribution, UP GI tags handicrafts products facts, Recent current affairs related to Uttar Pradesh",1
What type of product is 'Lucknow Chikan Craft'?,Metal Craft,Pottery,Textile Embroidery,Wood Carving,c,UP Special,"Geographical features of Uttar Pradesh rivers soil climate, District wise facts and administrative divisions UP, Important cities historical names and nicknames UP, Rivers dams and irrigation projects in UP, National parks wildlife sanctuaries bird sanctuaries UP, UP agriculture crops production ranks facts, UP minerals industries and industrial corridors, Historical places monuments and heritage sites UP, Freedom movement events related to UP, Famous personalities of Uttar Pradesh fields wise, UP festivals fairs folk dances music culture, UP education institutions universities facts, UP transport road rail expressways airports, UP government schemes and initiatives, UP census population literacy sex ratio density, UP districts formation years and headquarters, UP legislative assembly council facts seats, UP economy GDP sectors contribution, UP GI tags handicrafts products facts, Recent current affairs related to Uttar Pradesh",1
Which initiative focuses on improving the infrastructure of villages in Uttar Pradesh?,Swachh Bharat Abhiyan,Mission Antyodaya,UP Mukhyamantri Gramodyog Rojgar Yojana,Pradhan Mantri Awas Yojana,c,UP Special,"Geographical features of Uttar Pradesh rivers soil climate, District wise facts and administrative divisions UP, Important cities historical names and nicknames UP, Rivers dams and irrigation projects in UP, National parks wildlife sanctuaries bird sanctuaries UP, UP agriculture crops production ranks facts, UP minerals industries and industrial corridors, Historical places monuments and heritage sites UP, Freedom movement events related to UP, Famous personalities of Uttar Pradesh fields wise, UP festivals fairs folk dances music culture, UP education institutions universities facts, UP transport road rail expressways airports, UP government schemes and initiatives, UP census population literacy sex ratio density, UP districts formation years and headquarters, UP legislative assembly council facts seats, UP economy GDP sectors contribution, UP GI tags handicrafts products facts, Recent current affairs related to Uttar Pradesh",1
What is 'Nautanki' a popular form of in Uttar Pradesh?,Dance,Theatre/Folk Drama,Music,Cuisine,b,UP Special,"Geographical features of Uttar Pradesh rivers soil climate, District wise facts and administrative divisions UP, Important cities historical names and nicknames UP, Rivers dams and irrigation projects in UP, National parks wildlife sanctuaries bird sanctuaries UP, UP agriculture crops production ranks facts, UP minerals industries and industrial corridors, Historical places monuments and heritage sites UP, Freedom movement events related to UP, Famous personalities of Uttar Pradesh fields wise, UP festivals fairs folk dances music culture, UP education institutions universities facts, UP transport road rail expressways airports, UP government schemes and initiatives, UP census population literacy sex ratio density, UP districts formation years and headquarters, UP legislative assembly council facts seats, UP economy GDP sectors contribution, UP GI tags handicrafts products facts, Recent current affairs related to Uttar Pradesh",1
