Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following topics is NOT explicitly mentioned as being covered within the Vijayanagara Empire notes?,Military Achievements,Key officials,Amaram System,Education System,d
"According to the provided text, when was the copyright for 'Rapid Steno' established?",2024,2025,2026,2027,c
"In which year was the Vijayanagara Empire established, according to the provided text?",1363 AD,1633 AD,1336 AD,1663 AD,c
Which of the following statements regarding the founders of the Vijayanagara Empire is INCORRECT?,They were formerly feudatories of the Kakatiyas.,They ruled in the name of Virupaksha.,They established the empire during the reign of Firoz Shah Tughlaq.,They were guided by Vidyaranya for reconversion to Hinduism.,c
Arrange the following dynasties in chronological order based on their reign?,"Aravidu, Tuluva, Saluva, Sangama","Sangama, Saluva, Tuluva, Aravidu","Saluva, Sangama, Aravidu, Tuluva","Tuluva, Aravidu, Sangama, Saluva",b
Which of the following represents the reign period of the Tuluva Dynasty?,1486-1505 AD,1570-1646 AD,1336-1486 AD,1505-1570 AD,d
Which of the following rulers is credited with establishing diplomatic ties with China?,Harihara I,Bukka Raya I,Deva Raya II,Krishna Deva Raya,b
Arrange the following rulers in chronological order based on their reign:,"Harihara I, Krishna Deva Raya, Tirumala Deva Raya, Venkata III","Krishna Deva Raya, Harihara I, Venkata III, Tirumala Deva Raya","Harihara I, Krishna Deva Raya, Venkata III, Tirumala Deva Raya","Tirumala Deva Raya, Venkata III, Harihara I, Krishna Deva Raya",a
"According to the text, in which year did the Battle of Talikota take place?",1656,1556,1565,1665,c
Who recorded Bukka Raya I's military campaigns in Madhuravijayam?,Deva Raya II,Krishna Deva Raya,Gangambika,The Bahmani Sultans,c
"According to the text, what was the range of land tax levied on produce?",1/4th to 1/5th,1/2nd to 1/3rd,1/5th to 1/8th,1/3rd to 1/6th,d
Arrange the following administrative divisions in descending order of hierarchy as mentioned in the text:,"Grama, Sthala, Nadus, Mandalam","Mandalam, Nadus, Grama, Sthala","Mandalam, Nadus, Sthala, Grama","Nadus, Mandalam, Sthala, Grama",c
"According to the text, which of the following commodities was NOT a primary export?",Iron,Rice,Silk,Sugar,c
Which of the following regions is mentioned as a major trade partner?,Egypt,Sri Lanka,Rome,Greece,b
Which of the following statements regarding the societal conditions is NOT correct according to the provided text?,Shaivism and Vaishnavism received patronage.,Muslims were employed in administrative roles.,Women did not participate in literary activities.,Practices such as child marriage were prevalent.,c
Arrange the following classes in the order they are presented in the text:,"Commoners, Middle class, Nobles","Nobles, Commoners, Middle class","Middle class, Nobles, Commoners","Nobles, Middle class, Commoners",d
Which of the following temples is renowned for its musical pillars and stone chariot?,Hazara Ramaswamy Temple,Virupaksha Temple,Vittalaswami Temple,Vijaya Mahal,c
Which town was built by Krishna Deva Raya in memory of his mother?,Vijaya Nagar,Hampi,Virupaksha,Nagalapuram,d
Which of the following is NOT directly mentioned as a feature or location associated with the provided text?,Vijayanagara Fortifications,Hampi Ruins,Lepakshi Murals,"Varadharaja & Ekambaranatha Temples, Kanchipuram",b
"According to the text, the Yali is best described as which of the following?",A type of sweet offered during Navaratri.,A mythical lion-like creature used as a signature motif.,A fortification technique used in Vijayanagara.,A specific style of fresco found in the Ekambaranatha Temple.,b
Which of the following events contributed to the decline of the Vijayanagara Empire?,Alliance with the Bahmani Sultanate,Strengthening of the succession policy,"Continuous wars with Bahmani Sultanate, Golconda, and Bijapur",Effective rulers,c
"Arrange the following events related to the Vijayanagara Empire in chronological order:
I. Battle of Talikota
II. Final Collapse of the Aravidu Dynasty
III. Rise of Provincial Autonomy","III, I, II","I, II, III","II, I, III","I, III, II",d
During whose reign did Ibn Battuta describe the Vijayanagara capital as well-fortified and wealthy?,Deva Raya I,Krishna Deva Raya,Harihara I,Deva Raya II,c
Which of the following statements is INCORRECT regarding the foreign travelers' accounts of Vijayanagara?,Niccolò de Conti described Vijayanagara's wealth and grand architecture during Deva Raya I's reign.,Abdul Razzaq noted the city's prosperity and Hindu-Muslim harmony during Deva Raya II's reign.,Duarte Barbosa detailed efficient administration and trade policies during Achyuta Deva Raya's reign.,Domingo Paes admired military strength and economic prosperity during Krishna Deva Raya's reign.,c
"After the fall of Hampi, which dynasty shifted the capital to Penukonda?",Sangama Dynasty,Tuluva Dynasty,Saluva Dynasty,Aravidu Dynasty,d
