Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topics,Points
Which institution releases the Index of Industrial Production (IIP) in India?,Reserve Bank of India (RBI),Ministry of Finance,National Statistical Office (NSO),NITI Aayog,c,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
What does WPI stand for in economics?,Wholesale Price Index,Wage Price Index,Wealth Price Index,Weighted Price Index,a,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which bank is the apex bank for agricultural credit in India?,Reserve Bank of India (RBI),NABARD,State Bank of India (SBI),SIDBI,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
What is the term for a persistent decrease in the general price level of goods and services?,Inflation,Deflation,Stagflation,Hyperinflation,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which component is NOT a part of India's Balance of Payments?,Current Account,Capital Account,Financial Account,Fiscal Deficit,d,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
What is the primary function of commercial banks?,Accepting deposits and granting loans,Regulating monetary policy,Promoting rural development,Providing financial assistance to small industries,a,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which method is used to calculate National Income in India?,Expenditure Method,Income Method,Value Added Method,All of the above,d,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
What does CPI measure?,Cost of Production Index,Consumer Price Index,Corporate Profit Index,Capital Productivity Index,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which organization manages the foreign exchange reserves of India?,SEBI,RBI,SBI,EXIM Bank,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
What is the situation called when there is high inflation and slow economic growth?,Deflation,Stagflation,Recession,Hyperinflation,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
