Q.No,Question,Option A,Option B,Option C,Option D,Correct Answer (Key),Correct Answer (Text)
1,Doctor : Hospital :: Chef : ?,Restaurant,Kitchen,Food,Ingredients,A,Restaurant
2,Heat : Energy :: Frequency : ?,Time,Waves,Hertz,Amplitude,C,Hertz
3,Which of the following is least like the other three?,Brass,Bronze,Steel,Copper,D,Copper
4,Choose the word which is different from the rest:,Kilogram,Gram,Quintal,Meter,D,Meter
5,"What comes next in the following series: A2Z, C4X, E6V, G8T, ?",I10R,J10R,I12R,J12R,A,I10R
6,"Find the missing number in the series: 3, 8, 15, 24, ?, 48",33,35,37,39,B,35
7,"If 'DOCTOR' is coded as 'EPEUPTS', then how will 'TEACHER' be coded?",UFBDIHS,UGBDIHS,UGBDIDS,UFBDIDS,B,UGBDIHS
8,"In a certain code language, 'SYSTEM' is written as 'SYSMET'. How will 'SECTION' be written in that language?",SECITOIN,SECTOIN,SECTOIN,SECNITO,B,SECTOIN
9,"Pointing to a photograph, a man said, ""I have no brother or sister but that man's father is my father's son."" Whose photograph was it?",His Son,His Nephew,His Father,His Grandfather,A,His Son
10,A man is facing North. He turns 45 degrees clockwise and then another 180 degrees clockwise and then 45 degrees anticlockwise. Which direction is he facing now?,East,South-East,West,South-West,B,South-East
11,"Which of the following diagrams best represents the relationship between: Doctors, Engineers, and Humans?",A: Three overlapping circles,B: One circle containing two non-overlapping circles,C: One circle encompassing two overlapping circles,D: Three separate circles,C,C: One circle encompassing two overlapping circles
12,"What number should replace the question mark in the following sequence: 2, 6, 12, 20, ?",24,28,30,32,C,30
13,"In paper folding questions, which of the following remains constant throughout the folding and cutting process?",The number of folds,The shape of the paper,The area of the paper,The position of the cuts,C,The area of the paper
14,Choose the correct mirror image of the word 'REVERSE' when the mirror is placed vertically to the right.,ƎƧЯƎVƎЯ,ЯƎVƎSƎЯ,REVERSE,2ƎVƎЯƧƎ,B,ЯƎVƎSƎЯ
15,What logical operation is most commonly used to solve missing element problems within a 3x3 matrix?,Multiplication,Addition and Subtraction,Logical Deduction based on patterns,Division,C,Logical Deduction based on patterns
16,"If '+' means '-', '-' means '*', '*' means '/' and '/' means '+', then what is the value of 16 / 4 + 5 - 2 * 3?",8,10,12,14,B,10
17,"Two positions of a dice are shown. When 4 is at the bottom, what number will be on the top?",1,2,3,5,B,2
18,"Six friends A, B, C, D, E and F are sitting in a circle facing the center. C is to the left of D, and B is between A and E. If F is between E and D, then who is to the left of F?",A,C,B,E,D,E
19,A man is facing South. He turns 135 degrees in the anticlockwise direction and then 180 degrees in the clockwise direction. Which direction is he facing now?,North-east,North-west,South-east,South-west,C,South-east
20,Which of the following transformation rules is most commonly applied in Non-Verbal Series questions?,Color change only,"Rotation, Translation, and Reflection",Text replacement only,Sound alteration,B,"Rotation, Translation, and Reflection"
21,"In Non-Verbal Series problems, what does 'Completing the Series' generally refer to?",Finding the odd one out,Predicting the next figure in the sequence,Identifying hidden numbers,Calculating the area of the figures,B,Predicting the next figure in the sequence
22,Who was the first woman President of the Indian National Congress?,Sarojini Naidu,Annie Besant,Nellie Sengupta,Indira Gandhi,B,Annie Besant
23,The Battle of Plassey was fought in which year?,1757,1764,1857,1803,A,1757
24,Which of the following dynasties was founded by Chandragupta Maurya?,Gupta Dynasty,Maurya Dynasty,Nanda Dynasty,Kushan Dynasty,B,Maurya Dynasty
25,Which of the following is the highest peak in the Eastern Ghats?,Anamudi,Doddabetta,Mahendragiri,Kanchenjunga,C,Mahendragiri
