Question,Option A,Option B,Option C,Option D,Correct Answer
"Who announced the existence of an urban civilization in the Indus Valley region around 2500 BCE, following the discovery of Harappa?",Daya Ram Sahni,The Archaeological Department of India,John Marshall,None of the above,c
"In which year was Harappa discovered, leading to the recognition of the Indus Valley Civilization?",1920,1922,1921,1925,c
Arrange the following sites of the Indus Valley Civilization from North to South:,"Daimabad, Alamgirpur, Mandu, Sutkagendor","Mandu, Alamgirpur, Sutkagendor, Daimabad","Alamgirpur, Mandu, Daimabad, Sutkagendor","Sutkagendor, Daimabad, Alamgirpur, Mandu",b
Which of the following statements regarding Harappa is NOT correct?,It is situated on the bank of river Ravi.,It was excavated by Daya Ram Sahini in 1921.,It is located in the Montgomery district of Punjab.,Evidence of cotton cultivation was first discovered here.,d
"Arrange the following Harappan sites in chronological order based on their year of discovery:
A. Mohenjodaro
B. Sutkagendor
C. Chanhudaro
D. Amri","A, B, C, D","A, C, B, D","A, B, D, C","B, A, C, D",a
Which of the following statements regarding the Harappan site of Chanhudaro is NOT correct?,It is situated on the Indus river in Sindh.,N.G. Majumdar discovered it in 1931.,Evidence of antelope was found here.,A bead makers shop was found here.,c
Arrange the following Indus Valley Civilization sites in chronological order based on their year of discovery:,"Lothal, Surkotada, Banawali, Dholavira","Surkotada, Lothal, Banawali, Dholavira","Lothal, Surkotada, Dholavira, Banawali","Surkotada, Lothal, Dholavira, Banawali",a
Which of the following statements regarding Dholavira is NOT correct?,It is located in the Rann of Kachchh in Gujarat.,It is known for its advanced water harnessing system.,It was discovered by R.S. Bisht in 1985.,It is known for the discovery of bones of horses.,d
"Which of the following materials was NOT commonly used in the making of Indus Valley Civilization seals, as indicated in the text?",Steatite,Gold,Iron,Ivory,c
"According to the text, what evidence suggests that the Indus Valley Civilization society may have been matriarchal?",The presence of a large number of weapons suggests female warriors held positions of power.,The discovery of numerous terracotta female figurines suggests the worship of a Great Mother Goddess.,The division of labor shows women primarily engaged in trade and governance.,The elaborate dressing style of women indicates a higher social status.,b
Which of the following materials is NOT explicitly mentioned as being used in ornaments during the Indus Valley Civilization?,Gold,Silver,Bronze,Precious stones,c
Which of the following features is associated with the Steatite Bearded Man sculpture discovered from Mohenjodaro?,A plain cloak over his right shoulder,A posture indicating active engagement,Half-closed eyes indicating meditation,Absence of any clothing,c
Which of the following best represents a theory regarding the political structure of the Harappan society?,A single powerful monarch controlled the entire Indus Valley Civilization.,"The priestly class held absolute power, similar to Egypt and Mesopotamia.","Harappan society had no rulers, with all individuals enjoying equal status.",A council of elders governed each urban center with a shared authority.,c
Which of the following indicators suggests the potential presence of a centralized political authority in the Indus Valley Civilization?,The abundance of religious temples and priestly residences.,"The lack of uniformity in weights, measures, and script across settlements.","The uniformity in tools, weapons, bricks, seals, and urban style of construction.",The absence of large-scale draining systems and monumental citadels.,c
Which of the following sites provides evidence of a wooden plough?,Mohenjodaro (Pakistan),Banawali (Rajasthan),Kalibangan (Rajasthan),Shortughai (Afghanistan),c
"According to Mesopotamian records, what was the ancient name given to the Indus region?",Dilmun,Makan,Harappa,Meluha,d
Which of the following statements regarding the seals of the Indus Valley Civilization is NOT correct?,Approximately 2000 seals have been discovered.,The seals contain short inscriptions along with pictures of animals.,Seals often depicted horses.,Three cylindrical seals of the Mesopotamian type were found in Mohenjo-Daro.,c
"Arrange the following materials based on their likely origin, as suggested in the text, in the order from West to East:","Lapis lazuli, Turquoise, Jade, Amethyst","Turquoise, Lapis lazuli, Amethyst, Jade","Amethyst, Jade, Turquoise, Lapis lazuli","Lapis lazuli, Turquoise, Amethyst, Jade",a
Which of the following animals is NOT depicted surrounding the Pashupati figurine on IVC seals?,Tiger,Elephant,Lion,Rhinoceros,c
The terracotta figurine indicating the worship of linga and yoni in IVC was found in which of the following locations?,Mohenjodaro,Harappa,Kalibangan,Pashupati,c
"Which of the following statements regarding the Indus Valley Civilization's societal structure and religious practices is INCORRECT, based on the provided text?",Evidence suggests the presence of snake worship and snake charmers.,Amulets have been discovered in significant quantities.,The presence of sophisticated temples has been definitively established through archaeological findings.,No evidence of a sophisticated caste system has been found.,c
Arrange the following burial practices found at Mohenjo-Daro in the order they are described in the text:,"Fractional burial, Post cremation burial, Complete burial","Post cremation burial, Complete burial, Fractional burial","Complete burial, Fractional burial, Post cremation burial","Complete burial, Post cremation burial, Fractional burial",c
The Harappan script style known as Boustrophedon is characterized by which writing direction?,Left to right,Right to left,Top to bottom,"Right to left, then left to right in alternating lines",d
"Which of the following statements about the Indus Valley Civilization (IVC) is INCORRECT, based on the provided text?",IVC inhabitants possessed knowledge of medical sciences and utilized herbs and drugs.,The IVC script was primarily pictographic and found on materials like seals and bones.,The IVC script persisted and heavily influenced the development of the Gupta script.,IVC inhabitants constructed the world's first tidal port at Lothal.,c
Which of the following materials were used in the construction of drains in the Indus Valley Civilization?,"Clay, sand, and gravel","Mortar, lime, and gypsum","Bricks, cement, and plaster","Stone, mud, and thatch",b
