Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topics,Points
"Consider the following statements regarding the Mauryan Empire's administrative structure:
1.  The 'Rajukas' were responsible for judicial functions and land surveying.
2.  'Samaharta' was the chief treasury officer and collector-general of revenue.
3.  'Sannidhata' was the officer in charge of the royal storehouse.
Which of the statements given above are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",d,Ancient History,Mauryan Empire,1
"Match List I (Mauryan Officer) with List II (Responsibility) and select the correct answer using the code given below:

List I
(A) Pulisani
(B) Sitadhyaksha
(C) Akaradhyaksha
(D) Navadhyaksha

List II
(1) Superintendent of Mines
(2) Superintendent of Ports
(3) Officer in charge of Public Relations
(4) Superintendent of Crown Lands

Codes:
","A-3, B-4, C-1, D-2","A-4, B-3, C-2, D-1","A-2, B-1, C-4, D-3","A-1, B-2, C-3, D-4",a,Ancient History,Mauryan Empire,1
"Arrange the following Mauryan rulers in chronological order:
1. Bindusara
2. Ashoka
3. Brihadratha
4. Chandragupta Maurya
Select the correct answer using the code given below:","4, 1, 2, 3","1, 4, 2, 3","4, 2, 1, 3","1, 2, 4, 3",a,Ancient History,Mauryan Empire,1
"Assertion (A): Ashoka embraced Buddhism after the Kalinga War.
Reason (R): The Kalinga War caused immense suffering and loss of life, deeply affecting Ashoka.
In the context of the above two statements, which one of the following is correct?",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is NOT the correct explanation of A,A is true but R is false,A is false but R is true,a,Ancient History,Mauryan Empire,1
"Which of the following sources mentions the existence of slavery in the Mauryan period, contradicting Megasthenes' account?",Arthashastra of Kautilya,Indica by Arrian,Dipavamsa,Mahavamsa,a,Ancient History,Mauryan Empire,1
"Who among the following deciphered the Brahmi script, which was crucial in understanding Ashokan edicts?",Alexander Cunningham,James Prinsep,Sir John Marshall,Dayaram Sahni,b,Ancient History,Mauryan Empire,1
Which Mauryan emperor is believed to have sent his son Mahendra and daughter Sanghamitra to Sri Lanka to spread Buddhism?,Bindusara,Ashoka,Chandragupta Maurya,Dasharatha,b,Ancient History,Mauryan Empire,1
"The term 'Devanampiya' frequently used in Ashokan inscriptions, means:",Beloved of the Gods,The Great King,Righteous Conqueror,The Wise One,a,Ancient History,Mauryan Empire,1
Which of the following edicts of Ashoka mentions the Kalinga War?,Minor Rock Edict I,Major Rock Edict XIII,Queen's Edict,Bhabru Edict,b,Ancient History,Mauryan Empire,1
The Mauryan dynasty was overthrown by:,Pushyamitra Shunga,Kanishka,Simuka,Gautamiputra Satakarni,a,Ancient History,Mauryan Empire,1
